SampleID	Complete	Single-copy	Duplicated	Fragmented	Missing	Total
Acropora_hyacinthus_NANAv1	27.1% (258)	25.9% (247)	1.2% (11)	36.4% (347)	36.5% (349)	100% (954)
Acropora_muricata_XSCSv1	72.0% (687)	60.7% (579)	11.3% (108)	3.2% (31)	24.8% (236)	100% (954)
Astreopora_sp_REEFv1	69.8% (666)	59.0% (563)	10.8% (103)	11.4% (109)	18.8% (179)	100% (954)
Ctenactis_echinata_NAJPv1	71.2% (679)	70.8% (675)	0.4% (4)	16.7% (159)	12.1% (116)	100% (954)
Dipsastraea_lizardensis_NAJPv1	77.8% (742)	77.4% (738)	0.4% (4)	9.4% (90)	12.8% (122)	100% (954)
Favia_sp_REEFv1	42.4% (405)	35.8% (342)	6.6% (63)	25.3% (241)	32.3% (308)	100% (954)
Fungia_scutaria_REEFv1	87.3% (833)	86.7% (827)	0.6% (6)	8.9% (85)	3.8% (36)	100% (954)
Madracis_auretenra_REEFv1	70.9% (676)	63.0% (601)	7.9% (75)	17.1% (163)	12.0% (115)	100% (954)
Montastraea_cavernosa_REEFv1	81.4% (777)	78.3% (747)	3.1% (30)	11.0% (105)	7.6% (72)	100% (954)
Montastraea_faveolata_REEFv1	19.7% (188)	18.7% (178)	1.0% (10)	11.9% (114)	68.4% (652)	100% (954)
Montipora_aequituberculata_NANAv1	35.4% (338)	19.3% (184)	16.1% (154)	21.9% (209)	42.7% (407)	100% (954)
Montipora_foliosa_XSCSv1	55.6% (530)	49.7% (474)	5.9% (56)	4.8% (46)	39.6% (378)	100% (954)
Platygyra_carnosus_REEFv1	59.5% (568)	56.5% (539)	3.0% (29)	21.7% (207)	18.8% (179)	100% (954)
Pocillopora_damicornis_XSCSv1	65.2% (622)	58.4% (557)	6.8% (65)	2.5% (24)	32.3% (308)	100% (954)
Pocillopora_verrucosa_XSCSv1	66.6% (635)	60.6% (578)	6.0% (57)	3.0% (29)	30.4% (290)	100% (954)
Porites_astreoides_REEFv1	19.5% (186)	19.3% (184)	0.2% (2)	26.9% (257)	53.6% (511)	100% (954)
Porites_lobata_REEFv1	60.8% (580)	60.2% (574)	0.6% (6)	16.5% (157)	22.7% (217)	100% (954)
Pseudodiploria_strigosa_REEFv1	60.0% (572)	56.6% (540)	3.4% (32)	22.7% (217)	17.3% (165)	100% (954)
Seriatopora_hystrix_REEFv1	52.2% (498)	51.5% (491)	0.7% (7)	24.0% (229)	23.8% (227)	100% (954)
Alatina_alata_BNNLv1-TRANS	93.1% (888)	71.7% (684)	21.4% (204)	3.7% (35)	3.2% (31)	100% (954)
Anthopleura_elegantissima_REEFv1	61.0% (582)	58.0% (553)	3.0% (29)	23.2% (221)	15.8% (151)	100% (954)
Calvadosia_cruxmelitensis_CRGBv3.2-TRANS	87.6% (836)	66.1% (631)	21.5% (205)	7.1% (68)	5.3% (50)	100% (954)
Calvadosia_cruxmelitensis_NANAv1	76.8% (733)	70.0% (668)	6.8% (65)	10.2% (97)	13.0% (124)	100% (954)
Cassiopea_xamachana_T1-Av2	52.5% (501)	50.2% (479)	2.3% (22)	15.7% (150)	31.8% (303)	100% (954)
Cassiopea_xamachana_T1-Av2-TRANS	66.7% (637)	48.8% (466)	17.9% (171)	23.7% (226)	9.6% (91)	100% (954)
Corallium_rubrum_MRFRv1	91.6% (874)	82.4% (786)	9.2% (88)	1.4% (13)	7.0% (67)	100% (954)
Corynactis_australis_JBAUv1	79.7% (761)	76.5% (730)	3.2% (31)	6.9% (66)	13.4% (127)	100% (954)
Craterolophus_convolvulus_RYUSv1	49.9% (476)	38.2% (364)	11.7% (112)	27.6% (263)	22.5% (215)	100% (954)
Dynamena_pumila_WSRUv1	95.0% (907)	68.0% (649)	27.0% (258)	1.0% (10)	4.0% (37)	100% (954)
Gorgonia_ventalina_LRPRv1	73.1% (698)	65.9% (629)	7.2% (69)	13.7% (131)	13.2% (125)	100% (954)
Haliclystus_auricula_NANAv1	54.5% (520)	48.4% (462)	6.1% (58)	22.6% (216)	22.9% (218)	100% (954)
Haliclystus_sanjuanensis_SJUSv1	52.7% (503)	43.6% (416)	9.1% (87)	27.6% (263)	19.7% (188)	100% (954)
Hydra_oligactis_GNCHv1	89.8% (857)	84.7% (808)	5.1% (49)	4.0% (38)	6.2% (59)	100% (954)
Kudoa_iwatai_RSILv1	35.2% (336)	35.1% (335)	0.1% (1)	6.0% (57)	58.8% (561)	100% (954)
Lucernaria_quadricornis_AIUSv1	77.8% (742)	72.2% (689)	5.6% (53)	11.5% (110)	10.7% (102)	100% (954)
Millepora_alcicornis_PRUSv1	94.2% (899)	86.9% (829)	7.3% (70)	2.1% (20)	3.7% (35)	100% (954)
Millepora_complanata_PRUSv1	94.6% (902)	86.0% (820)	8.6% (82)	2.2% (21)	3.2% (31)	100% (954)
Millepora_sp_RR-2016_PRUSv1	93.4% (891)	83.1% (793)	10.3% (98)	2.9% (28)	3.7% (35)	100% (954)
Millepora_squarrosa_PRUSv1	95.2% (908)	84.3% (804)	10.9% (104)	1.6% (15)	3.2% (31)	100% (954)
Myxobolus_cerebralis_NANAv1	28.3% (270)	13.1% (125)	15.2% (145)	10.7% (102)	61.0% (582)	100% (954)
Myxobolus_pendula_ONCAv1	0.2% (2)	0.2% (2)	0.0% (0)	0.0% (0)	99.8% (952)	100% (954)
Pachycerianthus_borealis_NANAv1	27.2% (260)	22.7% (217)	4.5% (43)	22.7% (217)	50.1% (477)	100% (954)
Palythoa_variabilis_PCBRv1	81.7% (780)	70.3% (671)	11.4% (109)	8.3% (79)	10.0% (95)	100% (954)
Physalia_physalis_OKJPv1	83.7% (799)	65.9% (629)	17.8% (170)	6.7% (64)	9.6% (91)	100% (954)
Plexaura_homomalla_PRUSv1	88.1% (840)	73.1% (697)	15.0% (143)	4.0% (38)	7.9% (76)	100% (954)
Plexaura_kukenthali_PRUSv1	60.3% (576)	48.8% (466)	11.5% (110)	19.1% (182)	20.6% (196)	100% (954)
Podocoryna_carnea_NANAv1	97.1% (927)	9.6% (92)	87.5% (835)	1.5% (14)	1.4% (13)	100% (954)
Polypodium_hydriforme_OKUSv1	72.1% (688)	16.2% (155)	55.9% (533)	10.4% (99)	17.5% (167)	100% (954)
Porpita_porpita_YOJPv1	89.2% (851)	64.7% (617)	24.5% (234)	5.3% (51)	5.5% (52)	100% (954)
Rhodactis_indosinensis_NATWv1	66.3% (633)	65.5% (625)	0.8% (8)	6.6% (63)	27.1% (258)	100% (954)
Ricordea_yuma_NAAUv1	77.1% (736)	76.5% (730)	0.6% (6)	5.1% (49)	17.8% (169)	100% (954)
