Designation	Taxonomic level	Taxonomic group	Orthogroup count
Dark-Restricted	clade1	Eumetazoa	43
Dark-Restricted	clade	Opisthokonta	35
Dark-Restricted	class	Anthozoa	202
Dark-Restricted	genus	Acropora	1292
Dark-Restricted	genus	Haliclystus	474
Dark-Restricted	genus	Hydra	229
Dark-Restricted	genus	Hydractinia	539
Dark-Restricted	genus	Millepora	6222
Dark-Restricted	genus	Montipora	607
Dark-Restricted	genus	Platygyra	26
Dark-Restricted	genus	Plexaura	312
Dark-Restricted	genus	Pocillopora	872
Dark-Restricted	genus	Porites	1928
Dark-Restricted	genus	Trichoplax	185
Dark-Restricted	kingdom	Metazoa	48
Dark-Restricted	order	Alcyonacea	375
Dark-Restricted	order	Anthoathecata	338
Dark-Restricted	order	Scleractinia	1350
Dark-Restricted	order	Stauromedusae	1073
Dark-Restricted	phylum	Cnidaria	3149
Dark-Restricted	species	Acropora	4
Dark-Restricted	species	Aurelia	611
Dark-Restricted	species	Calvadosia	333
Dark-Restricted	species	Montastraea	88
Dark-Restricted	species	Montipora	293
Dark-Restricted	species	Pocillopora	8
Dark-Restricted	species	Pocillopora	2
Dark-Restricted	species	Pocillopora	3
Dark-Restricted	species	Porites	1
Dark-Restricted	subclass	Heteroscleromorpha	270
Dark-Restricted	subclass	Hexacorallia	1529
Dark-Restricted	subclass	Hydroidolina	778
Dark-Restricted	subclass	Myxosporea	19
Dark-Restricted	subclass	NA	1388
Dark-Restricted	subclass	Octocorallia	235
Dark-Restricted	subfamily	Faviinae	5
Dark-Restricted	subfamily	NA	2487
Dark-Restricted	suborder	Amyostaurida	101
Dark-Restricted	suborder	Astrocoeniina	89
Dark-Restricted	suborder	Capitata	558
Dark-Restricted	suborder	Faviina	269
Dark-Restricted	suborder	Filifera	125
Dark-Restricted	suborder	Fungiina	47
Dark-Restricted	suborder	Holaxonia	182
Dark-Restricted	suborder	Myostaurida	147
Dark-Restricted	suborder	NA	1111
Dark-Restricted	tax_id	102202 (Astreopora myriophthalma)	882
Dark-Restricted	tax_id	102205 (Platygyra sinensis)	1026
Dark-Restricted	tax_id	10228 (Trichoplax adhaerens)	75
Dark-Restricted	tax_id	104178 (Porites evermanni)	528
Dark-Restricted	tax_id	104758 (Porites astreoides)	2673
Dark-Restricted	tax_id	104759 (Porites lobata)	1052
Dark-Restricted	tax_id	105609 (Montipora aequituberculata)	138
Dark-Restricted	tax_id	105610 (Montipora efflorescens)	1057
Dark-Restricted	tax_id	1136245 (Platygyra carnosa)	4309
Dark-Restricted	tax_id	114500 (Acropora intermedia)	193
Dark-Restricted	tax_id	117778 (Acropora yongei)	232
Dark-Restricted	tax_id	1193083 (Alatina alata)	29091
Dark-Restricted	tax_id	12993 (Cassiopea xamachana)	3284
Dark-Restricted	tax_id	13093 (Hydractinia symbiolongicarpus)	597
Dark-Restricted	tax_id	1403702 (Hormiphora californensis)	1571
Dark-Restricted	tax_id	142104 (Corallium rubrum)	1591
Dark-Restricted	tax_id	1428006 (Pseudodiploria strigosa)	420
Dark-Restricted	tax_id	1491507 (Pocillopora acuta)	1627
Dark-Restricted	tax_id	151771 (Dendronephthya gigantea)	150
Dark-Restricted	tax_id	1540031 (Coelastrea aspera)	555
Dark-Restricted	tax_id	156436 (Acropora microphthalma)	195
Dark-Restricted	tax_id	159855 (Acropora muricata)	924
Dark-Restricted	tax_id	165727 (Acropora selago)	220
Dark-Restricted	tax_id	168739 (Haliclystus sanjuanensis)	1381
Dark-Restricted	tax_id	168775 (Physalia physalis)	1183
Dark-Restricted	tax_id	1784781 (Turritopsis sp. SK-2016)	1618
Dark-Restricted	tax_id	178554 (Xestospongia testudinaria)	2054
Dark-Restricted	tax_id	1843192 (Calvadosia cruxmelitensis)	5508
