Designation	Conditions	Count	Percent
Dark-Shared	Ambient1vsHighTemp1	0	0
Light-Restricted	Ambient1vsHighTemp1	11	40.7407
Dark-Restricted	Ambient1vsHighTemp1	10	19.2308
Light-Shared	Ambient1vsHighTemp1	165	18.3537
Dark-Shared	Ambient3vsHighTemp3	1	100
Light-Restricted	Ambient3vsHighTemp3	8	29.6296
Dark-Restricted	Ambient3vsHighTemp3	31	59.6154
Light-Shared	Ambient3vsHighTemp3	551	61.2903
Dark-Shared	Ambient5vsHighTemp5	0	0
Light-Restricted	Ambient5vsHighTemp5	10	37.037
Dark-Restricted	Ambient5vsHighTemp5	29	55.7692
Light-Shared	Ambient5vsHighTemp5	353	39.2659
Dark-Shared	Total	1	0.666667
Light-Restricted	Total	27	2.4839
Dark-Restricted	Total	52	1.33573
Light-Shared	Total	899	1.82523
