Designation	Conditions	Count	Percent
Dark	ATAC10vsATHC10	6	1.05263
Light	ATAC10vsATHC10	249	1.51056
Dark	ATAC10vsHTAC10	2	0.350877
Light	ATAC10vsHTAC10	44	0.266926
Dark	ATAC10vsHTHC10	201	35.2632
Light	ATAC10vsHTHC10	8700	52.7785
Dark	ATAC11vsATHC11	3	0.526316
Light	ATAC11vsATHC11	91	0.55205
Dark	ATAC11vsHTAC11	426	74.7368
Light	ATAC11vsHTAC11	12681	76.9291
Dark	ATAC11vsHTHC11	81	14.2105
Light	ATAC11vsHTHC11	1523	9.23926
Dark	ATAC1vsATHC1	25	4.38596
Light	ATAC1vsATHC1	821	4.98059
Dark	ATAC1vsHTAC1	2	0.350877
Light	ATAC1vsHTAC1	41	0.248726
Dark	ATAC1vsHTHC1	77	13.5088
Light	ATAC1vsHTHC1	3450	20.9294
Dark	ATAC3vsATHC3	1	0.175439
Light	ATAC3vsATHC3	8	0.0485319
Dark	ATAC3vsHTAC3	0	0
Light	ATAC3vsHTAC3	16	0.0970638
Dark	ATAC3vsHTHC3	5	0.877193
Light	ATAC3vsHTHC3	44	0.266926
Dark	ATAC4vsATHC4	2	0.350877
Light	ATAC4vsATHC4	47	0.285125
Dark	ATAC4vsHTAC4	0	0
Light	ATAC4vsHTAC4	4	0.024266
Dark	ATAC4vsHTHC4	4	0.701754
Light	ATAC4vsHTHC4	114	0.69158
Dark	ATAC5vsATHC5	1	0.175439
Light	ATAC5vsATHC5	37	0.22446
Dark	ATAC5vsHTAC5	4	0.701754
Light	ATAC5vsHTAC5	112	0.679447
Dark	ATAC5vsHTHC5	5	0.877193
Light	ATAC5vsHTHC5	111	0.67338
Dark	ATAC6vsATHC6	0	0
Light	ATAC6vsATHC6	18	0.109197
Dark	ATAC6vsHTAC6	0	0
Light	ATAC6vsHTAC6	4	0.024266
Dark	ATAC6vsHTHC6	2	0.350877
Light	ATAC6vsHTHC6	96	0.582383
Dark	ATAC7vsATHC7	0	0
Light	ATAC7vsATHC7	1	0.00606649
Dark	ATAC7vsHTAC7	0	0
Light	ATAC7vsHTAC7	2	0.012133
Dark	ATAC7vsHTHC7	22	3.85965
Light	ATAC7vsHTHC7	354	2.14754
Dark	ATAC8vsATHC8	1	0.175439
Light	ATAC8vsATHC8	22	0.133463
Dark	ATAC8vsHTAC8	4	0.701754
Light	ATAC8vsHTAC8	305	1.85028
Dark	ATAC8vsHTHC8	2	0.350877
Light	ATAC8vsHTHC8	170	1.0313
Dark	ATAC9vsATHC9	0	0
Light	ATAC9vsATHC9	12	0.0727979
Dark	ATAC9vsHTAC9	1	0.175439
Light	ATAC9vsHTAC9	32	0.194128
Dark	ATAC9vsHTHC9	123	21.5789
Light	ATAC9vsHTHC9	5706	34.6154
Dark	Total	570	21.8057
Light	Total	16484	52.976
