Designation	Conditions	Count	Percent
Dark-Shared	ATAC10vsATHC10	0	0
Light-Restricted	ATAC10vsATHC10	10	2.31481
Dark-Restricted	ATAC10vsATHC10	6	1.10294
Light-Shared	ATAC10vsATHC10	239	1.48891
Dark-Shared	ATAC10vsHTAC10	0	0
Light-Restricted	ATAC10vsHTAC10	7	1.62037
Dark-Restricted	ATAC10vsHTAC10	2	0.367647
Light-Shared	ATAC10vsHTAC10	37	0.230501
Dark-Shared	ATAC10vsHTHC10	6	23.0769
Light-Restricted	ATAC10vsHTHC10	201	46.5278
Dark-Restricted	ATAC10vsHTHC10	195	35.8456
Light-Shared	ATAC10vsHTHC10	8499	52.9467
Dark-Shared	ATAC11vsATHC11	0	0
Light-Restricted	ATAC11vsATHC11	3	0.694444
Dark-Restricted	ATAC11vsATHC11	3	0.551471
Light-Shared	ATAC11vsATHC11	88	0.548218
Dark-Shared	ATAC11vsHTAC11	19	73.0769
Light-Restricted	ATAC11vsHTAC11	301	69.6759
Dark-Restricted	ATAC11vsHTAC11	407	74.8162
Light-Shared	ATAC11vsHTAC11	12380	77.1243
Dark-Shared	ATAC11vsHTHC11	2	7.69231
Light-Restricted	ATAC11vsHTHC11	67	15.5093
Dark-Restricted	ATAC11vsHTHC11	79	14.5221
Light-Shared	ATAC11vsHTHC11	1456	9.07052
Dark-Shared	ATAC1vsATHC1	3	11.5385
Light-Restricted	ATAC1vsATHC1	12	2.77778
Dark-Restricted	ATAC1vsATHC1	22	4.04412
Light-Shared	ATAC1vsATHC1	809	5.03987
Dark-Shared	ATAC1vsHTAC1	0	0
Light-Restricted	ATAC1vsHTAC1	0	0
Dark-Restricted	ATAC1vsHTAC1	2	0.367647
Light-Shared	ATAC1vsHTAC1	41	0.25542
Dark-Shared	ATAC1vsHTHC1	10	38.4615
Light-Restricted	ATAC1vsHTHC1	41	9.49074
Dark-Restricted	ATAC1vsHTHC1	67	12.3162
Light-Shared	ATAC1vsHTHC1	3409	21.2372
Dark-Shared	ATAC3vsATHC3	0	0
Light-Restricted	ATAC3vsATHC3	0	0
Dark-Restricted	ATAC3vsATHC3	1	0.183824
Light-Shared	ATAC3vsATHC3	8	0.049838
Dark-Shared	ATAC3vsHTAC3	0	0
Light-Restricted	ATAC3vsHTAC3	0	0
Dark-Restricted	ATAC3vsHTAC3	0	0
Light-Shared	ATAC3vsHTAC3	16	0.0996761
Dark-Shared	ATAC3vsHTHC3	0	0
Light-Restricted	ATAC3vsHTHC3	2	0.462963
Dark-Restricted	ATAC3vsHTHC3	5	0.919118
Light-Shared	ATAC3vsHTHC3	42	0.26165
Dark-Shared	ATAC4vsATHC4	0	0
Light-Restricted	ATAC4vsATHC4	5	1.15741
Dark-Restricted	ATAC4vsATHC4	2	0.367647
Light-Shared	ATAC4vsATHC4	42	0.26165
Dark-Shared	ATAC4vsHTAC4	0	0
Light-Restricted	ATAC4vsHTAC4	0	0
Dark-Restricted	ATAC4vsHTAC4	0	0
Light-Shared	ATAC4vsHTAC4	4	0.024919
Dark-Shared	ATAC4vsHTHC4	0	0
Light-Restricted	ATAC4vsHTHC4	4	0.925926
Dark-Restricted	ATAC4vsHTHC4	4	0.735294
Light-Shared	ATAC4vsHTHC4	110	0.685273
Dark-Shared	ATAC5vsATHC5	1	3.84615
Light-Restricted	ATAC5vsATHC5	5	1.15741
Dark-Restricted	ATAC5vsATHC5	0	0
Light-Shared	ATAC5vsATHC5	32	0.199352
Dark-Shared	ATAC5vsHTAC5	0	0
Light-Restricted	ATAC5vsHTAC5	4	0.925926
Dark-Restricted	ATAC5vsHTAC5	4	0.735294
Light-Shared	ATAC5vsHTAC5	108	0.672813
Dark-Shared	ATAC5vsHTHC5	1	3.84615
Light-Restricted	ATAC5vsHTHC5	5	1.15741
Dark-Restricted	ATAC5vsHTHC5	4	0.735294
Light-Shared	ATAC5vsHTHC5	106	0.660354
Dark-Shared	ATAC6vsATHC6	0	0
Light-Restricted	ATAC6vsATHC6	0	0
Dark-Restricted	ATAC6vsATHC6	0	0
Light-Shared	ATAC6vsATHC6	18	0.112136
Dark-Shared	ATAC6vsHTAC6	0	0
Light-Restricted	ATAC6vsHTAC6	0	0
Dark-Restricted	ATAC6vsHTAC6	0	0
Light-Shared	ATAC6vsHTAC6	4	0.024919
Dark-Shared	ATAC6vsHTHC6	0	0
Light-Restricted	ATAC6vsHTHC6	1	0.231481
Dark-Restricted	ATAC6vsHTHC6	2	0.367647
Light-Shared	ATAC6vsHTHC6	95	0.591827
Dark-Shared	ATAC7vsATHC7	0	0
Light-Restricted	ATAC7vsATHC7	0	0
Dark-Restricted	ATAC7vsATHC7	0	0
Light-Shared	ATAC7vsATHC7	1	0.00622975
Dark-Shared	ATAC7vsHTAC7	0	0
Light-Restricted	ATAC7vsHTAC7	0	0
Dark-Restricted	ATAC7vsHTAC7	0	0
Light-Shared	ATAC7vsHTAC7	2	0.0124595
Dark-Shared	ATAC7vsHTHC7	1	3.84615
Light-Restricted	ATAC7vsHTHC7	18	4.16667
Dark-Restricted	ATAC7vsHTHC7	21	3.86029
Light-Shared	ATAC7vsHTHC7	336	2.0932
Dark-Shared	ATAC8vsATHC8	0	0
Light-Restricted	ATAC8vsATHC8	0	0
Dark-Restricted	ATAC8vsATHC8	1	0.183824
Light-Shared	ATAC8vsATHC8	22	0.137055
Dark-Shared	ATAC8vsHTAC8	0	0
Light-Restricted	ATAC8vsHTAC8	10	2.31481
Dark-Restricted	ATAC8vsHTAC8	4	0.735294
Light-Shared	ATAC8vsHTAC8	295	1.83778
Dark-Shared	ATAC8vsHTHC8	0	0
Light-Restricted	ATAC8vsHTHC8	6	1.38889
Dark-Restricted	ATAC8vsHTHC8	2	0.367647
Light-Shared	ATAC8vsHTHC8	164	1.02168
Dark-Shared	ATAC9vsATHC9	0	0
Light-Restricted	ATAC9vsATHC9	0	0
Dark-Restricted	ATAC9vsATHC9	0	0
Light-Shared	ATAC9vsATHC9	12	0.074757
Dark-Shared	ATAC9vsHTAC9	0	0
Light-Restricted	ATAC9vsHTAC9	1	0.231481
Dark-Restricted	ATAC9vsHTAC9	1	0.183824
Light-Shared	ATAC9vsHTAC9	31	0.193122
Dark-Shared	ATAC9vsHTHC9	4	15.3846
Light-Restricted	ATAC9vsHTHC9	124	28.7037
Dark-Restricted	ATAC9vsHTHC9	119	21.875
Light-Shared	ATAC9vsHTHC9	5582	34.7745
Dark-Shared	Total	26	41.2698
Light-Restricted	Total	432	38.814
Dark-Restricted	Total	544	21.325
Light-Shared	Total	16052	53.5013
