Designation	Conditions	Count	Percent	BroadCellType	BroadCellColor
Dark	cnidocyte_ecEp_head_hypostome	40	14.1343	cnidocyte	plum3
Light	cnidocyte_ecEp_head_hypostome	381	7.38515	cnidocyte	plum3
Dark	cnidocyte_i_nb1	16	5.65371	cnidocyte	plum3
Light	cnidocyte_i_nb1	689	13.3553	cnidocyte	plum3
Dark	cnidocyte_i_nb2	18	6.36042	cnidocyte	plum3
Light	cnidocyte_i_nb2	563	10.913	cnidocyte	plum3
Dark	cnidocyte_i_nb3	40	14.1343	cnidocyte	plum3
Light	cnidocyte_i_nb3	554	10.7385	cnidocyte	plum3
Dark	cnidocyte_i_nb4	39	13.7809	cnidocyte	plum3
Light	cnidocyte_i_nb4	337	6.53227	cnidocyte	plum3
Dark	cnidocyte_i_nb5	41	14.4876	cnidocyte	plum3
Light	cnidocyte_i_nb5	409	7.92789	cnidocyte	plum3
Dark	epidermis_ecEp_basal_disk	53	18.7279	epidermis	turquoise3
Light	epidermis_ecEp_basal_disk	522	10.1182	epidermis	turquoise3
Dark	epidermis_ecEp_fmgl_db	43	15.1943	epidermis	turquoise3
Light	epidermis_ecEp_fmgl_db	646	12.5218	epidermis	turquoise3
Dark	epidermis_ecEp_peduncle	47	16.6078	epidermis	turquoise3
Light	epidermis_ecEp_peduncle	578	11.2037	epidermis	turquoise3
Dark	epidermis_ecEp_stem_cell	33	11.6608	epidermis	turquoise3
Light	epidermis_ecEp_stem_cell	484	9.38166	epidermis	turquoise3
Dark	gastrodermis_enEp_foot	44	15.5477	gastrodermis	chartreuse4
Light	gastrodermis_enEp_foot	540	10.4671	gastrodermis	chartreuse4
Dark	gastrodermis_enEp_head	42	14.841	gastrodermis	chartreuse4
Light	gastrodermis_enEp_head	548	10.6222	gastrodermis	chartreuse4
Dark	gastrodermis_enEp_stem_cell	46	16.2544	gastrodermis	chartreuse4
Light	gastrodermis_enEp_stem_cell	499	9.67242	gastrodermis	chartreuse4
Dark	gastrodermis_enEp_tentacle	54	19.0813	gastrodermis	chartreuse4
Light	gastrodermis_enEp_tentacle	654	12.6769	gastrodermis	chartreuse4
Dark	germline_i_female	25	8.83392	germline	mediumorchid4
Light	germline_i_female	1035	20.062	germline	mediumorchid4
Dark	germline_i_female_nurse_cell	31	10.9541	germline	mediumorchid4
Light	germline_i_female_nurse_cell	1014	19.655	germline	mediumorchid4
Dark	germline_i_male	21	7.42049	germline	mediumorchid4
Light	germline_i_male	941	18.24	germline	mediumorchid4
Dark	gland_i_granular_mucous	15	5.30035	gland	orange1
Light	gland_i_granular_mucous	241	4.67145	gland	orange1
Dark	gland_i_spumous_mucous	21	7.42049	gland	orange1
Light	gland_i_spumous_mucous	272	5.27234	gland	orange1
Dark	gland_i_zymogen	13	4.59364	gland	orange1
Light	gland_i_zymogen	144	2.79124	gland	orange1
Dark	neuron_i_ec1	45	15.9011	neuron	skyblue
Light	neuron_i_ec1	648	12.5606	neuron	skyblue
Dark	neuron_i_ec2	28	9.89399	neuron	skyblue
Light	neuron_i_ec2	574	11.1262	neuron	skyblue
Dark	neuron_i_ec3	35	12.3675	neuron	skyblue
Light	neuron_i_ec3	427	8.2768	neuron	skyblue
Dark	neuron_i_ec4	37	13.0742	neuron	skyblue
Light	neuron_i_ec4	585	11.3394	neuron	skyblue
Dark	neuron_i_ec5	24	8.48057	neuron	skyblue
Light	neuron_i_ec5	402	7.79221	neuron	skyblue
Dark	neuron_i_en1	36	12.7208	neuron	skyblue
Light	neuron_i_en1	435	8.43187	neuron	skyblue
Dark	neuron_i_en2	36	12.7208	neuron	skyblue
Light	neuron_i_en2	440	8.52878	neuron	skyblue
Dark	neuron_i_en3	31	10.9541	neuron	skyblue
Light	neuron_i_en3	514	9.96317	neuron	skyblue
Dark	precursors_i	12	4.24028	precursors	grey
Light	precursors_i	757	14.6734	precursors	grey
Dark	precursors_nematocyte	54	19.0813	precursors	grey
Light	precursors_nematocyte	902	17.484	precursors	grey
Dark	precursors_neuron	14	4.947	precursors	grey
Light	precursors_neuron	494	9.5755	precursors	grey
Dark	precursors_neuron_gland	10	3.53357	precursors	grey
Light	precursors_neuron_gland	638	12.3667	precursors	grey
Dark	Total	283	27.3694	Total	white
Light	Total	5159	25.3501	Total	white
