Designation	Conditions	Count	Percent	BroadCellType	BroadCellColor
Dark	1	20	6.94444	cnidocyte	plum3
Light	1	281	5.33005	cnidocyte	plum3
Dark	2	29	10.0694	cnidocyte	plum3
Light	2	248	4.7041	cnidocyte	plum3
Dark	3	35	12.1528	cnidocyte	plum3
Light	3	259	4.91275	cnidocyte	plum3
Dark	4	35	12.1528	cnidocyte	plum3
Light	4	314	5.95599	cnidocyte	plum3
Dark	5	17	5.90278	cnidocyte	plum3
Light	5	288	5.46282	cnidocyte	plum3
Dark	6	17	5.90278	cnidocyte	plum3
Light	6	220	4.17299	cnidocyte	plum3
Dark	7	27	9.375	cnidocyte	plum3
Light	7	240	4.55235	cnidocyte	plum3
Dark	8	25	8.68056	cnidocyte	plum3
Light	8	229	4.3437	cnidocyte	plum3
Dark	9	37	12.8472	cnidocyte	plum3
Light	9	263	4.98862	cnidocyte	plum3
Dark	10	33	11.4583	cnidocyte	plum3
Light	10	266	5.04552	cnidocyte	plum3
Dark	11	38	13.1944	cnidocyte	plum3
Light	11	333	6.31639	cnidocyte	plum3
Dark	12	20	6.94444	cnidocyte	plum3
Light	12	273	5.1783	cnidocyte	plum3
Dark	13	11	3.81944	cnidocyte	plum3
Light	13	331	6.27845	cnidocyte	plum3
Dark	14	11	3.81944	cnidocyte	plum3
Light	14	287	5.44385	cnidocyte	plum3
Dark	15	11	3.81944	cnidocyte	plum3
Light	15	395	7.49241	cnidocyte	plum3
Dark	16	12	4.16667	cnidocyte	plum3
Light	16	399	7.56829	cnidocyte	plum3
Dark	17	6	2.08333	cnidocyte	plum3
Light	17	334	6.33536	cnidocyte	plum3
Dark	18	5	1.73611	cnidocyte	plum3
Light	18	330	6.25948	cnidocyte	plum3
Dark	19	11	3.81944	cnidocyte	plum3
Light	19	494	9.37026	cnidocyte	plum3
Dark	20	8	2.77778	cnidocyte	plum3
Light	20	390	7.39757	cnidocyte	plum3
Dark	21	7	2.43056	cnidocyte	plum3
Light	21	317	6.0129	cnidocyte	plum3
Dark	22	14	4.86111	cnidocyte	plum3
Light	22	333	6.31639	cnidocyte	plum3
Dark	23	11	3.81944	cnidocyte	plum3
Light	23	261	4.95068	cnidocyte	plum3
Dark	24	16	5.55556	cnidocyte	plum3
Light	24	255	4.83687	cnidocyte	plum3
Dark	25	14	4.86111	cnidocyte	plum3
