Designation	Conditions	Count	Percent	BroadCellType	BroadCellColor
Dark	cnidocyte	15	22.0588	cnidocyte	plum3
Light	cnidocyte	364	20.438	cnidocyte	plum3
Dark	digestive_filaments	17	25	digestive_filaments	firebrick3
Light	digestive_filaments	426	23.9191	digestive_filaments	firebrick3
Dark	epidermis	14	20.5882	epidermis	turquoise3
Light	epidermis	219	12.2965	epidermis	turquoise3
Dark	gastrodermis	8	11.7647	gastrodermis	chartreuse4
Light	gastrodermis	256	14.3739	gastrodermis	chartreuse4
Dark	gland	11	16.1765	gland	orange1
Light	gland	137	7.69231	gland	orange1
Dark	muscle	6	8.82353	muscle	gold1
Light	muscle	223	12.5211	muscle	gold1
Dark	neuron	8	11.7647	neuron	skyblue
Light	neuron	243	13.644	neuron	skyblue
Dark	precursors	4	5.88235	precursors	grey
Light	precursors	206	11.5665	precursors	grey
Dark	Total	68	8.59671	Total	white
Light	Total	1781	12.2288	Total	white
