Designation	Conditions	Count	Percent	BroadCellType	BroadCellColor
Dark	cnidocyte_nematocytes	17	7.65766	cnidocyte	plum3
Light	cnidocyte_nematocytes	383	4.58738	cnidocyte	plum3
Dark	cnidocyte_spirocytes	7	3.15315	cnidocyte	plum3
Light	cnidocyte_spirocytes	324	3.8807	cnidocyte	plum3
Dark	digestive_filaments	18	8.10811	digestive_filaments	firebrick3
Light	digestive_filaments	590	7.06671	digestive_filaments	firebrick3
Dark	epidermis	17	7.65766	epidermis	turquoise3
Light	epidermis	355	4.25201	epidermis	turquoise3
Dark	gastrodermis	8	3.6036	gastrodermis	chartreuse4
Light	gastrodermis	354	4.24003	gastrodermis	chartreuse4
Dark	gland_secretory_1A	13	5.85586	gland	orange1
Light	gland_secretory_1A	118	1.41334	gland	orange1
Dark	gland_secretory_1B	12	5.40541	gland	orange1
Light	gland_secretory_1B	255	3.05426	gland	orange1
Dark	gland_secretory_2	14	6.30631	gland	orange1
Light	gland_secretory_2	647	7.74943	gland	orange1
Dark	gland_secretory_3	7	3.15315	gland	orange1
Light	gland_secretory_3	178	2.13199	gland	orange1
Dark	gland_secretory_4	22	9.90991	gland	orange1
Light	gland_secretory_4	736	8.81543	gland	orange1
Dark	gland_secretory_5	40	18.018	gland	orange1
Light	gland_secretory_5	1242	14.876	gland	orange1
Dark	gland_secretory_6	9	4.05405	gland	orange1
Light	gland_secretory_6	283	3.38963	gland	orange1
Dark	gland_secretory_8	13	5.85586	gland	orange1
Light	gland_secretory_8	282	3.37765	gland	orange1
Dark	gland_secretory_9	10	4.5045	gland	orange1
Light	gland_secretory_9	320	3.83279	gland	orange1
Dark	gland_secretory_U1	14	6.30631	gland	orange1
Light	gland_secretory_U1	133	1.59301	gland	orange1
Dark	gland_secretory_U11	14	6.30631	gland	orange1
Light	gland_secretory_U11	280	3.3537	gland	orange1
Dark	gland_secretory_U14	6	2.7027	gland	orange1
Light	gland_secretory_U14	139	1.66487	gland	orange1
Dark	gland_secretory_U15	6	2.7027	gland	orange1
Light	gland_secretory_U15	150	1.79662	gland	orange1
Dark	gland_secretory_U16	4	1.8018	gland	orange1
Light	gland_secretory_U16	99	1.18577	gland	orange1
Dark	gland_secretory_U17	4	1.8018	gland	orange1
Light	gland_secretory_U17	76	0.910289	gland	orange1
Dark	gland_secretory_U19	9	4.05405	gland	orange1
Light	gland_secretory_U19	108	1.29357	gland	orange1
Dark	gland_secretory_U2	18	8.10811	gland	orange1
Light	gland_secretory_U2	381	4.56342	gland	orange1
Dark	gland_secretory_U20	3	1.35135	gland	orange1
Light	gland_secretory_U20	94	1.12588	gland	orange1
