Designation	Conditions	Count	Percent	BroadCellType	BroadCellColor
Dark	1	11	5.91398	cnidocyte	plum3
Light	1	277	4.06039	cnidocyte	plum3
Dark	2	5	2.68817	cnidocyte	plum3
Light	2	202	2.96101	cnidocyte	plum3
Dark	3	5	2.68817	muscle	gold1
Light	3	194	2.84374	muscle	gold1
Dark	4	7	3.76344	muscle	gold1
Light	4	181	2.65318	muscle	gold1
Dark	5	3	1.6129	muscle	gold1
Light	5	226	3.31281	muscle	gold1
Dark	6	8	4.30108	muscle	gold1
Light	6	283	4.14834	muscle	gold1
Dark	7	11	5.91398	gastrodermis	chartreuse4
Light	7	433	6.34711	gastrodermis	chartreuse4
Dark	8	15	8.06452	gastrodermis	chartreuse4
Light	8	399	5.84872	gastrodermis	chartreuse4
Dark	9	11	5.91398	gastrodermis	chartreuse4
Light	9	357	5.23307	gastrodermis	chartreuse4
Dark	10	12	6.45161	gastrodermis	chartreuse4
Light	10	325	4.764	gastrodermis	chartreuse4
Dark	11	6	3.22581	gastrodermis	chartreuse4
Light	11	314	4.60276	gastrodermis	chartreuse4
Dark	12	8	4.30108	gastrodermis	chartreuse4
Light	12	413	6.05394	gastrodermis	chartreuse4
Dark	13	6	3.22581	gastrodermis	chartreuse4
Light	13	191	2.79977	gastrodermis	chartreuse4
Dark	14	3	1.6129	gastrodermis	chartreuse4
Light	14	223	3.26884	gastrodermis	chartreuse4
Dark	15	4	2.15054	gastrodermis	chartreuse4
Light	15	257	3.76722	gastrodermis	chartreuse4
Dark	16	6	3.22581	gastrodermis	chartreuse4
Light	16	194	2.84374	gastrodermis	chartreuse4
Dark	17	11	5.91398	gastrodermis	chartreuse4
Light	17	485	7.10935	gastrodermis	chartreuse4
Dark	18	6	3.22581	gastrodermis	chartreuse4
Light	18	299	4.38288	gastrodermis	chartreuse4
Dark	19	3	1.6129	gastrodermis	chartreuse4
Light	19	275	4.03108	gastrodermis	chartreuse4
Dark	20	4	2.15054	gastrodermis	chartreuse4
Light	20	341	4.99853	gastrodermis	chartreuse4
Dark	21	5	2.68817	gastrodermis	chartreuse4
Light	21	251	3.67927	gastrodermis	chartreuse4
Dark	22	5	2.68817	gastrodermis	chartreuse4
Light	22	179	2.62386	gastrodermis	chartreuse4
Dark	23	3	1.6129	gastrodermis	chartreuse4
Light	23	325	4.764	gastrodermis	chartreuse4
Dark	24	9	4.83871	gastrodermis	chartreuse4
Light	24	301	4.4122	gastrodermis	chartreuse4
Dark	25	5	2.68817	gastrodermis	chartreuse4
Light	25	251	3.67927	gastrodermis	chartreuse4
Dark	26	9	4.83871	gastrodermis	chartreuse4
Light	26	333	4.88127	gastrodermis	chartreuse4
Dark	27	5	2.68817	gastrodermis	chartreuse4
Light	27	244	3.57666	gastrodermis	chartreuse4
Dark	28	11	5.91398	gastrodermis	chartreuse4
Light	28	457	6.69892	gastrodermis	chartreuse4
Dark	29	11	5.91398	gastrodermis	chartreuse4
Light	29	340	4.98388	gastrodermis	chartreuse4
Dark	30	7	3.76344	gastrodermis	chartreuse4
Light	30	213	3.12225	gastrodermis	chartreuse4
Dark	31	12	6.45161	gastrodermis	chartreuse4
Light	31	190	2.78511	gastrodermis	chartreuse4
Dark	32	7	3.76344	gastrodermis	chartreuse4
Light	32	224	3.28349	gastrodermis	chartreuse4
Dark	33	5	2.68817	gastrodermis	chartreuse4
Light	33	285	4.17766	gastrodermis	chartreuse4
Dark	34	2	1.07527	gastrodermis	chartreuse4
Light	34	249	3.64996	gastrodermis	chartreuse4
Dark	35	10	5.37634	gastrodermis	chartreuse4
Light	35	217	3.18089	gastrodermis	chartreuse4
Dark	36	7	3.76344	gastrodermis	chartreuse4
Light	36	215	3.15157	gastrodermis	chartreuse4
Dark	37	8	4.30108	gastrodermis	chartreuse4
Light	37	182	2.66784	gastrodermis	chartreuse4
Dark	38	8	4.30108	gastrodermis	chartreuse4
Light	38	213	3.12225	gastrodermis	chartreuse4
Dark	39	14	7.52688	gastrodermis	chartreuse4
Light	39	358	5.24773	gastrodermis	chartreuse4
Dark	40	5	2.68817	gastrodermis	chartreuse4
Light	40	199	2.91703	gastrodermis	chartreuse4
Dark	41	17	9.13978	digestive_filaments	firebrick3
Light	41	471	6.90413	digestive_filaments	firebrick3
Dark	42	18	9.67742	digestive_filaments	firebrick3
Light	42	558	8.17942	digestive_filaments	firebrick3
