Designation	Conditions	Count	Percent	BroadCellType	BroadCellColor
Dark	alga-hosting_cells	6	6.97674	alga-hosting	limegreen
Light	alga-hosting_cells	279	6.99423	alga-hosting	limegreen
Dark	calicoblast	18	20.9302	calicoblast	purple3
Light	calicoblast	313	7.84658	calicoblast	purple3
Dark	cnidocyte	16	18.6047	cnidocyte	plum3
Light	cnidocyte	637	15.9689	cnidocyte	plum3
Dark	digestive_filaments	0	0	digestive	firebrick3
Light	digestive_filaments	177	4.4372	digestive	firebrick3
Dark	epidermis	6	6.97674	epidermis	turquoise3
Light	epidermis	279	6.99423	epidermis	turquoise3
Dark	gastrodermis	13	15.1163	gastrodermis	chartreuse2
Light	gastrodermis	262	6.56806	gastrodermis	chartreuse2
Dark	germline	20	23.2558	germline	mediumorchid4
Light	germline	1400	35.0965	germline	mediumorchid4
Dark	gland	2	2.32558	gland	chocolate1
Light	gland	168	4.21158	gland	chocolate1
Dark	immune	5	5.81395	immune	khaki3
Light	immune	412	10.3284	immune	khaki3
Dark	mitotic_host_cells	2	2.32558	mitotic	burlywood2
Light	mitotic_host_cells	218	5.46503	mitotic	burlywood2
Dark	neuron	9	10.4651	neuron	blue1
Light	neuron	380	9.5262	neuron	blue1
Dark	unknown	17	19.7674	unknown	gray44
Light	unknown	539	13.5122	unknown	gray44
Dark	Total	86	10.3865	Total	white
Light	Total	3989	15.9937	Total	white
