Designation	Conditions	Count	Percent	BroadCellType	BroadCellColor
Dark	alga-hosting_cells	6	2.7907	alga-hosting	limegreen
Light	alga-hosting_cells	274	2.7854	alga-hosting	limegreen
Dark	calicoblast	17	7.90698	calicoblast	purple3
Light	calicoblast	299	3.03954	calicoblast	purple3
Dark	cnidocyte	17	7.90698	cnidocyte	plum3
Light	cnidocyte	533	5.41832	cnidocyte	plum3
Dark	digestive_filaments	1	0.465116	digestive	firebrick3
Light	digestive_filaments	125	1.27071	digestive	firebrick3
Dark	epidermis_1	6	2.7907	epidermis	turquoise3
Light	epidermis_1	221	2.24662	epidermis	turquoise3
Dark	epidermis_2	6	2.7907	epidermis	turquoise3
Light	epidermis_2	442	4.49324	epidermis	turquoise3
Dark	gastrodermis	13	6.04651	gastrodermis	chartreuse2
Light	gastrodermis	264	2.68375	gastrodermis	chartreuse2
Dark	gastrodermis_musclelike	13	6.04651	gastrodermis	chartreuse2
Light	gastrodermis_musclelike	313	3.18186	gastrodermis	chartreuse2
Dark	germline_sperm	19	8.83721	germline	mediumorchid4
Light	germline_sperm	1307	13.2866	germline	mediumorchid4
Dark	gland_1	3	1.39535	gland	chocolate1
Light	gland_1	185	1.88065	gland	chocolate1
Dark	gland_10	3	1.39535	gland	chocolate1
Light	gland_10	293	2.97855	gland	chocolate1
Dark	gland_2	17	7.90698	gland	chocolate1
Light	gland_2	1158	11.7719	gland	chocolate1
Dark	gland_3_digestive	12	5.5814	gland	chocolate1
Light	gland_3_digestive	611	6.21124	gland	chocolate1
Dark	gland_4	5	2.32558	gland	chocolate1
Light	gland_4	380	3.86297	gland	chocolate1
Dark	gland_5	20	9.30233	gland	chocolate1
Light	gland_5	917	9.32195	gland	chocolate1
Dark	gland_6	10	4.65116	gland	chocolate1
Light	gland_6	464	4.71689	gland	chocolate1
Dark	gland_7	3	1.39535	gland	chocolate1
Light	gland_7	300	3.04971	gland	chocolate1
Dark	gland_8	0	0	gland	chocolate1
Light	gland_8	151	1.53502	gland	chocolate1
Dark	gland_9	7	3.25581	gland	chocolate1
Light	gland_9	454	4.61523	gland	chocolate1
Dark	immune_1	8	3.72093	immune	khaki3
Light	immune_1	495	5.03202	immune	khaki3
Dark	immune_2	4	1.86047	immune	khaki3
Light	immune_2	356	3.61899	immune	khaki3
Dark	mitotic_host_cells	2	0.930233	mitotic	burlywood2
Light	mitotic_host_cells	209	2.12463	mitotic	burlywood2
Dark	neuron_1	7	3.25581	neuron	blue1
Light	neuron_1	309	3.1412	neuron	blue1
Dark	neuron_10	34	15.814	neuron	blue1
Light	neuron_10	1841	18.7151	neuron	blue1
Dark	neuron_11	8	3.72093	neuron	blue1
Light	neuron_11	484	4.9202	neuron	blue1
Dark	neuron_12	17	7.90698	neuron	blue1
Light	neuron_12	1064	10.8163	neuron	blue1
Dark	neuron_13	36	16.7442	neuron	blue1
Light	neuron_13	2080	21.1447	neuron	blue1
Dark	neuron_14	18	8.37209	neuron	blue1
Light	neuron_14	556	5.65213	neuron	blue1
Dark	neuron_2	12	5.5814	neuron	blue1
Light	neuron_2	690	7.01433	neuron	blue1
Dark	neuron_3	9	4.18605	neuron	blue1
Light	neuron_3	370	3.76131	neuron	blue1
Dark	neuron_4	7	3.25581	neuron	blue1
Light	neuron_4	321	3.26319	neuron	blue1
Dark	neuron_5	7	3.25581	neuron	blue1
Light	neuron_5	350	3.558	neuron	blue1
Dark	neuron_6	12	5.5814	neuron	blue1
Light	neuron_6	525	5.33699	neuron	blue1
Dark	neuron_7	15	6.97674	neuron	blue1
Light	neuron_7	565	5.74362	neuron	blue1
Dark	neuron_8	9	4.18605	neuron	blue1
Light	neuron_8	498	5.06252	neuron	blue1
Dark	neuron_9	11	5.11628	neuron	blue1
Light	neuron_9	481	4.8897	neuron	blue1
Dark	unknown	16	7.44186	unknown	gray44
Light	unknown	461	4.68639	unknown	gray44
Dark	Total	215	25.9662	Total	white
Light	Total	9837	39.4411	Total	white
