Designation	Conditions	Count	Percent	BroadCellType	BroadCellColor
Dark	1	6	2.57511	cnidocyte	plum3
Light	1	201	1.85973	cnidocyte	plum3
Dark	2	5	2.14592	gastrodermis	chartreuse2
Light	2	147	1.3601	gastrodermis	chartreuse2
Dark	3	7	3.00429	gastrodermis	chartreuse2
Light	3	222	2.05403	gastrodermis	chartreuse2
Dark	4	7	3.00429	gastrodermis	chartreuse2
Light	4	325	3.00703	gastrodermis	chartreuse2
Dark	5	5	2.14592	gastrodermis	chartreuse2
Light	5	194	1.79497	gastrodermis	chartreuse2
Dark	6	7	3.00429	gastrodermis	chartreuse2
Light	6	227	2.1003	gastrodermis	chartreuse2
Dark	7	3	1.28755	gastrodermis	chartreuse2
Light	7	155	1.43412	gastrodermis	chartreuse2
Dark	8	3	1.28755	gastrodermis	chartreuse2
Light	8	143	1.32309	gastrodermis	chartreuse2
Dark	9	4	1.71674	gastrodermis	chartreuse2
Light	9	137	1.26758	gastrodermis	chartreuse2
Dark	10	6	2.57511	gastrodermis	chartreuse2
Light	10	161	1.48964	gastrodermis	chartreuse2
Dark	11	5	2.14592	gastrodermis	chartreuse2
Light	11	159	1.47113	gastrodermis	chartreuse2
Dark	12	10	4.29185	gastrodermis	chartreuse2
Light	12	441	4.08031	gastrodermis	chartreuse2
Dark	13	6	2.57511	gastrodermis	chartreuse2
Light	13	178	1.64693	gastrodermis	chartreuse2
Dark	14	3	1.28755	gastrodermis	chartreuse2
Light	14	182	1.68394	gastrodermis	chartreuse2
Dark	15	5	2.14592	gastrodermis	chartreuse2
Light	15	143	1.32309	gastrodermis	chartreuse2
Dark	16	7	3.00429	gastrodermis	chartreuse2
Light	16	120	1.11029	gastrodermis	chartreuse2
Dark	17	11	4.72103	gastrodermis	chartreuse2
Light	17	385	3.56218	gastrodermis	chartreuse2
Dark	18	3	1.28755	gastrodermis	chartreuse2
Light	18	169	1.56366	gastrodermis	chartreuse2
Dark	19	5	2.14592	gastrodermis	chartreuse2
Light	19	182	1.68394	gastrodermis	chartreuse2
Dark	20	5	2.14592	gastrodermis	chartreuse2
Light	20	167	1.54515	gastrodermis	chartreuse2
Dark	21	9	3.86266	gastrodermis	chartreuse2
Light	21	332	3.0718	gastrodermis	chartreuse2
Dark	22	4	1.71674	gastrodermis	chartreuse2
Light	22	324	2.99778	gastrodermis	chartreuse2
Dark	23	5	2.14592	gastrodermis	chartreuse2
Light	23	131	1.21207	gastrodermis	chartreuse2
Dark	24	6	2.57511	gastrodermis	chartreuse2
Light	24	338	3.12731	gastrodermis	chartreuse2
Dark	25	4	1.71674	gastrodermis	chartreuse2
Light	25	121	1.11954	gastrodermis	chartreuse2
Dark	26	8	3.43348	gastrodermis	chartreuse2
Light	26	393	3.6362	gastrodermis	chartreuse2
Dark	27	6	2.57511	gastrodermis	chartreuse2
Light	27	191	1.76721	gastrodermis	chartreuse2
Dark	28	6	2.57511	gastrodermis	chartreuse2
Light	28	249	2.30385	gastrodermis	chartreuse2
Dark	29	10	4.29185	gastrodermis	chartreuse2
Light	29	386	3.57143	gastrodermis	chartreuse2
Dark	30	5	2.14592	gastrodermis	chartreuse2
Light	30	154	1.42487	gastrodermis	chartreuse2
Dark	31	7	3.00429	gastrodermis	chartreuse2
Light	31	200	1.85048	gastrodermis	chartreuse2
Dark	32	4	1.71674	gastrodermis	chartreuse2
Light	32	142	1.31384	gastrodermis	chartreuse2
Dark	33	11	4.72103	gastrodermis	chartreuse2
Light	33	285	2.63694	gastrodermis	chartreuse2
Dark	34	9	3.86266	gastrodermis	chartreuse2
Light	34	395	3.6547	gastrodermis	chartreuse2
Dark	35	10	4.29185	gastrodermis	chartreuse2
Light	35	344	3.18283	gastrodermis	chartreuse2
Dark	36	10	4.29185	gastrodermis	chartreuse2
Light	36	402	3.71947	gastrodermis	chartreuse2
Dark	37	9	3.86266	gastrodermis	chartreuse2
Light	37	321	2.97002	gastrodermis	chartreuse2
Dark	38	8	3.43348	gastrodermis	chartreuse2
Light	38	265	2.45189	gastrodermis	chartreuse2
Dark	39	4	1.71674	gastrodermis	chartreuse2
Light	39	111	1.02702	gastrodermis	chartreuse2
Dark	40	2	0.858369	gastrodermis	chartreuse2
Light	40	144	1.33235	gastrodermis	chartreuse2
Dark	41	7	3.00429	gastrodermis	chartreuse2
Light	41	365	3.37713	gastrodermis	chartreuse2
Dark	42	10	4.29185	gastrodermis	chartreuse2
Light	42	304	2.81273	gastrodermis	chartreuse2
Dark	43	5	2.14592	gastrodermis	chartreuse2
Light	43	120	1.11029	gastrodermis	chartreuse2
Dark	44	2	0.858369	gastrodermis	chartreuse2
Light	44	66	0.610659	gastrodermis	chartreuse2
Dark	45	8	3.43348	gastrodermis	chartreuse2
Light	45	552	5.10733	gastrodermis	chartreuse2
Dark	46	8	3.43348	gastrodermis	chartreuse2
Light	46	161	1.48964	gastrodermis	chartreuse2
Dark	47	6	2.57511	gastrodermis	chartreuse2
Light	47	174	1.60992	gastrodermis	chartreuse2
Dark	48	9	3.86266	gastrodermis	chartreuse2
Light	48	287	2.65544	gastrodermis	chartreuse2
Dark	49	6	2.57511	gastrodermis	chartreuse2
Light	49	146	1.35085	gastrodermis	chartreuse2
Dark	50	5	2.14592	gastrodermis	chartreuse2
Light	50	115	1.06403	gastrodermis	chartreuse2
Dark	51	3	1.28755	gastrodermis	chartreuse2
Light	51	97	0.897483	gastrodermis	chartreuse2
Dark	52	2	0.858369	gastrodermis	chartreuse2
Light	52	89	0.823464	gastrodermis	chartreuse2
Dark	53	2	0.858369	gastrodermis	chartreuse2
Light	53	93	0.860474	gastrodermis	chartreuse2
Dark	54	9	3.86266	gastrodermis	chartreuse2
Light	54	337	3.11806	gastrodermis	chartreuse2
Dark	55	7	3.00429	gastrodermis	chartreuse2
Light	55	369	3.41414	gastrodermis	chartreuse2
Dark	56	2	0.858369	gastrodermis	chartreuse2
Light	56	72	0.666173	gastrodermis	chartreuse2
Dark	57	10	4.29185	gastrodermis	chartreuse2
Light	57	182	1.68394	gastrodermis	chartreuse2
Dark	58	4	1.71674	gastrodermis	chartreuse2
Light	58	110	1.01776	gastrodermis	chartreuse2
Dark	59	15	6.43777	gastrodermis	chartreuse2
Light	59	699	6.46743	gastrodermis	chartreuse2
Dark	60	5	2.14592	gastrodermis	chartreuse2
Light	60	138	1.27683	gastrodermis	chartreuse2
Dark	61	6	2.57511	gastrodermis	chartreuse2
Light	61	246	2.27609	gastrodermis	chartreuse2
Dark	62	3	1.28755	gastrodermis	chartreuse2
Light	62	334	3.0903	gastrodermis	chartreuse2
Dark	63	10	4.29185	gastrodermis	chartreuse2
Light	63	327	3.02554	gastrodermis	chartreuse2
Dark	64	3	1.28755	gastrodermis	chartreuse2
Light	64	92	0.851221	gastrodermis	chartreuse2
Dark	65	5	2.14592	gastrodermis	chartreuse2
Light	65	156	1.44338	gastrodermis	chartreuse2
Dark	66	4	1.71674	gastrodermis	chartreuse2
Light	66	394	3.64545	gastrodermis	chartreuse2
Dark	67	3	1.28755	gastrodermis	chartreuse2
Light	67	100	0.925241	gastrodermis	chartreuse2
Dark	68	8	3.43348	gastrodermis	chartreuse2
Light	68	194	1.79497	gastrodermis	chartreuse2
Dark	69	12	5.15021	gastrodermis	chartreuse2
Light	69	425	3.93227	gastrodermis	chartreuse2
Dark	70	7	3.00429	gastrodermis	chartreuse2
Light	70	185	1.7117	gastrodermis	chartreuse2
Dark	71	5	2.14592	gastrodermis	chartreuse2
Light	71	258	2.38712	gastrodermis	chartreuse2
Dark	72	7	3.00429	gastrodermis	chartreuse2
Light	72	351	3.24759	gastrodermis	chartreuse2
Dark	73	4	1.71674	alga-hosting	limegreen
Light	73	232	2.14656	alga-hosting	limegreen
Dark	74	4	1.71674	alga-hosting	limegreen
Light	74	194	1.79497	alga-hosting	limegreen
Dark	75	5	2.14592	alga-hosting	limegreen
Light	75	203	1.87824	alga-hosting	limegreen
Dark	76	5	2.14592	alga-hosting	limegreen
Light	76	195	1.80422	alga-hosting	limegreen
Dark	77	4	1.71674	alga-hosting	limegreen
Light	77	230	2.12805	alga-hosting	limegreen
Dark	78	3	1.28755	alga-hosting	limegreen
Light	78	128	1.18431	alga-hosting	limegreen
Dark	79	2	0.858369	alga-hosting	limegreen
Light	79	214	1.98001	alga-hosting	limegreen
Dark	80	2	0.858369	alga-hosting	limegreen
Light	80	285	2.63694	alga-hosting	limegreen
Dark	81	1	0.429185	alga-hosting	limegreen
Light	81	102	0.943745	alga-hosting	limegreen
Dark	82	2	0.858369	alga-hosting	limegreen
Light	82	173	1.60067	alga-hosting	limegreen
Dark	83	3	1.28755	alga-hosting	limegreen
Light	83	113	1.04552	alga-hosting	limegreen
Dark	84	2	0.858369	alga-hosting	limegreen
Light	84	161	1.48964	alga-hosting	limegreen
Dark	85	1	0.429185	alga-hosting	limegreen
Light	85	82	0.758697	alga-hosting	limegreen
Dark	86	3	1.28755	alga-hosting	limegreen
Light	86	170	1.57291	alga-hosting	limegreen
Dark	87	2	0.858369	mitotic	burlywood2
Light	87	194	1.79497	mitotic	burlywood2
Dark	88	10	4.29185	mitotic	burlywood2
Light	88	306	2.83124	mitotic	burlywood2
Dark	89	1	0.429185	mitotic	burlywood2
Light	89	216	1.99852	mitotic	burlywood2
Dark	90	3	1.28755	mitotic	burlywood2
Light	90	156	1.44338	mitotic	burlywood2
Dark	91	16	6.86695	mitotic	burlywood2
Light	91	827	7.65174	mitotic	burlywood2
Dark	92	1	0.429185	mitotic	burlywood2
Light	92	175	1.61917	mitotic	burlywood2
Dark	93	14	6.00858	mitotic	burlywood2
Light	93	446	4.12657	mitotic	burlywood2
Dark	94	4	1.71674	mitotic	burlywood2
Light	94	288	2.66469	mitotic	burlywood2
Dark	95	10	4.29185	mitotic	burlywood2
Light	95	805	7.44819	mitotic	burlywood2
Dark	96	2	0.858369	mitotic	burlywood2
Light	96	229	2.1188	mitotic	burlywood2
Dark	97	3	1.28755	mitotic	burlywood2
Light	97	164	1.51739	mitotic	burlywood2
Dark	98	5	2.14592	mitotic	burlywood2
Light	98	379	3.50666	mitotic	burlywood2
Dark	99	13	5.5794	mitotic	burlywood2
Light	99	828	7.66099	mitotic	burlywood2
Dark	100	11	4.72103	germline	mediumorchid4
Light	100	906	8.38268	germline	mediumorchid4
Dark	101	3	1.28755	digestive	firebrick3
Light	101	277	2.56292	digestive	firebrick3
Dark	102	5	2.14592	digestive	firebrick3
Light	102	196	1.81347	digestive	firebrick3
Dark	103	2	0.858369	digestive	firebrick3
Light	103	139	1.28608	digestive	firebrick3
Dark	104	0	0	digestive	firebrick3
Light	104	165	1.52665	digestive	firebrick3
Dark	105	1	0.429185	digestive	firebrick3
Light	105	304	2.81273	digestive	firebrick3
Dark	106	5	2.14592	digestive	firebrick3
Light	106	473	4.37639	digestive	firebrick3
Dark	107	9	3.86266	digestive	firebrick3
Light	107	816	7.54996	digestive	firebrick3
Dark	108	2	0.858369	digestive	firebrick3
Light	108	283	2.61843	digestive	firebrick3
Dark	109	3	1.28755	digestive	firebrick3
Light	109	348	3.21984	digestive	firebrick3
Dark	110	5	2.14592	digestive	firebrick3
Light	110	479	4.4319	digestive	firebrick3
Dark	111	6	2.57511	digestive	firebrick3
Light	111	327	3.02554	digestive	firebrick3
Dark	112	7	3.00429	digestive	firebrick3
Light	112	322	2.97927	digestive	firebrick3
Dark	113	4	1.71674	epidermis	turquoise3
Light	113	207	1.91525	epidermis	turquoise3
Dark	114	6	2.57511	epidermis	turquoise3
Light	114	209	1.93375	epidermis	turquoise3
Dark	115	7	3.00429	epidermis	turquoise3
Light	115	215	1.98927	epidermis	turquoise3
Dark	116	1	0.429185	epidermis	turquoise3
Light	116	236	2.18357	epidermis	turquoise3
Dark	117	4	1.71674	epidermis	turquoise3
Light	117	140	1.29534	epidermis	turquoise3
