Designation	Conditions	Count	Percent	BroadCellType	BroadCellColor
Dark	cnidocyte	31	18.7879	cnidocyte	plum3
Light	cnidocyte	1487	18.799	cnidocyte	plum3
Dark	digestive_filaments	11	6.66667	digestive	firebrick3
Light	digestive_filaments	836	10.5689	digestive	firebrick3
Dark	epidermis	10	6.06061	epidermis	turquoise3
Light	epidermis	259	3.27434	epidermis	turquoise3
Dark	gastrodermis_1	5	3.0303	gastrodermis	chartreuse4
Light	gastrodermis_1	426	5.38559	gastrodermis	chartreuse4
Dark	gastrodermis_2	31	18.7879	gastrodermis	chartreuse4
Light	gastrodermis_2	984	12.4399	gastrodermis	chartreuse4
Dark	gland_1	9	5.45455	gland	orange1
Light	gland_1	508	6.42225	gland	orange1
Dark	gland_2	11	6.66667	gland	orange1
Light	gland_2	806	10.1896	gland	orange1
Dark	gland_3	17	10.303	gland	orange1
Light	gland_3	1088	13.7547	gland	orange1
Dark	neuron_1	19	11.5152	neuron	dodgerblue
Light	neuron_1	1590	20.1011	neuron	dodgerblue
Dark	neuron_2	33	20	neuron	dodgerblue
Light	neuron_2	821	10.3793	neuron	dodgerblue
Dark	precursors	7	4.24242	precursors	burlywood3
Light	precursors	158	1.99747	precursors	burlywood3
Dark	unknown_1	27	16.3636	unknown	gray45
Light	unknown_1	1319	16.6751	unknown	gray45
Dark	unknown_2	35	21.2121	unknown	gray45
Light	unknown_2	1737	21.9595	unknown	gray45
Dark	unknown_3	14	8.48485	unknown	gray45
Light	unknown_3	497	6.28319	unknown	gray45
Dark	unknown_4	13	7.87879	unknown	gray45
Light	unknown_4	395	4.99368	unknown	gray45
Dark	unknown_5	15	9.09091	unknown	gray45
Light	unknown_5	467	5.90392	unknown	gray45
Dark	unknown_6	3	1.81818	unknown	gray45
Light	unknown_6	139	1.75727	unknown	gray45
Dark	Total	165	19.9275	Total	white
Light	Total	7910	31.7148	Total	white
