Designation	Conditions	Count	Percent	BroadCellType	BroadCellColor
Dark	1	12	13.1868	cnidocyte	plum3
Light	1	514	10.2329	cnidocyte	plum3
Dark	2	5	5.49451	gastrodermis	chartreuse4
Light	2	279	5.55445	gastrodermis	chartreuse4
Dark	3	4	4.3956	gastrodermis	chartreuse4
Light	3	332	6.6096	gastrodermis	chartreuse4
Dark	4	5	5.49451	gastrodermis	chartreuse4
Light	4	206	4.10113	gastrodermis	chartreuse4
Dark	5	5	5.49451	gastrodermis	chartreuse4
Light	5	260	5.17619	gastrodermis	chartreuse4
Dark	6	5	5.49451	gastrodermis	chartreuse4
Light	6	204	4.06132	gastrodermis	chartreuse4
Dark	7	6	6.59341	gastrodermis	chartreuse4
Light	7	323	6.43042	gastrodermis	chartreuse4
Dark	8	14	15.3846	gastrodermis	chartreuse4
Light	8	451	8.9787	gastrodermis	chartreuse4
Dark	9	3	3.2967	digestive	firebrick3
Light	9	180	3.58352	digestive	firebrick3
Dark	10	2	2.1978	epidermis	turquoise3
Light	10	62	1.23432	epidermis	turquoise3
Dark	11	3	3.2967	epidermis	turquoise3
Light	11	116	2.30938	epidermis	turquoise3
Dark	12	4	4.3956	epidermis	turquoise3
Light	12	478	9.51623	epidermis	turquoise3
Dark	13	3	3.2967	epidermis	turquoise3
Light	13	178	3.5437	epidermis	turquoise3
Dark	14	3	3.2967	neuron	dodgerblue
Light	14	625	12.4428	neuron	dodgerblue
Dark	15	18	19.7802	neuron	dodgerblue
Light	15	455	9.05833	neuron	dodgerblue
Dark	16	19	20.8791	neuron	dodgerblue
Light	16	425	8.46108	neuron	dodgerblue
Dark	17	4	4.3956	gland	orange1
Light	17	251	4.99701	gland	orange1
Dark	18	4	4.3956	gland	orange1
Light	18	364	7.24667	gland	orange1
Dark	19	4	4.3956	gland	orange1
Light	19	429	8.54071	gland	orange1
Dark	20	5	5.49451	unknown	gray45
Light	20	449	8.93888	unknown	gray45
Dark	21	11	12.0879	unknown	gray45
Light	21	625	12.4428	unknown	gray45
Dark	22	5	5.49451	unknown	gray45
Light	22	105	2.09038	unknown	gray45
Dark	23	3	3.2967	unknown	gray45
Light	23	94	1.87139	unknown	gray45
Dark	24	4	4.3956	unknown	gray45
Light	24	176	3.50388	unknown	gray45
Dark	25	2	2.1978	unknown	gray45
Light	25	116	2.30938	unknown	gray45
Dark	26	1	1.0989	unknown	gray45
Light	26	18	0.358352	unknown	gray45
Dark	27	2	2.1978	precursors	burlywood3
Light	27	41	0.816245	precursors	burlywood3
Dark	28	1	1.0989	precursors	burlywood3
Light	28	60	1.19451	precursors	burlywood3
Dark	29	2	2.1978	precursors	burlywood3
Light	29	118	2.34919	precursors	burlywood3
Dark	30	2	2.1978	precursors	burlywood3
Light	30	98	1.95103	precursors	burlywood3
Dark	31	0	0	precursors	burlywood3
Light	31	91	1.81167	precursors	burlywood3
Dark	32	0	0	precursors	burlywood3
Light	32	121	2.40892	precursors	burlywood3
Dark	33	2	2.1978	precursors	burlywood3
Light	33	115	2.28947	precursors	burlywood3
Dark	34	3	3.2967	precursors	burlywood3
Light	34	91	1.81167	precursors	burlywood3
Dark	35	0	0	precursors	burlywood3
Light	35	140	2.78718	precursors	burlywood3
Dark	36	1	1.0989	precursors	burlywood3
Light	36	96	1.91121	precursors	burlywood3
Dark	37	2	2.1978	precursors	burlywood3
Light	37	99	1.97093	precursors	burlywood3
Dark	38	1	1.0989	precursors	burlywood3
Light	38	39	0.776428	precursors	burlywood3
Dark	39	2	2.1978	precursors	burlywood3
Light	39	156	3.10571	precursors	burlywood3
Dark	40	2	2.1978	precursors	burlywood3
Light	40	76	1.51304	precursors	burlywood3
Dark	41	3	3.2967	precursors	burlywood3
Light	41	103	2.05057	precursors	burlywood3
Dark	42	4	4.3956	precursors	burlywood3
Light	42	142	2.827	precursors	burlywood3
Dark	43	5	5.49451	precursors	burlywood3
Light	43	108	2.15011	precursors	burlywood3
Dark	44	0	0	precursors	burlywood3
Light	44	162	3.22516	precursors	burlywood3
Dark	45	2	2.1978	precursors	burlywood3
Light	45	185	3.68306	precursors	burlywood3
Dark	46	5	5.49451	precursors	burlywood3
Light	46	242	4.81784	precursors	burlywood3
Dark	47	1	1.0989	precursors	burlywood3
Light	47	21	0.418077	precursors	burlywood3
Dark	48	9	9.89011	precursors	burlywood3
Light	48	369	7.34621	precursors	burlywood3
Dark	Total	91	10.9903	Total	white
Light	Total	5023	20.1395	Total	white
