Designation	Conditions	Count	Percent	BroadCellType	BroadCellColor
Dark	calicoblast	14	13.5922	calicoblast	purple3
Light	calicoblast	255	4.65328	calicoblast	purple3
Dark	cnidocyte	5	4.85437	cnidocyte	plum3
Light	cnidocyte	550	10.0365	cnidocyte	plum3
Dark	epidermis_1	7	6.79612	epidermis	turquoise3
Light	epidermis_1	205	3.74088	epidermis	turquoise3
Dark	gastrodermis	13	12.6214	gastrodermis	chartreuse4
Light	gastrodermis	352	6.42336	gastrodermis	chartreuse4
Dark	gland_1	22	21.3592	gland	darkorange4
Light	gland_1	1443	26.3321	gland	darkorange4
Dark	gland_2	16	15.534	gland	darkorange4
Light	gland_2	686	12.5182	gland	darkorange4
Dark	neuron_1	16	15.534	neuron	dodgerblue4
Light	neuron_1	1100	20.073	neuron	dodgerblue4
Dark	neuron_2	21	20.3883	neuron	dodgerblue4
Light	neuron_2	804	14.6715	neuron	dodgerblue4
Dark	precursors	0	0	precursors	burlywood1
Light	precursors	128	2.33577	precursors	burlywood1
Dark	unknown_1	6	5.82524	unknown	gray50
Light	unknown_1	403	7.35401	unknown	gray50
Dark	unknown_2	16	15.534	unknown	gray50
Light	unknown_2	773	14.1058	unknown	gray50
Dark	unknown_3	16	15.534	unknown	gray50
Light	unknown_3	1086	19.8175	unknown	gray50
Dark	Total	103	12.4396	Total	white
Light	Total	5480	21.9719	Total	white
