Designation	Conditions	Count	Percent	BroadCellType	BroadCellColor
Dark	1	4	3.05344	cnidocyte	plum3
Light	1	319	5.18025	cnidocyte	plum3
Dark	2	4	3.05344	gastrodermis	chartreuse4
Light	2	204	3.31276	gastrodermis	chartreuse4
Dark	3	8	6.10687	gastrodermis	chartreuse4
Light	3	252	4.09224	gastrodermis	chartreuse4
Dark	4	11	8.39695	gastrodermis	chartreuse4
Light	4	561	9.1101	gastrodermis	chartreuse4
Dark	5	8	6.10687	gastrodermis	chartreuse4
Light	5	245	3.97856	gastrodermis	chartreuse4
Dark	6	9	6.87023	gastrodermis	chartreuse4
Light	6	265	4.30335	gastrodermis	chartreuse4
Dark	7	10	7.63359	gastrodermis	chartreuse4
Light	7	281	4.56317	gastrodermis	chartreuse4
Dark	8	3	2.29008	gastrodermis	chartreuse4
Light	8	123	1.9974	gastrodermis	chartreuse4
Dark	9	11	8.39695	gastrodermis	chartreuse4
Light	9	332	5.39136	gastrodermis	chartreuse4
Dark	10	3	2.29008	gastrodermis	chartreuse4
Light	10	114	1.85125	gastrodermis	chartreuse4
Dark	11	5	3.81679	gastrodermis	chartreuse4
Light	11	466	7.56739	gastrodermis	chartreuse4
Dark	12	7	5.34351	epidermis	turquoise3
Light	12	324	5.26145	epidermis	turquoise3
Dark	13	4	3.05344	epidermis	turquoise3
Light	13	238	3.86489	epidermis	turquoise3
Dark	14	4	3.05344	epidermis	turquoise3
Light	14	194	3.15037	epidermis	turquoise3
Dark	15	6	4.58015	epidermis	turquoise3
Light	15	228	3.7025	epidermis	turquoise3
Dark	16	5	3.81679	epidermis	turquoise3
Light	16	480	7.79474	epidermis	turquoise3
Dark	17	5	3.81679	epidermis	turquoise3
Light	17	192	3.1179	epidermis	turquoise3
Dark	18	1	0.763359	epidermis	turquoise3
Light	18	129	2.09484	epidermis	turquoise3
Dark	19	2	1.52672	epidermis	turquoise3
Light	19	104	1.68886	epidermis	turquoise3
Dark	20	6	4.58015	epidermis	turquoise3
Light	20	201	3.26405	epidermis	turquoise3
Dark	21	6	4.58015	epidermis	turquoise3
Light	21	175	2.84183	epidermis	turquoise3
Dark	22	5	3.81679	epidermis	turquoise3
Light	22	268	4.35206	epidermis	turquoise3
Dark	23	3	2.29008	epidermis	turquoise3
Light	23	164	2.6632	epidermis	turquoise3
Dark	24	6	4.58015	epidermis	turquoise3
Light	24	470	7.63235	epidermis	turquoise3
Dark	25	10	7.63359	epidermis	turquoise3
Light	25	555	9.01267	epidermis	turquoise3
Dark	26	8	6.10687	calicoblast	purple3
Light	26	144	2.33842	calicoblast	purple3
Dark	27	9	6.87023	calicoblast	purple3
Light	27	225	3.65378	calicoblast	purple3
Dark	28	8	6.10687	calicoblast	purple3
Light	28	118	1.91621	calicoblast	purple3
Dark	29	8	6.10687	calicoblast	purple3
Light	29	134	2.17603	calicoblast	purple3
Dark	30	11	8.39695	calicoblast	purple3
Light	30	178	2.89055	calicoblast	purple3
Dark	31	2	1.52672	calicoblast	purple3
Light	31	113	1.83501	calicoblast	purple3
Dark	32	8	6.10687	calicoblast	purple3
Light	32	158	2.56577	calicoblast	purple3
Dark	33	11	8.39695	calicoblast	purple3
Light	33	226	3.67002	calicoblast	purple3
Dark	34	10	7.63359	calicoblast	purple3
Light	34	215	3.49139	calicoblast	purple3
Dark	35	6	4.58015	calicoblast	purple3
Light	35	141	2.2897	calicoblast	purple3
Dark	36	4	3.05344	calicoblast	purple3
Light	36	270	4.38454	calicoblast	purple3
Dark	37	21	16.0305	calicoblast	purple3
Light	37	686	11.14	calicoblast	purple3
Dark	38	4	3.05344	calicoblast	purple3
Light	38	63	1.02306	calicoblast	purple3
Dark	39	8	6.10687	neuron	dodgerblue4
Light	39	432	7.01526	neuron	dodgerblue4
Dark	40	16	12.2137	neuron	dodgerblue4
Light	40	381	6.18707	neuron	dodgerblue4
Dark	41	22	16.7939	gland	darkorange4
Light	41	1351	21.9389	gland	darkorange4
Dark	42	9	6.87023	gland	darkorange4
Light	42	314	5.09906	gland	darkorange4
Dark	43	11	8.39695	gland	darkorange4
Light	43	883	14.3391	gland	darkorange4
Dark	44	2	1.52672	unknown	gray50
Light	44	172	2.79311	unknown	gray50
Dark	45	12	9.16031	unknown	gray50
Light	45	407	6.60929	unknown	gray50
Dark	46	10	7.63359	unknown	gray50
Light	46	472	7.66483	unknown	gray50
Dark	47	0	0	precursors	burlywood1
Light	47	49	0.795713	precursors	burlywood1
Dark	Total	131	15.8213	Total	white
Light	Total	6158	24.6903	Total	white
