Designation	Conditions	Count	Percent	BroadCellType	BroadCellColor
Dark	cnidocyte	39	11.9632	cnidocyte	plum3
Light	cnidocyte	466	9.06968	cnidocyte	plum3
Dark	digestive_filaments	59	18.0982	digestive_filaments	firebrick3
Light	digestive_filaments	1108	21.5648	digestive_filaments	firebrick3
Dark	epidermis	50	15.3374	epidermis	turquoise3
Light	epidermis	1082	21.0588	epidermis	turquoise3
Dark	gastrodermis	67	20.5521	gastrodermis	chartreuse4
Light	gastrodermis	709	13.7991	gastrodermis	chartreuse4
Dark	gland	40	12.2699	gland	orange1
Light	gland	565	10.9965	gland	orange1
Dark	alga-hosting_cells	54	16.5644	alga-hosting_cells	limegreen
Light	alga-hosting_cells	915	17.8085	alga-hosting_cells	limegreen
Dark	muscle	35	10.7362	muscle	gold1
Light	muscle	720	14.0132	muscle	gold1
Dark	neuron	87	26.6871	neuron	skyblue
Light	neuron	852	16.5823	neuron	skyblue
Dark	precursors	26	7.97546	precursors	grey
Light	precursors	606	11.7945	precursors	grey
Dark	Total	326	12.0651	Total	white
Light	Total	5138	21.0092	Total	white
