Designation	Conditions	Count	Percent	BroadCellType	BroadCellColor
Dark	cnidocyte	35	6.88976	cnidocyte	plum3
Light	cnidocyte	384	4.56436	cnidocyte	plum3
Dark	cnidocyte_precursor1	40	7.87402	cnidocyte	plum3
Light	cnidocyte_precursor1	793	9.42589	cnidocyte	plum3
Dark	cnidocyte_precursor2	44	8.66142	cnidocyte	plum3
Light	cnidocyte_precursor2	1036	12.3143	cnidocyte	plum3
Dark	digestive_filaments	59	11.6142	digestive_filaments	firebrick3
Light	digestive_filaments	994	11.815	digestive_filaments	firebrick3
Dark	epidermis1	66	12.9921	epidermis	turquoise3
Light	epidermis1	1223	14.537	epidermis	turquoise3
Dark	epidermis2	50	9.84252	epidermis	turquoise3
Light	epidermis2	989	11.7556	epidermis	turquoise3
Dark	epidermis3	39	7.67717	epidermis	turquoise3
Light	epidermis3	856	10.1747	epidermis	turquoise3
Dark	epidermis4	32	6.29921	epidermis	turquoise3
Light	epidermis4	678	8.05896	epidermis	turquoise3
Dark	gastrodermis	71	13.9764	gastrodermis	chartreuse4
Light	gastrodermis	762	9.05741	gastrodermis	chartreuse4
Dark	gland_secretory1	45	8.85827	gland	orange1
Light	gland_secretory1	695	8.26102	gland	orange1
Dark	gland_secretory2	33	6.49606	gland	orange1
Light	gland_secretory2	685	8.14216	gland	orange1
Dark	gland_secretory3	54	10.6299	gland	orange1
Light	gland_secretory3	573	6.81089	gland	orange1
Dark	gland_secretory4	43	8.46457	gland	orange1
Light	gland_secretory4	605	7.19125	gland	orange1
Dark	gland_secretory5	45	8.85827	gland	orange1
Light	gland_secretory5	729	8.66516	gland	orange1
Dark	gland_secretory6	52	10.2362	gland	orange1
Light	gland_secretory6	827	9.83002	gland	orange1
Dark	alga-hosting_cells	59	11.6142	alga-hosting_cells	limegreen
Light	alga-hosting_cells	915	10.876	alga-hosting_cells	limegreen
Dark	muscle	41	8.07087	muscle	gold1
Light	muscle	693	8.23725	muscle	gold1
Dark	neuron1	53	10.4331	neuron	skyblue
Light	neuron1	1073	12.7541	neuron	skyblue
Dark	neuron10	47	9.25197	neuron	skyblue
Light	neuron10	765	9.09307	neuron	skyblue
Dark	neuron11	51	10.0394	neuron	skyblue
Light	neuron11	546	6.48996	neuron	skyblue
Dark	neuron12	56	11.0236	neuron	skyblue
Light	neuron12	712	8.46309	neuron	skyblue
Dark	neuron13	46	9.05512	neuron	skyblue
Light	neuron13	658	7.82123	neuron	skyblue
Dark	neuron2	72	14.1732	neuron	skyblue
Light	neuron2	749	8.90289	neuron	skyblue
Dark	neuron3	65	12.7953	neuron	skyblue
Light	neuron3	836	9.937	neuron	skyblue
Dark	neuron4	62	12.2047	neuron	skyblue
Light	neuron4	727	8.64139	neuron	skyblue
Dark	neuron5	60	11.811	neuron	skyblue
Light	neuron5	675	8.0233	neuron	skyblue
Dark	neuron6	93	18.3071	neuron	skyblue
Light	neuron6	1215	14.4419	neuron	skyblue
Dark	neuron7	77	15.1575	neuron	skyblue
Light	neuron7	1247	14.8223	neuron	skyblue
Dark	neuron8	53	10.4331	neuron	skyblue
Light	neuron8	755	8.97421	neuron	skyblue
Dark	neuron9	39	7.67717	neuron	skyblue
Light	neuron9	461	5.47961	neuron	skyblue
Dark	precursors	23	4.52756	precursors	grey
Light	precursors	623	7.40521	precursors	grey
Dark	Total	508	18.8009	Total	white
Light	Total	8413	34.4006	Total	white
