Designation	Conditions	Count	Percent	BroadCellType	BroadCellColor
Dark	1	25	3.93701	cnidocyte	plum3
Light	1	326	3.00544	cnidocyte	plum3
Dark	2	40	6.29921	cnidocyte	plum3
Light	2	429	3.95501	cnidocyte	plum3
Dark	3	37	5.82677	cnidocyte	plum3
Light	3	442	4.07486	cnidocyte	plum3
Dark	4	30	4.72441	cnidocyte	plum3
Light	4	376	3.4664	cnidocyte	plum3
Dark	5	31	4.88189	cnidocyte	plum3
Light	5	327	3.01466	cnidocyte	plum3
Dark	6	33	5.19685	cnidocyte	plum3
Light	6	333	3.06997	cnidocyte	plum3
Dark	7	35	5.51181	cnidocyte	plum3
Light	7	365	3.36499	cnidocyte	plum3
Dark	8	35	5.51181	cnidocyte	plum3
Light	8	671	6.18604	cnidocyte	plum3
Dark	9	39	6.14173	cnidocyte	plum3
Light	9	614	5.66055	cnidocyte	plum3
Dark	10	28	4.40945	cnidocyte	plum3
Light	10	755	6.96045	cnidocyte	plum3
Dark	11	38	5.98425	cnidocyte	plum3
Light	11	826	7.61501	cnidocyte	plum3
Dark	12	44	6.92913	muscle	gold1
Light	12	593	5.46695	muscle	gold1
Dark	13	39	6.14173	muscle	gold1
Light	13	739	6.81294	muscle	gold1
Dark	14	33	5.19685	muscle	gold1
Light	14	585	5.3932	muscle	gold1
Dark	15	36	5.66929	muscle	gold1
Light	15	611	5.63289	muscle	gold1
Dark	16	42	6.61417	muscle	gold1
Light	16	649	5.98322	muscle	gold1
Dark	17	32	5.03937	muscle	gold1
Light	17	660	6.08463	muscle	gold1
Dark	18	36	5.66929	muscle	gold1
Light	18	717	6.61012	muscle	gold1
Dark	19	26	4.09449	muscle	gold1
Light	19	582	5.36554	muscle	gold1
Dark	20	27	4.25197	muscle	gold1
Light	20	527	4.85849	muscle	gold1
Dark	21	38	5.98425	muscle	gold1
Light	21	493	4.54504	muscle	gold1
Dark	22	30	4.72441	muscle	gold1
Light	22	623	5.74352	muscle	gold1
Dark	23	51	8.0315	gastrodermis	chartreuse4
Light	23	650	5.99244	gastrodermis	chartreuse4
Dark	24	43	6.77165	gastrodermis	chartreuse4
Light	24	630	5.80806	gastrodermis	chartreuse4
Dark	25	47	7.40157	gastrodermis	chartreuse4
Light	25	595	5.48539	gastrodermis	chartreuse4
Dark	26	54	8.50394	gastrodermis	chartreuse4
Light	26	928	8.55536	gastrodermis	chartreuse4
Dark	27	53	8.34646	gastrodermis	chartreuse4
Light	27	961	8.85959	gastrodermis	chartreuse4
Dark	28	62	9.76378	gastrodermis	chartreuse4
Light	28	1021	9.41274	gastrodermis	chartreuse4
Dark	29	44	6.92913	gastrodermis	chartreuse4
Light	29	857	7.9008	gastrodermis	chartreuse4
Dark	30	59	9.29134	gastrodermis	chartreuse4
Light	30	850	7.83627	gastrodermis	chartreuse4
Dark	31	43	6.77165	gastrodermis	chartreuse4
Light	31	599	5.52226	gastrodermis	chartreuse4
Dark	32	42	6.61417	gastrodermis	chartreuse4
Light	32	616	5.67899	gastrodermis	chartreuse4
Dark	33	48	7.55906	gastrodermis	chartreuse4
Light	33	605	5.57758	gastrodermis	chartreuse4
Dark	34	55	8.66142	gastrodermis	chartreuse4
Light	34	585	5.3932	gastrodermis	chartreuse4
Dark	35	48	7.55906	gastrodermis	chartreuse4
Light	35	616	5.67899	gastrodermis	chartreuse4
Dark	36	51	8.0315	gastrodermis	chartreuse4
Light	36	581	5.35632	gastrodermis	chartreuse4
Dark	37	49	7.71654	gastrodermis	chartreuse4
Light	37	603	5.55914	gastrodermis	chartreuse4
Dark	38	55	8.66142	gastrodermis	chartreuse4
Light	38	481	4.43441	gastrodermis	chartreuse4
Dark	39	48	7.55906	gastrodermis	chartreuse4
Light	39	644	5.93713	gastrodermis	chartreuse4
Dark	40	58	9.13386	gastrodermis	chartreuse4
Light	40	542	4.99677	gastrodermis	chartreuse4
Dark	41	69	10.8661	gastrodermis	chartreuse4
Light	41	790	7.28312	gastrodermis	chartreuse4
Dark	42	61	9.6063	gastrodermis	chartreuse4
Light	42	598	5.51305	gastrodermis	chartreuse4
Dark	43	59	9.29134	gastrodermis	chartreuse4
Light	43	614	5.66055	gastrodermis	chartreuse4
Dark	44	50	7.87402	gastrodermis	chartreuse4
Light	44	490	4.51738	gastrodermis	chartreuse4
Dark	45	99	15.5906	gastrodermis	chartreuse4
Light	45	1254	11.5608	gastrodermis	chartreuse4
Dark	46	62	9.76378	gastrodermis	chartreuse4
Light	46	718	6.61934	gastrodermis	chartreuse4
Dark	47	69	10.8661	gastrodermis	chartreuse4
Light	47	757	6.97889	gastrodermis	chartreuse4
Dark	48	63	9.92126	gastrodermis	chartreuse4
Light	48	696	6.41652	gastrodermis	chartreuse4
Dark	49	60	9.44882	gastrodermis	chartreuse4
Light	49	569	5.24569	gastrodermis	chartreuse4
Dark	50	62	9.76378	gastrodermis	chartreuse4
Light	50	593	5.46695	gastrodermis	chartreuse4
Dark	51	65	10.2362	gastrodermis	chartreuse4
Light	51	751	6.92357	gastrodermis	chartreuse4
Dark	52	57	8.97638	gastrodermis	chartreuse4
Light	52	564	5.19959	gastrodermis	chartreuse4
Dark	53	57	8.97638	gastrodermis	chartreuse4
Light	53	665	6.13073	gastrodermis	chartreuse4
