tissue	tissue_color	metacell	metacell_color	cell	cell_color	broadcell	broadcell_color
adult	#fb9a99	1	plum2	cnidocyte_ecEp_head_hypostome	plum2	cnidocyte	plum3
adult	#fb9a99	2	plum2	cnidocyte_ecEp_head_hypostome	plum2	cnidocyte	plum3
adult	#fb9a99	3	plum2	cnidocyte_ecEp_head_hypostome	plum2	cnidocyte	plum3
adult	#fb9a99	4	plum2	cnidocyte_ecEp_head_hypostome	plum2	cnidocyte	plum3
adult	#fb9a99	5	plum2	cnidocyte_ecEp_head_hypostome	plum2	cnidocyte	plum3
adult	#fb9a99	6	orchid2	cnidocyte_i_nb4	orchid2	cnidocyte	plum3
adult	#fb9a99	7	orchid2	cnidocyte_i_nb4	orchid2	cnidocyte	plum3
adult	#fb9a99	8	orchid2	cnidocyte_i_nb4	orchid2	cnidocyte	plum3
adult	#fb9a99	9	orchid2	cnidocyte_i_nb4	orchid2	cnidocyte	plum3
adult	#fb9a99	10	orchid2	cnidocyte_i_nb4	orchid2	cnidocyte	plum3
adult	#fb9a99	11	orchid	cnidocyte_i_nb5	orchid	cnidocyte	plum3
adult	#fb9a99	12	orchid	cnidocyte_i_nb5	orchid	cnidocyte	plum3
adult	#fb9a99	13	plum1	cnidocyte_i_nb1	plum1	cnidocyte	plum3
adult	#fb9a99	14	plum1	cnidocyte_i_nb1	plum1	cnidocyte	plum3
adult	#fb9a99	15	plum1	cnidocyte_i_nb1	plum1	cnidocyte	plum3
adult	#fb9a99	16	plum1	cnidocyte_i_nb1	plum1	cnidocyte	plum3
adult	#fb9a99	17	plum1	cnidocyte_i_nb1	plum1	cnidocyte	plum3
adult	#fb9a99	18	plum1	cnidocyte_i_nb1	plum1	cnidocyte	plum3
adult	#fb9a99	19	plum1	cnidocyte_i_nb1	plum1	cnidocyte	plum3
adult	#fb9a99	20	plum1	cnidocyte_i_nb1	plum1	cnidocyte	plum3
adult	#fb9a99	21	pink	cnidocyte_i_nb2	pink	cnidocyte	plum3
adult	#fb9a99	22	pink	cnidocyte_i_nb2	pink	cnidocyte	plum3
adult	#fb9a99	23	pink	cnidocyte_i_nb2	pink	cnidocyte	plum3
adult	#fb9a99	24	pink	cnidocyte_i_nb2	pink	cnidocyte	plum3
adult	#fb9a99	25	pink	cnidocyte_i_nb2	pink	cnidocyte	plum3
adult	#fb9a99	26	mistyrose1	cnidocyte_i_nb3	mistyrose1	cnidocyte	plum3
adult	#fb9a99	27	mistyrose1	cnidocyte_i_nb3	mistyrose1	cnidocyte	plum3
adult	#fb9a99	28	mistyrose1	cnidocyte_i_nb3	mistyrose1	cnidocyte	plum3
adult	#fb9a99	29	mistyrose1	cnidocyte_i_nb3	mistyrose1	cnidocyte	plum3
adult	#fb9a99	30	mistyrose1	cnidocyte_i_nb3	mistyrose1	cnidocyte	plum3
adult	#fb9a99	31	mistyrose1	cnidocyte_i_nb3	mistyrose1	cnidocyte	plum3
adult	#fb9a99	32	mistyrose1	cnidocyte_i_nb3	mistyrose1	cnidocyte	plum3
adult	#fb9a99	33	chartreuse3	gastrodermis_enEp_foot	chartreuse3	gastrodermis	chartreuse4
adult	#fb9a99	34	chartreuse3	gastrodermis_enEp_foot	chartreuse3	gastrodermis	chartreuse4
adult	#fb9a99	35	chartreuse3	gastrodermis_enEp_foot	chartreuse3	gastrodermis	chartreuse4
adult	#fb9a99	36	chartreuse3	gastrodermis_enEp_foot	chartreuse3	gastrodermis	chartreuse4
adult	#fb9a99	37	chartreuse3	gastrodermis_enEp_foot	chartreuse3	gastrodermis	chartreuse4
adult	#fb9a99	38	chartreuse2	gastrodermis_enEp_head	chartreuse2	gastrodermis	chartreuse4
adult	#fb9a99	39	chartreuse2	gastrodermis_enEp_head	chartreuse2	gastrodermis	chartreuse4
adult	#fb9a99	40	chartreuse2	gastrodermis_enEp_head	chartreuse2	gastrodermis	chartreuse4
adult	#fb9a99	41	chartreuse2	gastrodermis_enEp_head	chartreuse2	gastrodermis	chartreuse4
adult	#fb9a99	42	chartreuse2	gastrodermis_enEp_head	chartreuse2	gastrodermis	chartreuse4
adult	#fb9a99	43	chartreuse2	gastrodermis_enEp_head	chartreuse2	gastrodermis	chartreuse4
adult	#fb9a99	44	chartreuse2	gastrodermis_enEp_head	chartreuse2	gastrodermis	chartreuse4
adult	#fb9a99	45	chartreuse1	gastrodermis_enEp_stem_cell	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	46	chartreuse1	gastrodermis_enEp_stem_cell	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	47	chartreuse1	gastrodermis_enEp_stem_cell	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	48	chartreuse1	gastrodermis_enEp_stem_cell	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	49	chartreuse1	gastrodermis_enEp_stem_cell	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	50	chartreuse1	gastrodermis_enEp_stem_cell	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	51	chartreuse1	gastrodermis_enEp_stem_cell	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	52	chartreuse1	gastrodermis_enEp_stem_cell	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	53	chartreuse1	gastrodermis_enEp_stem_cell	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	54	chartreuse1	gastrodermis_enEp_stem_cell	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	55	chartreuse1	gastrodermis_enEp_stem_cell	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	56	chartreuse1	gastrodermis_enEp_stem_cell	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	57	chartreuse1	gastrodermis_enEp_stem_cell	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	58	chartreuse1	gastrodermis_enEp_stem_cell	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	59	chartreuse1	gastrodermis_enEp_stem_cell	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	60	chartreuse1	gastrodermis_enEp_stem_cell	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	61	chartreuse1	gastrodermis_enEp_stem_cell	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	62	chartreuse1	gastrodermis_enEp_stem_cell	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	63	chartreuse1	gastrodermis_enEp_stem_cell	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	64	chartreuse1	gastrodermis_enEp_stem_cell	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	65	chartreuse1	gastrodermis_enEp_stem_cell	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	66	chartreuse1	gastrodermis_enEp_stem_cell	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	67	chartreuse1	gastrodermis_enEp_stem_cell	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	68	chartreuse1	gastrodermis_enEp_stem_cell	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	69	chartreuse1	gastrodermis_enEp_stem_cell	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	70	chartreuse1	gastrodermis_enEp_stem_cell	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	71	chartreuse1	gastrodermis_enEp_stem_cell	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	72	chartreuse1	gastrodermis_enEp_stem_cell	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	73	chartreuse1	gastrodermis_enEp_stem_cell	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	74	chartreuse1	gastrodermis_enEp_stem_cell	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	75	lawngreen	gastrodermis_enEp_tentacle	lawngreen	gastrodermis	chartreuse4
adult	#fb9a99	76	lawngreen	gastrodermis_enEp_tentacle	lawngreen	gastrodermis	chartreuse4
adult	#fb9a99	77	lawngreen	gastrodermis_enEp_tentacle	lawngreen	gastrodermis	chartreuse4
adult	#fb9a99	78	lawngreen	gastrodermis_enEp_tentacle	lawngreen	gastrodermis	chartreuse4
adult	#fb9a99	79	lawngreen	gastrodermis_enEp_tentacle	lawngreen	gastrodermis	chartreuse4
adult	#fb9a99	80	turquoise3	epidermis_ecEp_basal_disk	turquoise3	epidermis	turquoise3
adult	#fb9a99	81	turquoise3	epidermis_ecEp_basal_disk	turquoise3	epidermis	turquoise3
adult	#fb9a99	82	turquoise3	epidermis_ecEp_basal_disk	turquoise3	epidermis	turquoise3
adult	#fb9a99	83	turquoise2	epidermis_ecEp_fmgl_db	turquoise2	epidermis	turquoise3
adult	#fb9a99	84	turquoise1	epidermis_ecEp_peduncle	turquoise1	epidermis	turquoise3
adult	#fb9a99	85	turquoise1	epidermis_ecEp_peduncle	turquoise1	epidermis	turquoise3
adult	#fb9a99	86	cyan	epidermis_ecEp_stem_cell	cyan	epidermis	turquoise3
adult	#fb9a99	87	cyan	epidermis_ecEp_stem_cell	cyan	epidermis	turquoise3
adult	#fb9a99	88	cyan	epidermis_ecEp_stem_cell	cyan	epidermis	turquoise3
adult	#fb9a99	89	cyan	epidermis_ecEp_stem_cell	cyan	epidermis	turquoise3
adult	#fb9a99	90	cyan	epidermis_ecEp_stem_cell	cyan	epidermis	turquoise3
adult	#fb9a99	91	cyan	epidermis_ecEp_stem_cell	cyan	epidermis	turquoise3
adult	#fb9a99	92	cyan	epidermis_ecEp_stem_cell	cyan	epidermis	turquoise3
adult	#fb9a99	93	cyan	epidermis_ecEp_stem_cell	cyan	epidermis	turquoise3
adult	#fb9a99	94	cyan	epidermis_ecEp_stem_cell	cyan	epidermis	turquoise3
adult	#fb9a99	95	cyan	epidermis_ecEp_stem_cell	cyan	epidermis	turquoise3
adult	#fb9a99	96	cyan	epidermis_ecEp_stem_cell	cyan	epidermis	turquoise3
adult	#fb9a99	97	cyan	epidermis_ecEp_stem_cell	cyan	epidermis	turquoise3
adult	#fb9a99	98	cyan	epidermis_ecEp_stem_cell	cyan	epidermis	turquoise3
adult	#fb9a99	99	cyan	epidermis_ecEp_stem_cell	cyan	epidermis	turquoise3
adult	#fb9a99	100	cyan	epidermis_ecEp_stem_cell	cyan	epidermis	turquoise3
adult	#fb9a99	101	cyan	epidermis_ecEp_stem_cell	cyan	epidermis	turquoise3
adult	#fb9a99	102	cyan	epidermis_ecEp_stem_cell	cyan	epidermis	turquoise3
adult	#fb9a99	103	cyan	epidermis_ecEp_stem_cell	cyan	epidermis	turquoise3
adult	#fb9a99	104	mediumorchid4	germline_i_male	mediumorchid4	germline	mediumorchid4
adult	#fb9a99	105	mediumorchid4	germline_i_male	mediumorchid4	germline	mediumorchid4
adult	#fb9a99	106	mediumorchid4	germline_i_male	mediumorchid4	germline	mediumorchid4
adult	#fb9a99	107	mediumorchid4	germline_i_male	mediumorchid4	germline	mediumorchid4
adult	#fb9a99	108	mediumorchid4	germline_i_male	mediumorchid4	germline	mediumorchid4
adult	#fb9a99	109	mediumorchid3	germline_i_female	mediumorchid3	germline	mediumorchid4
adult	#fb9a99	110	mediumorchid3	germline_i_female	mediumorchid3	germline	mediumorchid4
adult	#fb9a99	111	mediumorchid3	germline_i_female	mediumorchid3	germline	mediumorchid4
adult	#fb9a99	112	mediumorchid2	germline_i_female_nurse_cell	mediumorchid2	germline	mediumorchid4
adult	#fb9a99	113	mediumorchid2	germline_i_female_nurse_cell	mediumorchid2	germline	mediumorchid4
adult	#fb9a99	114	mediumorchid2	germline_i_female_nurse_cell	mediumorchid2	germline	mediumorchid4
adult	#fb9a99	115	mediumorchid2	germline_i_female_nurse_cell	mediumorchid2	germline	mediumorchid4
