tissue	tissue_color	metacell	metacell_color	cell	cell_color	broadcell	broadcell_color
adult	#fb9a99	1	plum3	cnidocyte_nematocytes	plum3	cnidocyte	plum3
adult	#fb9a99	2	plum2	cnidocyte_spirocytes	plum2	cnidocyte	plum3
adult	#fb9a99	3	gold1	muscle_tentacle_retractor	gold1	muscle	gold1
adult	#fb9a99	4	gold1	muscle_tentacle_retractor	gold1	muscle	gold1
adult	#fb9a99	5	gold1	muscle_tentacle_retractor	gold1	muscle	gold1
adult	#fb9a99	6	gold1	muscle_tentacle_retractor	gold1	muscle	gold1
adult	#fb9a99	7	darkolivegreen3	gastrodermis_muscle_parietal_circular_prog	darkolivegreen3	gastrodermis	chartreuse4
adult	#fb9a99	8	darkolivegreen3	gastrodermis_muscle_parietal_circular_prog	darkolivegreen3	gastrodermis	chartreuse4
adult	#fb9a99	9	darkolivegreen3	gastrodermis_muscle_parietal_circular_prog	darkolivegreen3	gastrodermis	chartreuse4
adult	#fb9a99	10	darkolivegreen3	gastrodermis_muscle_parietal_circular_prog	darkolivegreen3	gastrodermis	chartreuse4
adult	#fb9a99	11	darkolivegreen3	gastrodermis_muscle_parietal_circular_prog	darkolivegreen3	gastrodermis	chartreuse4
adult	#fb9a99	12	darkolivegreen3	gastrodermis_muscle_parietal_circular_prog	darkolivegreen3	gastrodermis	chartreuse4
adult	#fb9a99	13	darkolivegreen3	gastrodermis_muscle_parietal_circular_prog	darkolivegreen3	gastrodermis	chartreuse4
adult	#fb9a99	14	darkolivegreen4	gastrodermis_muscle_X1	darkolivegreen4	gastrodermis	chartreuse4
adult	#fb9a99	15	seagreen4	gastrodermis_muscle_somatic_gonad	seagreen4	gastrodermis	chartreuse4
adult	#fb9a99	16	seagreen4	gastrodermis_muscle_somatic_gonad	seagreen4	gastrodermis	chartreuse4
adult	#fb9a99	17	springgreen3	gastrodermis_muscle_tentacle_bud_stage	springgreen3	gastrodermis	chartreuse4
adult	#fb9a99	18	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse4
adult	#fb9a99	19	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse4
adult	#fb9a99	20	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse4
adult	#fb9a99	21	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse4
adult	#fb9a99	22	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse4
adult	#fb9a99	23	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse4
adult	#fb9a99	24	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse4
adult	#fb9a99	25	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse4
adult	#fb9a99	26	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse4
adult	#fb9a99	27	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse4
adult	#fb9a99	28	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse4
adult	#fb9a99	29	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse4
adult	#fb9a99	30	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse4
adult	#fb9a99	31	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse4
adult	#fb9a99	32	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse4
adult	#fb9a99	33	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse4
adult	#fb9a99	34	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse4
adult	#fb9a99	35	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse4
adult	#fb9a99	36	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse4
adult	#fb9a99	37	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse4
adult	#fb9a99	38	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse4
adult	#fb9a99	39	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse4
adult	#fb9a99	40	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse4
adult	#fb9a99	41	firebrick3	digestive_filaments	firebrick3	digestive_filaments	firebrick3
adult	#fb9a99	42	firebrick3	digestive_filaments	firebrick3	digestive_filaments	firebrick3
adult	#fb9a99	43	firebrick3	digestive_filaments	firebrick3	digestive_filaments	firebrick3
adult	#fb9a99	44	firebrick3	digestive_filaments	firebrick3	digestive_filaments	firebrick3
adult	#fb9a99	45	firebrick3	digestive_filaments	firebrick3	digestive_filaments	firebrick3
adult	#fb9a99	46	firebrick3	digestive_filaments	firebrick3	digestive_filaments	firebrick3
adult	#fb9a99	47	firebrick3	digestive_filaments	firebrick3	digestive_filaments	firebrick3
adult	#fb9a99	48	firebrick3	digestive_filaments	firebrick3	digestive_filaments	firebrick3
adult	#fb9a99	49	turquoise3	epidermis	turquoise3	epidermis	turquoise3
adult	#fb9a99	50	turquoise3	epidermis	turquoise3	epidermis	turquoise3
adult	#fb9a99	51	turquoise3	epidermis	turquoise3	epidermis	turquoise3
adult	#fb9a99	52	turquoise3	epidermis	turquoise3	epidermis	turquoise3
adult	#fb9a99	53	turquoise3	epidermis	turquoise3	epidermis	turquoise3
adult	#fb9a99	54	turquoise3	epidermis	turquoise3	epidermis	turquoise3
adult	#fb9a99	55	turquoise3	epidermis	turquoise3	epidermis	turquoise3
adult	#fb9a99	56	turquoise3	epidermis	turquoise3	epidermis	turquoise3
adult	#fb9a99	57	grey	precursors	grey	precursors	grey
adult	#fb9a99	58	grey	precursors	grey	precursors	grey
adult	#fb9a99	59	grey	precursors	grey	precursors	grey
adult	#fb9a99	60	grey	precursors	grey	precursors	grey
adult	#fb9a99	61	azure3	neuron_precursors	azure3	
adult	#fb9a99	62	aquamarine4	neuron_unk1	aquamarine4	neuron	skyblue
adult	#fb9a99	63	aquamarine4	neuron_unk1	aquamarine4	neuron	skyblue
adult	#fb9a99	64	aquamarine4	neuron_unk1	aquamarine4	neuron	skyblue
