tissue	tissue_color	metacell	metacell_color	cell	cell_color	broadcell	broadcell_color
adult	#fb9a99	1	plum3	cnidocyte	plum3	cnidocyte	plum3
adult	#fb9a99	2	chartreuse2	gastrodermis_musclelike	chartreuse2	gastrodermis	chartreuse2
adult	#fb9a99	3	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	4	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	5	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	6	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	7	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	8	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	9	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	10	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	11	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	12	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	13	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	14	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	15	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	16	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	17	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	18	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	19	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	20	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	21	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	22	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	23	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	24	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	25	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	26	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	27	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	28	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	29	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	30	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	31	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	32	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	33	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	34	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	35	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	36	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	37	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	38	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	39	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	40	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	41	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	42	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	43	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	44	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	45	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	46	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	47	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	48	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	49	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	50	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	51	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	52	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	53	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	54	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	55	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	56	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	57	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	58	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	59	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	60	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	61	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	62	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	63	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	64	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	65	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	66	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	67	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	68	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	69	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	70	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	71	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	72	chartreuse4	gastrodermis	chartreuse4	gastrodermis	chartreuse2
adult	#fb9a99	73	limegreen	alga-hosting_cells	limegreen	alga-hosting	limegreen
adult	#fb9a99	74	limegreen	alga-hosting_cells	limegreen	alga-hosting	limegreen
adult	#fb9a99	75	limegreen	alga-hosting_cells	limegreen	alga-hosting	limegreen
adult	#fb9a99	76	limegreen	alga-hosting_cells	limegreen	alga-hosting	limegreen
adult	#fb9a99	77	limegreen	alga-hosting_cells	limegreen	alga-hosting	limegreen
adult	#fb9a99	78	limegreen	alga-hosting_cells	limegreen	alga-hosting	limegreen
adult	#fb9a99	79	limegreen	alga-hosting_cells	limegreen	alga-hosting	limegreen
adult	#fb9a99	80	limegreen	alga-hosting_cells	limegreen	alga-hosting	limegreen
adult	#fb9a99	81	limegreen	alga-hosting_cells	limegreen	alga-hosting	limegreen
adult	#fb9a99	82	limegreen	alga-hosting_cells	limegreen	alga-hosting	limegreen
adult	#fb9a99	83	limegreen	alga-hosting_cells	limegreen	alga-hosting	limegreen
adult	#fb9a99	84	limegreen	alga-hosting_cells	limegreen	alga-hosting	limegreen
adult	#fb9a99	85	limegreen	alga-hosting_cells	limegreen	alga-hosting	limegreen
adult	#fb9a99	86	limegreen	alga-hosting_cells	limegreen	alga-hosting	limegreen
adult	#fb9a99	87	burlywood2	mitotic_host_cells	burlywood2	mitotic	burlywood2
adult	#fb9a99	88	burlywood2	mitotic_host_cells	burlywood2	mitotic	burlywood2
adult	#fb9a99	89	burlywood2	mitotic_host_cells	burlywood2	mitotic	burlywood2
adult	#fb9a99	90	burlywood2	mitotic_host_cells	burlywood2	mitotic	burlywood2
adult	#fb9a99	91	burlywood2	mitotic_host_cells	burlywood2	mitotic	burlywood2
adult	#fb9a99	92	burlywood2	mitotic_host_cells	burlywood2	mitotic	burlywood2
adult	#fb9a99	93	burlywood2	mitotic_host_cells	burlywood2	mitotic	burlywood2
adult	#fb9a99	94	burlywood2	mitotic_host_cells	burlywood2	mitotic	burlywood2
adult	#fb9a99	95	burlywood2	mitotic_host_cells	burlywood2	mitotic	burlywood2
adult	#fb9a99	96	burlywood2	mitotic_host_cells	burlywood2	mitotic	burlywood2
adult	#fb9a99	97	burlywood2	mitotic_host_cells	burlywood2	mitotic	burlywood2
adult	#fb9a99	98	burlywood2	mitotic_host_cells	burlywood2	mitotic	burlywood2
adult	#fb9a99	99	burlywood2	mitotic_host_cells	burlywood2	mitotic	burlywood2
adult	#fb9a99	100	mediumorchid4	germline_sperm	mediumorchid4	germline	mediumorchid4
adult	#fb9a99	101	firebrick3	digestive_filaments	firebrick3	digestive	firebrick3
adult	#fb9a99	102	firebrick3	digestive_filaments	firebrick3	digestive	firebrick3
adult	#fb9a99	103	firebrick3	digestive_filaments	firebrick3	digestive	firebrick3
adult	#fb9a99	104	firebrick3	digestive_filaments	firebrick3	digestive	firebrick3
adult	#fb9a99	105	firebrick3	digestive_filaments	firebrick3	digestive	firebrick3
adult	#fb9a99	106	firebrick3	digestive_filaments	firebrick3	digestive	firebrick3
adult	#fb9a99	107	firebrick3	digestive_filaments	firebrick3	digestive	firebrick3
adult	#fb9a99	108	firebrick3	digestive_filaments	firebrick3	digestive	firebrick3
adult	#fb9a99	109	firebrick3	digestive_filaments	firebrick3	digestive	firebrick3
adult	#fb9a99	110	firebrick3	digestive_filaments	firebrick3	digestive	firebrick3
adult	#fb9a99	111	firebrick3	digestive_filaments	firebrick3	digestive	firebrick3
adult	#fb9a99	112	firebrick3	digestive_filaments	firebrick3	digestive	firebrick3
adult	#fb9a99	113	turquoise3	epidermis_1	turquoise3	epidermis	turquoise3
adult	#fb9a99	114	turquoise3	epidermis_1	turquoise3	epidermis	turquoise3
adult	#fb9a99	115	turquoise3	epidermis_1	turquoise3	epidermis	turquoise3
adult	#fb9a99	116	turquoise3	epidermis_1	turquoise3	epidermis	turquoise3
adult	#fb9a99	117	turquoise3	epidermis_1	turquoise3	epidermis	turquoise3
adult	#fb9a99	118	turquoise3	epidermis_1	turquoise3	epidermis	turquoise3
adult	#fb9a99	119	turquoise3	epidermis_1	turquoise3	epidermis	turquoise3
adult	#fb9a99	120	turquoise3	epidermis_1	turquoise3	epidermis	turquoise3
adult	#fb9a99	121	turquoise3	epidermis_1	turquoise3	epidermis	turquoise3
adult	#fb9a99	122	turquoise3	epidermis_1	turquoise3	epidermis	turquoise3
adult	#fb9a99	123	turquoise3	epidermis_1	turquoise3	epidermis	turquoise3
adult	#fb9a99	124	turquoise3	epidermis_1	turquoise3	epidermis	turquoise3
adult	#fb9a99	125	turquoise3	epidermis_1	turquoise3	epidermis	turquoise3
adult	#fb9a99	126	turquoise3	epidermis_1	turquoise3	epidermis	turquoise3
adult	#fb9a99	127	turquoise3	epidermis_1	turquoise3	epidermis	turquoise3
adult	#fb9a99	128	turquoise3	epidermis_1	turquoise3	epidermis	turquoise3
adult	#fb9a99	129	turquoise2	epidermis_2	turquoise2	epidermis	turquoise3
adult	#fb9a99	130	turquoise2	epidermis_2	turquoise2	epidermis	turquoise3
adult	#fb9a99	131	turquoise2	epidermis_2	turquoise2	epidermis	turquoise3
adult	#fb9a99	132	turquoise2	epidermis_2	turquoise2	epidermis	turquoise3
adult	#fb9a99	133	turquoise2	epidermis_2	turquoise2	epidermis	turquoise3
adult	#fb9a99	134	turquoise2	epidermis_2	turquoise2	epidermis	turquoise3
adult	#fb9a99	135	turquoise2	epidermis_2	turquoise2	epidermis	turquoise3
