tissue	tissue_color		metacell_color	cell	cell_color	broadcell	broadcell_color
adult	#fb9a99	1	plum3	cnidocyte	plum3	cnidocyte	plum3
adult	#fb9a99	2	plum3	cnidocyte	plum3	cnidocyte	plum3
adult	#fb9a99	3	plum3	cnidocyte	plum3	cnidocyte	plum3
adult	#fb9a99	4	plum3	cnidocyte	plum3	cnidocyte	plum3
adult	#fb9a99	5	plum3	cnidocyte	plum3	cnidocyte	plum3
adult	#fb9a99	6	plum3	cnidocyte	plum3	cnidocyte	plum3
adult	#fb9a99	7	plum3	cnidocyte	plum3	cnidocyte	plum3
adult	#fb9a99	8	plum1	cnidocyte_precursor1	plum1	cnidocyte	plum3
adult	#fb9a99	9	plum1	cnidocyte_precursor1	plum1	cnidocyte	plum3
adult	#fb9a99	10	plum1	cnidocyte_precursor1	plum1	cnidocyte	plum3
adult	#fb9a99	11	plum2	cnidocyte_precursor2	plum2	cnidocyte	plum3
adult	#fb9a99	12	gold1	muscle	gold1	muscle	gold1
adult	#fb9a99	13	gold1	muscle	gold1	muscle	gold1
adult	#fb9a99	14	gold1	muscle	gold1	muscle	gold1
adult	#fb9a99	15	gold1	muscle	gold1	muscle	gold1
adult	#fb9a99	16	gold1	muscle	gold1	muscle	gold1
adult	#fb9a99	17	gold1	muscle	gold1	muscle	gold1
adult	#fb9a99	18	gold1	muscle	gold1	muscle	gold1
adult	#fb9a99	19	gold1	muscle	gold1	muscle	gold1
adult	#fb9a99	20	gold1	muscle	gold1	muscle	gold1
adult	#fb9a99	21	gold1	muscle	gold1	muscle	gold1
adult	#fb9a99	22	gold1	muscle	gold1	muscle	gold1
adult	#fb9a99	23	chartreuse1	gastrodermis	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	24	chartreuse1	gastrodermis	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	25	chartreuse1	gastrodermis	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	26	chartreuse1	gastrodermis	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	27	chartreuse1	gastrodermis	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	28	chartreuse1	gastrodermis	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	29	chartreuse1	gastrodermis	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	30	chartreuse1	gastrodermis	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	31	chartreuse1	gastrodermis	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	32	chartreuse1	gastrodermis	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	33	chartreuse1	gastrodermis	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	34	chartreuse1	gastrodermis	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	35	chartreuse1	gastrodermis	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	36	chartreuse1	gastrodermis	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	37	chartreuse1	gastrodermis	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	38	chartreuse1	gastrodermis	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	39	chartreuse1	gastrodermis	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	40	chartreuse1	gastrodermis	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	41	chartreuse1	gastrodermis	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	42	chartreuse1	gastrodermis	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	43	chartreuse1	gastrodermis	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	44	chartreuse1	gastrodermis	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	45	chartreuse1	gastrodermis	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	46	chartreuse1	gastrodermis	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	47	chartreuse1	gastrodermis	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	48	chartreuse1	gastrodermis	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	49	chartreuse1	gastrodermis	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	50	chartreuse1	gastrodermis	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	51	chartreuse1	gastrodermis	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	52	chartreuse1	gastrodermis	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	53	chartreuse1	gastrodermis	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	54	chartreuse1	gastrodermis	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	55	chartreuse1	gastrodermis	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	56	chartreuse1	gastrodermis	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	57	chartreuse1	gastrodermis	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	58	chartreuse1	gastrodermis	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	59	chartreuse1	gastrodermis	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	60	chartreuse1	gastrodermis	chartreuse1	gastrodermis	chartreuse4
adult	#fb9a99	61	limegreen	alga-hosting_cells	limegreen	alga-hosting_cells	limegreen
adult	#fb9a99	62	limegreen	alga-hosting_cells	limegreen	alga-hosting_cells	limegreen
adult	#fb9a99	63	limegreen	alga-hosting_cells	limegreen	alga-hosting_cells	limegreen
adult	#fb9a99	64	limegreen	alga-hosting_cells	limegreen	alga-hosting_cells	limegreen
adult	#fb9a99	65	limegreen	alga-hosting_cells	limegreen	alga-hosting_cells	limegreen
adult	#fb9a99	66	limegreen	alga-hosting_cells	limegreen	alga-hosting_cells	limegreen
adult	#fb9a99	67	firebrick3	digestive_filaments	firebrick3	digestive_filaments	firebrick3
adult	#fb9a99	68	turquoise3	epidermis1	turquoise3	epidermis	turquoise3
adult	#fb9a99	69	turquoise3	epidermis1	turquoise3	epidermis	turquoise3
adult	#fb9a99	70	turquoise3	epidermis1	turquoise3	epidermis	turquoise3
adult	#fb9a99	71	turquoise3	epidermis1	turquoise3	epidermis	turquoise3
adult	#fb9a99	72	turquoise3	epidermis1	turquoise3	epidermis	turquoise3
adult	#fb9a99	73	turquoise3	epidermis1	turquoise3	epidermis	turquoise3
adult	#fb9a99	74	turquoise3	epidermis1	turquoise3	epidermis	turquoise3
adult	#fb9a99	75	turquoise3	epidermis1	turquoise3	epidermis	turquoise3
adult	#fb9a99	76	turquoise3	epidermis1	turquoise3	epidermis	turquoise3
