new_name	cell_type_count	broad_type_count	cell_type	broad_type	FC	mid_range_cell_type_count	mid_range_broad_type_count
Galaxea_fascicularis_REEFv1___m1.3698.m1	1	1	adult_calicoblast	adult_calicoblast	3.17380780183154	8	1
Galaxea_fascicularis_REEFv1___m1.16758.m1	1	1	adult_neuron_13	adult_neuron	2.67479698069574	0	0
Galaxea_fascicularis_REEFv1___m1.5046.m1	1	1	adult_germline_sperm	adult_germline	4.55019498509859	1	1
Galaxea_fascicularis_REEFv1___m1.20328.m1	1	1	adult_neuron_13	adult_neuron	3.44086415607195	1	1
Galaxea_fascicularis_REEFv1___m1.9078.m1	2	1	adult_neuron_10	adult_neuron	3.91943161183144	3	1
Galaxea_fascicularis_REEFv1___m1.9078.m1	2	1	adult_neuron_9	adult_neuron	3.86689596434689	3	1
Galaxea_fascicularis_REEFv1___m1.9074.m1	1	1	adult_digestive_filaments	adult_digestive	2.68121820444693	8	1
Galaxea_fascicularis_REEFv1___m1.2312.m1	1	1	adult_germline_sperm	adult_germline	3.21398843885056	0	0
Galaxea_fascicularis_REEFv1___m1.14521.m1	1	1	adult_germline_sperm	adult_germline	3.51396388409395	0	0
Galaxea_fascicularis_REEFv1___m1.2157.m1	1	1	adult_germline_sperm	adult_germline	3.42552436689157	0	0
Galaxea_fascicularis_REEFv1___m1.7801.m1	1	1	adult_unknown	adult_unknown	2.79494336085584	0	0
Galaxea_fascicularis_REEFv1___m1.17893.m1	1	1	adult_germline_sperm	adult_germline	5.29638157059697	2	1
Galaxea_fascicularis_REEFv1___m1.10175.m1	1	1	adult_neuron_13	adult_neuron	3.82660625309805	1	1
Galaxea_fascicularis_REEFv1___m1.6462.m1	1	1	adult_germline_sperm	adult_germline	2.91827895578373	0	0
Galaxea_fascicularis_REEFv1___m1.12775.m1	1	1	adult_alga-hosting_cells	adult_alga-hosting	2.80610749188841	3	1
Galaxea_fascicularis_REEFv1___m1.14484.m1	2	1	adult_gastrodermis_musclelike	adult_gastrodermis	2.71403228231162	4	1
Galaxea_fascicularis_REEFv1___m1.14484.m1	2	1	adult_gastrodermis	adult_gastrodermis	2.99848973146428	4	1
Galaxea_fascicularis_REEFv1___m1.2719.m1	2	1	adult_neuron_2	adult_neuron	7.22865726138269	3	1
Galaxea_fascicularis_REEFv1___m1.2719.m1	2	1	adult_neuron_13	adult_neuron	4.11135418949395	3	1
Galaxea_fascicularis_REEFv1___m1.16283.m1	3	1	adult_neuron_1	adult_neuron	2.6478311542097	3	1
Galaxea_fascicularis_REEFv1___m1.16283.m1	3	1	adult_neuron_3	adult_neuron	2.57333012423911	3	1
Galaxea_fascicularis_REEFv1___m1.16283.m1	3	1	adult_neuron_13	adult_neuron	2.98125967540236	3	1
Galaxea_fascicularis_REEFv1___m1.767.m1	2	1	adult_neuron_13	adult_neuron	9.70780319816351	2	1
Galaxea_fascicularis_REEFv1___m1.767.m1	2	1	adult_neuron_8	adult_neuron	20.3290688001697	2	1
Galaxea_fascicularis_REEFv1___m1.19644.m1	1	1	adult_neuron_10	adult_neuron	10.1295980307945	1	1
