specific_cell_type	marker_gene_count
adult_cnidocyte	25
adult_gastrodermis_musclelike	2
adult_gastrodermis	0
adult_alga-hosting_cells	4
adult_mitotic_host_cells	3
adult_germline_sperm	113
adult_digestive_filaments	0
adult_epidermis_1	0
adult_epidermis_2	1
adult_calicoblast	4
adult_neuron_1	1
adult_neuron_2	2
adult_neuron_3	1
adult_neuron_4	0
adult_neuron_5	1
adult_neuron_6	6
adult_neuron_7	1
adult_neuron_8	1
adult_neuron_9	2
adult_neuron_10	32
adult_neuron_11	0
adult_neuron_12	8
adult_neuron_13	65
adult_neuron_14	1
adult_gland_1	3
adult_gland_2	6
adult_gland_3_digestive	1
adult_gland_4	2
adult_gland_5	5
adult_gland_6	1
adult_gland_7	0
adult_gland_8	1
adult_gland_9	7
adult_gland_10	3
adult_unknown	6
adult_immune_1	4
adult_immune_2	3
