new_name	cell_type_count	broad_type_count	cell_type	broad_type	FC	mid_range_cell_type_count	mid_range_broad_type_count
Galaxea_fascicularis_REEFv1___m1.16758.m1	1	1	adult_neuron_13	adult_neuron	2.67479698069574	0	0
Galaxea_fascicularis_REEFv1___m1.2312.m1	1	1	adult_germline_sperm	adult_germline	3.21398843885056	0	0
Galaxea_fascicularis_REEFv1___m1.14521.m1	1	1	adult_germline_sperm	adult_germline	3.51396388409395	0	0
Galaxea_fascicularis_REEFv1___m1.2157.m1	1	1	adult_germline_sperm	adult_germline	3.42552436689157	0	0
Galaxea_fascicularis_REEFv1___m1.7801.m1	1	1	adult_unknown	adult_unknown	2.79494336085584	0	0
Galaxea_fascicularis_REEFv1___m1.6462.m1	1	1	adult_germline_sperm	adult_germline	2.91827895578373	0	0
Galaxea_fascicularis_REEFv1___m1.1101.m1	1	1	adult_neuron_13	adult_neuron	3.03373533279715	0	0
Galaxea_fascicularis_REEFv1___m1.4477.m1	1	1	adult_cnidocyte	adult_cnidocyte	2.85561158199406	0	0
Galaxea_fascicularis_REEFv1___m1.2959.m1	1	1	adult_neuron_10	adult_neuron	3.17220868638573	0	0
Galaxea_fascicularis_REEFv1___m1.18835.m1	1	1	adult_neuron_13	adult_neuron	3.65914101114251	0	0
Galaxea_fascicularis_REEFv1___m1.4238.m1	1	1	adult_gland_9	adult_gland	6.12911042039515	0	0
Galaxea_fascicularis_REEFv1___m1.17936.m1	1	1	adult_neuron_13	adult_neuron	2.68655749099714	0	0
Galaxea_fascicularis_REEFv1___m1.10141.m1	1	1	adult_gland_2	adult_gland	2.82424593449903	0	0
Galaxea_fascicularis_REEFv1___m1.5776.m1	1	1	adult_neuron_10	adult_neuron	2.83160031426659	0	0
Galaxea_fascicularis_REEFv1___m1.611.m1	1	1	adult_gland_2	adult_gland	2.71612707039546	0	0
Galaxea_fascicularis_REEFv1___m1.23455.m1	1	1	adult_cnidocyte	adult_cnidocyte	2.59063129358641	0	0
Galaxea_fascicularis_REEFv1___m1.16603.m1	1	1	adult_germline_sperm	adult_germline	3.28097641199472	0	0
Galaxea_fascicularis_REEFv1___m1.18153.m1	1	1	adult_gland_9	adult_gland	5.72654137358005	0	0
Galaxea_fascicularis_REEFv1___m1.3214.m1	1	1	adult_germline_sperm	adult_germline	3.21550150896619	0	0
Galaxea_fascicularis_REEFv1___m1.6831.m1	1	1	adult_neuron_13	adult_neuron	2.81200881432128	0	0
Galaxea_fascicularis_REEFv1___m1.12014.m1	1	1	adult_neuron_13	adult_neuron	2.54693129728171	0	0
Galaxea_fascicularis_REEFv1___m1.5777.m1	1	1	adult_germline_sperm	adult_germline	2.75069768711949	0	0
Galaxea_fascicularis_REEFv1___m1.14455.m1	1	1	adult_germline_sperm	adult_germline	8.16949564578434	0	0
Galaxea_fascicularis_REEFv1___m1.2884.m1	1	1	adult_germline_sperm	adult_germline	2.66562405480633	0	0
Galaxea_fascicularis_REEFv1___m1.8780.m1	1	1	adult_neuron_10	adult_neuron	3.56798807838485	0	0
Galaxea_fascicularis_REEFv1___m1.18678.m1	1	1	adult_germline_sperm	adult_germline	2.50556937663887	0	0
Galaxea_fascicularis_REEFv1___m1.15147.m1	1	1	adult_neuron_13	adult_neuron	2.65253965692901	0	0
