new_name	cell_type_count	broad_type_count	cell_type	broad_type	FC
Galaxea_fascicularis_REEFv1___m1.3698.m1	3	3	adult_gland_5	adult_gland	2.03838930797317
Galaxea_fascicularis_REEFv1___m1.3698.m1	3	3	adult_neuron_13	adult_neuron	2.06108587152408
Galaxea_fascicularis_REEFv1___m1.3698.m1	3	3	adult_calicoblast	adult_calicoblast	3.17380780183154
Galaxea_fascicularis_REEFv1___m1.4549.m1	1	1	adult_neuron_10	adult_neuron	2.29523855885152
Galaxea_fascicularis_REEFv1___m1.18626.m1	2	1	adult_gland_5	adult_gland	2.11515849506176
Galaxea_fascicularis_REEFv1___m1.18626.m1	2	1	adult_gland_6	adult_gland	2.15688929735277
Galaxea_fascicularis_REEFv1___m1.16758.m1	1	1	adult_neuron_13	adult_neuron	2.67479698069574
Galaxea_fascicularis_REEFv1___m1.5046.m1	1	1	adult_germline_sperm	adult_germline	4.55019498509859
Galaxea_fascicularis_REEFv1___m1.20328.m1	1	1	adult_neuron_13	adult_neuron	3.44086415607195
Galaxea_fascicularis_REEFv1___m1.5847.m1	1	1	adult_epidermis_2	adult_epidermis	2.12668352053031
Galaxea_fascicularis_REEFv1___m1.6503.m1	1	1	adult_mitotic_host_cells	adult_mitotic	4.28781788694897
Galaxea_fascicularis_REEFv1___m1.9078.m1	2	1	adult_neuron_10	adult_neuron	3.91943161183144
Galaxea_fascicularis_REEFv1___m1.9078.m1	2	1	adult_neuron_9	adult_neuron	3.86689596434689
Galaxea_fascicularis_REEFv1___m1.9074.m1	2	2	adult_digestive_filaments	adult_digestive	2.68121820444693
Galaxea_fascicularis_REEFv1___m1.9074.m1	2	2	adult_gland_3_digestive	adult_gland	2.14512378783968
Galaxea_fascicularis_REEFv1___m1.19920.m1	1	1	adult_gland_5	adult_gland	2.09981102734289
Galaxea_fascicularis_REEFv1___m1.4631.m1	1	1	adult_neuron_10	adult_neuron	2.02824255412532
Galaxea_fascicularis_REEFv1___m1.2312.m1	1	1	adult_germline_sperm	adult_germline	3.21398843885056
Galaxea_fascicularis_REEFv1___m1.3979.m1	1	1	adult_germline_sperm	adult_germline	2.44380030900042
Galaxea_fascicularis_REEFv1___m1.2316.m1	1	1	adult_germline_sperm	adult_germline	2.41560490105033
Galaxea_fascicularis_REEFv1___m1.14521.m1	1	1	adult_germline_sperm	adult_germline	3.51396388409395
Galaxea_fascicularis_REEFv1___m1.5684.m1	1	1	adult_immune_2	adult_immune	2.03092445591672
Galaxea_fascicularis_REEFv1___m1.2157.m1	1	1	adult_germline_sperm	adult_germline	3.42552436689157
Galaxea_fascicularis_REEFv1___m1.7801.m1	1	1	adult_unknown	adult_unknown	2.79494336085584
Galaxea_fascicularis_REEFv1___m1.17893.m1	1	1	adult_germline_sperm	adult_germline	5.29638157059697
Galaxea_fascicularis_REEFv1___m1.9514.m1	4	2	adult_gland_3_digestive	adult_gland	34.1679329045824
Galaxea_fascicularis_REEFv1___m1.9514.m1	4	2	adult_gland_5	adult_gland	2.06037370263358
Galaxea_fascicularis_REEFv1___m1.9514.m1	4	2	adult_neuron_6	adult_neuron	2.29482352064921
Galaxea_fascicularis_REEFv1___m1.9514.m1	4	2	adult_gland_1	adult_gland	2.08869196733149
Galaxea_fascicularis_REEFv1___m1.8854.m1	1	1	adult_germline_sperm	adult_germline	2.22985976927428
Galaxea_fascicularis_REEFv1___m1.10175.m1	1	1	adult_neuron_13	adult_neuron	3.82660625309805
Galaxea_fascicularis_REEFv1___m1.5327.m1	1	1	adult_cnidocyte	adult_cnidocyte	2.24062397818527
Galaxea_fascicularis_REEFv1___m1.5164.m1	2	1	adult_neuron_10	adult_neuron	2.07484451281033
Galaxea_fascicularis_REEFv1___m1.5164.m1	2	1	adult_neuron_12	adult_neuron	2.13502916797524
Galaxea_fascicularis_REEFv1___m1.1583.m1	1	1	adult_neuron_10	adult_neuron	2.19500003702936
Galaxea_fascicularis_REEFv1___m1.5969.m1	1	1	adult_immune_2	adult_immune	2.37292479404243
Galaxea_fascicularis_REEFv1___m1.10261.m1	1	1	adult_neuron_12	adult_neuron	2.09303088972326
Galaxea_fascicularis_REEFv1___m1.16161.m1	2	1	adult_neuron_1	adult_neuron	2.38021185145971
Galaxea_fascicularis_REEFv1___m1.16161.m1	2	1	adult_neuron_4	adult_neuron	2.16757655188658
Galaxea_fascicularis_REEFv1___m1.13186.m1	1	1	adult_alga-hosting_cells	adult_alga-hosting	2.12802598442592
Galaxea_fascicularis_REEFv1___m1.2438.m1	1	1	adult_neuron_10	adult_neuron	2.16968101587198
Galaxea_fascicularis_REEFv1___m1.14643.m1	1	1	adult_gland_2	adult_gland	2.07746443860339
Galaxea_fascicularis_REEFv1___m1.6466.m1	1	1	adult_neuron_13	adult_neuron	2.00934614730798
Galaxea_fascicularis_REEFv1___m1.6462.m1	1	1	adult_germline_sperm	adult_germline	2.91827895578373
Galaxea_fascicularis_REEFv1___m1.12775.m1	2	2	adult_gastrodermis_musclelike	adult_gastrodermis	2.34512807758399
Galaxea_fascicularis_REEFv1___m1.12775.m1	2	2	adult_alga-hosting_cells	adult_alga-hosting	2.80610749188841
Galaxea_fascicularis_REEFv1___m1.5250.m1	2	2	adult_neuron_10	adult_neuron	2.77234132953745
Galaxea_fascicularis_REEFv1___m1.5250.m1	2	2	adult_unknown	adult_unknown	2.74184994896541
Galaxea_fascicularis_REEFv1___m1.14484.m1	4	3	adult_neuron_11	adult_neuron	2.01035446675915
Galaxea_fascicularis_REEFv1___m1.14484.m1	4	3	adult_gastrodermis_musclelike	adult_gastrodermis	2.71403228231162
Galaxea_fascicularis_REEFv1___m1.14484.m1	4	3	adult_unknown	adult_unknown	2.28227072997265
Galaxea_fascicularis_REEFv1___m1.14484.m1	4	3	adult_gastrodermis	adult_gastrodermis	2.99848973146428
Galaxea_fascicularis_REEFv1___m1.3732.m1	1	1	adult_neuron_13	adult_neuron	2.41895155237205
Galaxea_fascicularis_REEFv1___m1.14488.m1	8	2	adult_neuron_1	adult_neuron	2.32564926787954
Galaxea_fascicularis_REEFv1___m1.14488.m1	8	2	adult_neuron_3	adult_neuron	2.57482625978379
Galaxea_fascicularis_REEFv1___m1.14488.m1	8	2	adult_neuron_4	adult_neuron	4.76135793903132
