"","gene","cell_type","FC","Species","Lifestage"
"1","Hvul_g10044_1","cnidocyte",7.6273462801153,"Hvul","Adult"
"2","Hvul_g10382_1","gastrodermis",90.2021627116031,"Hvul","Adult"
"3","Hvul_g10514_1","precursors",5.92208039444088,"Hvul","Adult"
"4","Hvul_g11134_1","epidermis",27.3040789485653,"Hvul","Adult"
"5","Hvul_g11299_1","precursors",2.53828044502256,"Hvul","Adult"
"6","Hvul_g11313_1","neuron",89.6532736437404,"Hvul","Adult"
"7","Hvul_g11543_1","epidermis",20.7182151601127,"Hvul","Adult"
"8","Hvul_g11568_1","germline",10.121208167963,"Hvul","Adult"
"9","Hvul_g11572_1","cnidocyte",9.14625116492002,"Hvul","Adult"
"10","Hvul_g12551_1","neuron",31.3727010268701,"Hvul","Adult"
"11","Hvul_g1284_1","cnidocyte",5.08694576920765,"Hvul","Adult"
"12","Hvul_g1379_1","neuron",22.2363210366107,"Hvul","Adult"
"13","Hvul_g15015_1","gland",44.7176854322142,"Hvul","Adult"
"14","Hvul_g15230_1","precursors",2.65714493421244,"Hvul","Adult"
"15","Hvul_g15632_1","gland",23.5926728976568,"Hvul","Adult"
"16","Hvul_g16157_1","gastrodermis",37.8910429817481,"Hvul","Adult"
"17","Hvul_g17678_1","gastrodermis",31.3793259698797,"Hvul","Adult"
"18","Hvul_g17953_1","cnidocyte",10.0079271550543,"Hvul","Adult"
"19","Hvul_g17990_1","germline",13.0660198406539,"Hvul","Adult"
"20","Hvul_g17994_1","epidermis",17.7535810883729,"Hvul","Adult"
"21","Hvul_g1835_1","germline",8.3228452420111,"Hvul","Adult"
"22","Hvul_g1924_1","precursors",2.76961555508096,"Hvul","Adult"
"23","Hvul_g20995_1","epidermis",11.4380843137108,"Hvul","Adult"
"24","Hvul_g21873_1","epidermis",13.6967603438161,"Hvul","Adult"
"25","Hvul_g24035_1","epidermis",13.2245262882749,"Hvul","Adult"
"26","Hvul_g24271_1","neuron",22.0159024877429,"Hvul","Adult"
"27","Hvul_g24329_1","neuron",37.6926807086066,"Hvul","Adult"
"28","Hvul_g24376_1","germline",13.4905524700307,"Hvul","Adult"
"29","Hvul_g2461_1","cnidocyte",5.14217574668493,"Hvul","Adult"
"30","Hvul_g25080_1","gland",25.4715678836816,"Hvul","Adult"
"31","Hvul_g25710_1","neuron",51.8148667771274,"Hvul","Adult"
"32","Hvul_g25743_1","cnidocyte",7.8725805353011,"Hvul","Adult"
"33","Hvul_g25767_1","gastrodermis",42.7359817370982,"Hvul","Adult"
"34","Hvul_g25869_1","germline",8.40503285353332,"Hvul","Adult"
"35","Hvul_g2661_1","cnidocyte",12.1064918779974,"Hvul","Adult"
"36","Hvul_g26848_1","gland",28.5676473959008,"Hvul","Adult"
"37","Hvul_g27576_1","germline",16.1050550020553,"Hvul","Adult"
"38","Hvul_g27651_1","cnidocyte",8.82539761372526,"Hvul","Adult"
"39","Hvul_g27998_1","precursors",4.68562182694442,"Hvul","Adult"
"40","Hvul_g28301_1","gland",36.863888373413,"Hvul","Adult"
"41","Hvul_g28429_1","gastrodermis",33.692624203058,"Hvul","Adult"
"42","Hvul_g28430_1","gastrodermis",56.0811969307677,"Hvul","Adult"
"43","Hvul_g29791_1","epidermis",11.0611215350573,"Hvul","Adult"
"44","Hvul_g30298_1","gland",41.4466926973191,"Hvul","Adult"
"45","Hvul_g30764_1","gland",47.715900481915,"Hvul","Adult"
"46","Hvul_g31502_1","epidermis",13.5917925925111,"Hvul","Adult"
"47","Hvul_g31626_1","gastrodermis",91.9447925241975,"Hvul","Adult"
"48","Hvul_g3220_1","gland",28.9286680635977,"Hvul","Adult"
"49","Hvul_g32304_1","precursors",3.21615566528322,"Hvul","Adult"
"50","Hvul_g33051_1","cnidocyte",13.6739112093308,"Hvul","Adult"
"51","Hvul_g33076_1","neuron",53.2643103453875,"Hvul","Adult"
"52","Hvul_g33299_1","gland",45.7117003273154,"Hvul","Adult"
"53","Hvul_g33550_1","precursors",3.19960126527105,"Hvul","Adult"
"54","Hvul_g3411_1","cnidocyte",6.50458844671439,"Hvul","Adult"
"55","Hvul_g3565_1","germline",10.7329906202796,"Hvul","Adult"
"56","Hvul_g3660_1","epidermis",19.9415982717661,"Hvul","Adult"
"57","Hvul_g385_1","germline",20.8468393909578,"Hvul","Adult"
"58","Hvul_g419_1","precursors",3.45118370992523,"Hvul","Adult"
"59","Hvul_g4335_1","gastrodermis",52.9348859332477,"Hvul","Adult"
"60","Hvul_g5179_1","epidermis",14.1226193137364,"Hvul","Adult"
"61","Hvul_g6690_1","neuron",40.2089787904477,"Hvul","Adult"
"62","Hvul_g6753_1","neuron",20.5316601590892,"Hvul","Adult"
"63","Hvul_g6754_1","gastrodermis",38.8024562222923,"Hvul","Adult"
"64","Hvul_g7871_1","neuron",18.328260129302,"Hvul","Adult"
"65","Hvul_g7895_1","gland",47.2844865241616,"Hvul","Adult"
"66","Hvul_g8512_1","germline",14.2955867206296,"Hvul","Adult"
"67","Hvul_g874_1","gastrodermis",42.6247391829246,"Hvul","Adult"
"68","Hvul_g9233_1","germline",25.2770864846364,"Hvul","Adult"
"69","Nvec_NVE12036","gland",3.75461086086196,"Nvec","Adult"
"70","Nvec_NVE1757","gastrodermis",8.34318139701638,"Nvec","Adult"
"71","Nvec_NVE17842","epidermis",8.59321158936755,"Nvec","Adult"
"72","Nvec_NVE17843","epidermis",12.5825674183273,"Nvec","Adult"
"73","Nvec_NVE18617","precursors",2.73610469734124,"Nvec","Adult"
"74","Nvec_NVE18954","cnidocyte",22.5741025987474,"Nvec","Adult"
"75","Nvec_NVE19037","cnidocyte",26.1839255137997,"Nvec","Adult"
"76","Nvec_NVE19039","cnidocyte",34.2254959190942,"Nvec","Adult"
"77","Nvec_NVE20010","neuron",3.65369806115502,"Nvec","Adult"
"78","Nvec_NVE20798","gland",3.32607800848167,"Nvec","Adult"
"79","Nvec_NVE24306","neuron",4.76297043150776,"Nvec","Adult"
"80","Nvec_NVE24307","neuron",3.69055218273838,"Nvec","Adult"
