gene	cell_type	FC	Species	Lifestage
Hvul_NA_1	precursors_neuron	8.834722	Hvul	Adult
Hvul_g10044_1	cnidocyte_i_nb2	29.74155	Hvul	Adult
Hvul_g10257_1	epidermis_ecEp_basal_disk	119.736074471826	Hvul	Adult
Hvul_g10296_1	neuron_i_en1	107.607416925527	Hvul	Adult
Hvul_g10299_1	neuron_i_en1	96.5087948133111	Hvul	Adult
Hvul_g10382_1	gastrodermis_enEp_foot	76.52118	Hvul	Adult
Hvul_g10514_1	cnidocyte_i_nb1	13.7846475218469	Hvul	Adult
Hvul_g10810_1	gland_i_zymogen	110.272666102262	Hvul	Adult
Hvul_g1089_1	germline_i_male	8.7045600222736	Hvul	Adult
Hvul_g11056_1	gastrodermis_enEp_foot	28.15889	Hvul	Adult
Hvul_g11134_1	epidermis_ecEp_peduncle	51.97237	Hvul	Adult
Hvul_g11299_1	precursors_neuron	6.08257173876547	Hvul	Adult
Hvul_g11310_1	cnidocyte_i_nb4	70.84956	Hvul	Adult
Hvul_g11313_1	neuron_i_ec1	60.39507	Hvul	Adult
Hvul_g11543_1	cnidocyte_i_nb3	17.6097973526475	Hvul	Adult
Hvul_g11568_1	germline_i_female	10.3088244746404	Hvul	Adult
Hvul_g11572_1	cnidocyte_ecEp_head_hypostome	155.558916057642	Hvul	Adult
Hvul_g11736_1	neuron_i_ec2	45.5247854672134	Hvul	Adult
Hvul_g12038_1	gland_i_zymogen	93.23222	Hvul	Adult
Hvul_g12071_1	precursors_i	4.62481849364511	Hvul	Adult
Hvul_g12139_1	neuron_i_ec5	36.28933	Hvul	Adult
Hvul_g12221_1	neuron_i_en2	173.3668	Hvul	Adult
Hvul_g12551_1	neuron_i_ec1	45.58573	Hvul	Adult
Hvul_g12976_1	neuron_i_en3	1303.822	Hvul	Adult
Hvul_g13178_1	epidermis_ecEp_basal_disk	55.37732	Hvul	Adult
Hvul_g1379_1	neuron_i_ec1	37.7934329665988	Hvul	Adult
Hvul_g13938_1	neuron_i_en2	803.9868	Hvul	Adult
Hvul_g13989_1	cnidocyte_ecEp_head_hypostome	96.47546	Hvul	Adult
Hvul_g13998_1	neuron_i_en2	49.2540175734639	Hvul	Adult
Hvul_g14373_1	neuron_i_en3	59.21108	Hvul	Adult
Hvul_g14708_1	neuron_i_ec3	606.4646	Hvul	Adult
Hvul_g14726_1	neuron_i_ec3	44.13552	Hvul	Adult
Hvul_g14850_1	precursors_neuron	5.778227	Hvul	Adult
Hvul_g15015_1	gland_i_zymogen	125.386629176708	Hvul	Adult
Hvul_g15493_1	neuron_i_ec4	32.0448655790317	Hvul	Adult
Hvul_g15632_1	gland_i_zymogen	77.1447468900718	Hvul	Adult
Hvul_g15690_1	neuron_i_ec3	24.0489404343194	Hvul	Adult
Hvul_g15727_1	neuron_i_en2	143.507054958962	Hvul	Adult
Hvul_g16157_1	gastrodermis_enEp_foot	44.0319	Hvul	Adult
Hvul_g16528_1	neuron_i_en3	29.32511	Hvul	Adult
Hvul_g17407_1	neuron_i_ec2	38.73117	Hvul	Adult
Hvul_g1751_1	epidermis_ecEp_basal_disk	58.0957852758137	Hvul	Adult
Hvul_g17678_1	gastrodermis_enEp_stem_cell	30.88431	Hvul	Adult
Hvul_g17796_1	gland_i_granular_mucous	76.3819408066479	Hvul	Adult
Hvul_g17808_1	germline_i_male	12.03692	Hvul	Adult
Hvul_g17917_1	precursors_nematocyte	99.244664300722	Hvul	Adult
Hvul_g17953_1	cnidocyte_ecEp_head_hypostome	81.5729188995031	Hvul	Adult
Hvul_g17990_1	germline_i_female_nurse_cell	141.197171405958	Hvul	Adult
Hvul_g17994_1	epidermis_ecEp_basal_disk	110.111414395072	Hvul	Adult
Hvul_g18277_1	cnidocyte_i_nb3	28.9213143037917	Hvul	Adult
Hvul_g18331_1	gland_i_spumous_mucous	83.39493	Hvul	Adult
Hvul_g1835_1	germline_i_male	346.807517911344	Hvul	Adult
Hvul_g18367_1	neuron_i_en2	1035.298	Hvul	Adult
Hvul_g18369_1	neuron_i_en2	203.1535	Hvul	Adult
Hvul_g18384_1	precursors_nematocyte	79.54827	Hvul	Adult
Hvul_g18385_1	precursors_nematocyte	92.5084820693031	Hvul	Adult
Hvul_g18531_1	gland_i_granular_mucous	58.51438	Hvul	Adult
Hvul_g18705_1	neuron_i_en1	61.45166	Hvul	Adult
Hvul_g1924_1	cnidocyte_i_nb1	6.7668576481474	Hvul	Adult
Hvul_g19253_1	precursors_nematocyte	52.581516934375	Hvul	Adult
Hvul_g19261_1	precursors_neuron	6.19082356007204	Hvul	Adult
Hvul_g19480_1	germline_i_female	5.44354133965775	Hvul	Adult
Hvul_g19689_1	epidermis_ecEp_basal_disk	78.5331755622533	Hvul	Adult
Hvul_g19693_1	cnidocyte_i_nb1	5.65126262847578	Hvul	Adult
Hvul_g19901_1	cnidocyte_ecEp_head_hypostome	94.56305	Hvul	Adult
Hvul_g19902_1	cnidocyte_ecEp_head_hypostome	56.95462	Hvul	Adult
Hvul_g19903_1	cnidocyte_i_nb4	79.12031	Hvul	Adult
Hvul_g20117_1	gland_i_zymogen	138.1475	Hvul	Adult
Hvul_g20340_1	cnidocyte_i_nb3	22.13589	Hvul	Adult
Hvul_g20685_1	gland_i_granular_mucous	48.0984476784304	Hvul	Adult
Hvul_g20832_1	gland_i_spumous_mucous	52.3050131981732	Hvul	Adult
Hvul_g20995_1	cnidocyte_i_nb3	31.1535661732724	Hvul	Adult
Hvul_g210_1	precursors_nematocyte	37.80169	Hvul	Adult
Hvul_g21131_1	gland_i_zymogen	87.23723	Hvul	Adult
Hvul_g21720_1	precursors_neuron	9.64839038671677	Hvul	Adult
Hvul_g21784_1	cnidocyte_i_nb2	21.63241	Hvul	Adult
Hvul_g21873_1	cnidocyte_i_nb3	18.8545149611546	Hvul	Adult
Hvul_g21993_1	cnidocyte_i_nb3	19.8760540374247	Hvul	Adult
Hvul_g21994_1	cnidocyte_i_nb3	15.5535961367704	Hvul	Adult
Hvul_g22114_1	epidermis_ecEp_peduncle	20.06295	Hvul	Adult
Hvul_g22533_1	precursors_nematocyte	53.3907297409659	Hvul	Adult
Hvul_g22607_1	germline_i_male	11.4745231503369	Hvul	Adult
Hvul_g22659_1	gland_i_zymogen	185.1033	Hvul	Adult
Hvul_g23344_1	neuron_i_ec2	432.162721796086	Hvul	Adult
Hvul_g23541_1	neuron_i_en2	43.0587137978412	Hvul	Adult
Hvul_g24035_1	epidermis_ecEp_fmgl_db	144.2257	Hvul	Adult
Hvul_g24045_1	epidermis_ecEp_basal_disk	183.951	Hvul	Adult
Hvul_g24329_1	neuron_i_ec3	453.558	Hvul	Adult
Hvul_g24376_1	germline_i_female_nurse_cell	147.6983	Hvul	Adult
Hvul_g24535_1	neuron_i_ec2	80.24422	Hvul	Adult
Hvul_g2461_1	cnidocyte_i_nb1	8.294591	Hvul	Adult
Hvul_g24924_1	neuron_i_en3	43.12483	Hvul	Adult
Hvul_g25079_1	gland_i_spumous_mucous	524.8186	Hvul	Adult
Hvul_g25080_1	gland_i_spumous_mucous	864.6353	Hvul	Adult
Hvul_g25376_1	gastrodermis_enEp_tentacle	63.69674	Hvul	Adult
Hvul_g25710_1	neuron_i_ec1	121.9447	Hvul	Adult
Hvul_g25743_1	cnidocyte_ecEp_head_hypostome	275.5158	Hvul	Adult
Hvul_g25765_1	precursors_i	5.113113	Hvul	Adult
Hvul_g25767_1	gastrodermis_enEp_foot	46.87136	Hvul	Adult
Hvul_g25771_1	gland_i_granular_mucous	49.96336	Hvul	Adult
Hvul_g25869_1	germline_i_female_nurse_cell	69.45662	Hvul	Adult
Hvul_g26232_1	epidermis_ecEp_fmgl_db	22.08367	Hvul	Adult
Hvul_g26402_1	germline_i_male	10.99274	Hvul	Adult
Hvul_g26427_1	gastrodermis_enEp_tentacle	45.36889	Hvul	Adult
Hvul_g26562_1	epidermis_ecEp_basal_disk	63.87377	Hvul	Adult
Hvul_g2657_1	cnidocyte_ecEp_head_hypostome	53.57362	Hvul	Adult
Hvul_g2661_1	cnidocyte_ecEp_head_hypostome	217.7512	Hvul	Adult
Hvul_g26846_1	neuron_i_en1	109.9309	Hvul	Adult
Hvul_g26848_1	gland_i_granular_mucous	108.4878	Hvul	Adult
Hvul_g26890_1	neuron_i_en2	35.62352	Hvul	Adult
Hvul_g27032_1	neuron_i_ec1	44.60442	Hvul	Adult
Hvul_g27082_1	precursors_nematocyte	38.50473	Hvul	Adult
Hvul_g27119_1	gastrodermis_enEp_head	40.9546	Hvul	Adult
Hvul_g27455_1	gland_i_spumous_mucous	40.79835	Hvul	Adult
Hvul_g27544_1	precursors_i	4.795948	Hvul	Adult
Hvul_g27572_1	precursors_i	4.740093	Hvul	Adult
Hvul_g27576_1	germline_i_female_nurse_cell	210.5739	Hvul	Adult
Hvul_g27651_1	cnidocyte_i_nb1	4.950832	Hvul	Adult
Hvul_g27787_1	precursors_nematocyte	46.57201	Hvul	Adult
Hvul_g27998_1	cnidocyte_i_nb1	10.96381	Hvul	Adult
Hvul_g28248_1	neuron_i_en1	55.18549	Hvul	Adult
Hvul_g28429_1	gastrodermis_enEp_foot	38.43018	Hvul	Adult
Hvul_g28430_1	gastrodermis_enEp_foot	58.21752	Hvul	Adult
Hvul_g28515_1	gastrodermis_enEp_tentacle	48.03422	Hvul	Adult
Hvul_g28684_1	precursors_neuron_gland	4.368092	Hvul	Adult
Hvul_g28987_1	cnidocyte_i_nb4	74.57214	Hvul	Adult
Hvul_g29685_1	neuron_i_ec5	44.98661	Hvul	Adult
Hvul_g2978_1	gland_i_granular_mucous	73.83084	Hvul	Adult
Hvul_g29791_1	cnidocyte_i_nb3	18.79147	Hvul	Adult
Hvul_g30038_1	neuron_i_ec3	37.81117	Hvul	Adult
Hvul_g30298_1	gland_i_granular_mucous	245.6221	Hvul	Adult
Hvul_g30300_1	germline_i_female_nurse_cell	50.73146	Hvul	Adult
Hvul_g30334_1	gland_i_spumous_mucous	37.19748	Hvul	Adult
Hvul_g30462_1	neuron_i_ec2	540.663	Hvul	Adult
Hvul_g30703_1	cnidocyte_ecEp_head_hypostome	196.0859	Hvul	Adult
Hvul_g30764_1	gland_i_granular_mucous	123.1625	Hvul	Adult
Hvul_g31502_1	epidermis_ecEp_fmgl_db	24.31396	Hvul	Adult
Hvul_g31626_1	gastrodermis_enEp_foot	93.72051	Hvul	Adult
Hvul_g31894_1	precursors_i	4.555179	Hvul	Adult
Hvul_g31922_1	cnidocyte_i_nb3	15.4847	Hvul	Adult
Hvul_g3219_1	gland_i_spumous_mucous	66.33576	Hvul	Adult
Hvul_g3220_1	gland_i_spumous_mucous	43.73717	Hvul	Adult
Hvul_g32304_1	cnidocyte_i_nb1	5.012846	Hvul	Adult
Hvul_g32541_1	germline_i_male	243.593	Hvul	Adult
Hvul_g32542_1	germline_i_male	80.71429	Hvul	Adult
Hvul_g33051_1	cnidocyte_ecEp_head_hypostome	428.1108	Hvul	Adult
Hvul_g33076_1	neuron_i_ec1	98.27287	Hvul	Adult
Hvul_g33299_1	gland_i_granular_mucous	80.84252	Hvul	Adult
Hvul_g3331_1	germline_i_female	6.626926	Hvul	Adult
Hvul_g33329_1	neuron_i_ec5	767.6996	Hvul	Adult
Hvul_g33330_1	neuron_i_ec1	95.1305	Hvul	Adult
Hvul_g33337_1	neuron_i_ec5	607.2222	Hvul	Adult
Hvul_g33343_1	neuron_i_ec1	50.2113	Hvul	Adult
Hvul_g33550_1	cnidocyte_i_nb1	6.544055	Hvul	Adult
Hvul_g3411_1	cnidocyte_i_nb1	5.939916	Hvul	Adult
Hvul_g3565_1	germline_i_female_nurse_cell	75.32811	Hvul	Adult
Hvul_g3568_1	germline_i_female	5.844677	Hvul	Adult
Hvul_g3660_1	epidermis_ecEp_peduncle	46.70382	Hvul	Adult
Hvul_g3709_1	epidermis_ecEp_basal_disk	76.76428	Hvul	Adult
Hvul_g385_1	germline_i_female	14.21178	Hvul	Adult
Hvul_g4038_1	neuron_i_ec2	114.7822	Hvul	Adult
Hvul_g4046_1	neuron_i_ec4	566.6853	Hvul	Adult
Hvul_g4047_1	neuron_i_ec4	583.8271	Hvul	Adult
Hvul_g419_1	cnidocyte_i_nb1	7.285289	Hvul	Adult
Hvul_g4335_1	gastrodermis_enEp_foot	32.20168	Hvul	Adult
Hvul_g4544_1	gastrodermis_enEp_tentacle	65.0543	Hvul	Adult
Hvul_g4656_1	neuron_i_ec4	51.03044	Hvul	Adult
Hvul_g4770_1	neuron_i_ec2	437.787	Hvul	Adult
Hvul_g5179_1	cnidocyte_i_nb3	17.94812	Hvul	Adult
Hvul_g5843_1	precursors_nematocyte	97.07734	Hvul	Adult
Hvul_g6139_1	gland_i_spumous_mucous	68.71983	Hvul	Adult
Hvul_g6228_1	gland_i_granular_mucous	133.2309	Hvul	Adult
Hvul_g6690_1	neuron_i_ec1	38.44643	Hvul	Adult
Hvul_g6753_1	precursors_nematocyte	81.98289	Hvul	Adult
Hvul_g6754_1	gastrodermis_enEp_foot	34.99871	Hvul	Adult
Hvul_g7641_1	gland_i_spumous_mucous	57.92282	Hvul	Adult
Hvul_g7871_1	neuron_i_ec1	232.1861	Hvul	Adult
Hvul_g7895_1	gland_i_zymogen	138.2568	Hvul	Adult
Hvul_g8497_1	gastrodermis_enEp_tentacle	45.62069	Hvul	Adult
Hvul_g8512_1	germline_i_female_nurse_cell	193.7466	Hvul	Adult
Hvul_g874_1	gastrodermis_enEp_foot	31.0889	Hvul	Adult
Hvul_g8923_1	germline_i_male	115.7822	Hvul	Adult
Hvul_g8970_1	gastrodermis_enEp_tentacle	58.95784	Hvul	Adult
Hvul_g9233_1	germline_i_female	25.17277	Hvul	Adult
Hvul_g9819_1	epidermis_ecEp_basal_disk	268.9003	Hvul	Adult
Hvul_g9821_1	epidermis_ecEp_basal_disk	67.33524	Hvul	Adult
Nvec_NVE10035	gland_secretory_1A	8.1086461360412	Nvec	Adult
Nvec_NVE10051	muscle_somatic_gonad	37.656098434178	Nvec	Adult
Nvec_NVE10098	gland_secretory_5	146.660358591104	Nvec	Adult
Nvec_NVE10245	gland_secretory_U7	305.750532560689	Nvec	Adult
