"","gene","cell_type","FC","Species","Lifestage"
"1","Hvul_NA_1","precursors_neuron",8.834722,"Hvul","Adult"
"2","Hvul_g10044_1","cnidocyte_i_nb2",29.74155,"Hvul","Adult"
"3","Hvul_g10257_1","epidermis_ecEp_basal_disk",119.736074471826,"Hvul","Adult"
"4","Hvul_g10296_1","neuron_i_en1",107.607416925527,"Hvul","Adult"
"5","Hvul_g10299_1","neuron_i_en1",96.5087948133111,"Hvul","Adult"
"6","Hvul_g10382_1","gastrodermis_enEp_foot",76.52118,"Hvul","Adult"
"7","Hvul_g10514_1","cnidocyte_i_nb1",13.7846475218469,"Hvul","Adult"
"8","Hvul_g10810_1","gland_i_zymogen",110.272666102262,"Hvul","Adult"
"9","Hvul_g1089_1","germline_i_male",8.7045600222736,"Hvul","Adult"
"10","Hvul_g11056_1","gastrodermis_enEp_foot",28.15889,"Hvul","Adult"
"11","Hvul_g11134_1","epidermis_ecEp_peduncle",51.97237,"Hvul","Adult"
"12","Hvul_g11299_1","precursors_neuron",6.08257173876547,"Hvul","Adult"
"13","Hvul_g11310_1","cnidocyte_i_nb4",70.84956,"Hvul","Adult"
"14","Hvul_g11313_1","neuron_i_ec1",60.39507,"Hvul","Adult"
"15","Hvul_g11543_1","cnidocyte_i_nb3",17.6097973526475,"Hvul","Adult"
"16","Hvul_g11568_1","germline_i_female",10.3088244746404,"Hvul","Adult"
"17","Hvul_g11572_1","cnidocyte_ecEp_head_hypostome",155.558916057642,"Hvul","Adult"
"18","Hvul_g11736_1","neuron_i_ec2",45.5247854672134,"Hvul","Adult"
"19","Hvul_g12038_1","gland_i_zymogen",93.23222,"Hvul","Adult"
"20","Hvul_g12071_1","precursors_i",4.62481849364511,"Hvul","Adult"
"21","Hvul_g12139_1","neuron_i_ec5",36.28933,"Hvul","Adult"
"22","Hvul_g12221_1","neuron_i_en2",173.3668,"Hvul","Adult"
"23","Hvul_g12551_1","neuron_i_ec1",45.58573,"Hvul","Adult"
"24","Hvul_g12976_1","neuron_i_en3",1303.822,"Hvul","Adult"
"25","Hvul_g13178_1","epidermis_ecEp_basal_disk",55.37732,"Hvul","Adult"
"26","Hvul_g1379_1","neuron_i_ec1",37.7934329665988,"Hvul","Adult"
"27","Hvul_g13938_1","neuron_i_en2",803.9868,"Hvul","Adult"
