best_strata	best_strata_taxa	color_best_strata_taxa
tax_id	279588	#ffff99
tax_id	400682	#ffff99
tax_id	178554	#ffff99
tax_id	6052	#ffff99
tax_id	6106	#fccde5
tax_id	2652724	#fccde5
tax_id	45351	#fccde5
tax_id	2072708	#fccde5
tax_id	6110	#fccde5
tax_id	2736680	#fccde5
tax_id	51823	#fccde5
tax_id	86600	#fccde5
tax_id	51772	#fccde5
tax_id	541185	#fccde5
tax_id	51832	#fccde5
tax_id	367763	#33a02c
tax_id	1929007	#33a02c
tax_id	46686	#33a02c
tax_id	70779	#33a02c
tax_id	513064	#33a02c
tax_id	70782	#33a02c
tax_id	70780	#33a02c
tax_id	55974	#33a02c
tax_id	114500	#33a02c
tax_id	156436	#33a02c
tax_id	45264	#33a02c
tax_id	159855	#33a02c
tax_id	70778	#33a02c
tax_id	165727	#33a02c
tax_id	70783	#33a02c
tax_id	117778	#33a02c
tax_id	102202	#33a02c
tax_id	2635559	#33a02c
tax_id	46745	#33a02c
tax_id	1540031	#33a02c
tax_id	63558	#33a02c
tax_id	246299	#33a02c
tax_id	46704	#33a02c
tax_id	46704	#33a02c
tax_id	105610	#33a02c
tax_id	48498	#33a02c
tax_id	497657	#33a02c
tax_id	102205	#33a02c
tax_id	1491507	#33a02c
tax_id	1491507	#33a02c
tax_id	490831	#33a02c
tax_id	46731	#33a02c
tax_id	46732	#33a02c
tax_id	203993	#33a02c
tax_id	104758	#33a02c
tax_id	51061	#33a02c
tax_id	46720	#33a02c
tax_id	104178	#33a02c
tax_id	104759	#33a02c
tax_id	51062	#33a02c
tax_id	262591	#33a02c
tax_id	50429	#33a02c
tax_id	55974	#33a02c
tax_id	159855	#33a02c
tax_id	2643297	#33a02c
tax_id	486192	#33a02c
tax_id	1869260	#33a02c
tax_id	2619190	#33a02c
tax_id	46714	#33a02c
tax_id	999287	#33a02c
tax_id	63558	#33a02c
tax_id	48498	#33a02c
tax_id	105609	#33a02c
tax_id	591990	#33a02c
tax_id	1136245	#33a02c
tax_id	46731	#33a02c
tax_id	203993	#33a02c
tax_id	104758	#33a02c
tax_id	104759	#33a02c
tax_id	1428006	#33a02c
tax_id	51070	#33a02c
tax_id	86597	#fccde5
tax_id	35630	#fccde5
tax_id	13093	#fccde5
tax_id	6082	#fccde5
tax_id	6087	#fccde5
tax_id	6088	#fccde5
tax_id	544493	#fccde5
tax_id	544496	#fccde5
tax_id	1916238	#fccde5
tax_id	544505	#fccde5
tax_id	6096	#fccde5
tax_id	316235	#fccde5
tax_id	1784781	#fccde5
tax_id	264060	#fccde5
tax_id	252671	#fccde5
tax_id	308606	#fccde5
tax_id	168775	#fccde5
tax_id	669202	#fccde5
tax_id	59783	#fccde5
tax_id	138709	#fccde5
tax_id	269814	#fccde5
tax_id	1193083	#fccde5
tax_id	686327	#fccde5
tax_id	1193083	#fccde5
tax_id	6141	#fccde5
tax_id	43186	#fccde5
tax_id	12993	#fccde5
tax_id	12993	#fccde5
tax_id	6145	#fccde5
tax_id	6145	#fccde5
tax_id	1843192	#fccde5
tax_id	1843192	#fccde5
tax_id	1843192	#fccde5
tax_id	37531	#fccde5
tax_id	1954221	#fccde5
tax_id	168739	#fccde5
tax_id	1843199	#fccde5
tax_id	1403702	#ffff99
tax_id	27923	#ffff99
tax_id	81824	#ffff99
tax_id	946362	#ffff99
tax_id	1964320	#ffff99
tax_id	10228	#ffff99
tax_id	287889	#ffff99
tax_id	151771	#fccde5
tax_id	317549	#fccde5
tax_id	86540	#fccde5
tax_id	142104	#fccde5
tax_id	204384	#fccde5
tax_id	47982	#fccde5
tax_id	2789654	#fccde5
tax_id	37510	#fccde5
tax_id	6136	#fccde5
species	Stylissa carteri	#ffff99
species	Amphimedon queenslandica	#ffff99
