sample_id	sp_type	data_type	path2results	genera	species	extra	tax_id	isolate	species	genus	subfamily	family	suborder	order	subclass	class	phylum	clade1	kingdom	clade	superkingdom	no rank
Acropora_acuminata_SLJPv1	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Acropora_acuminata_SLJPv1	Acropora	acuminata		367763	Acropora_acuminata_SLJPv1	Acropora acuminata	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_awi_SLJPv1	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Acropora_awi_SLJPv1	Acropora	awi		1929007	Acropora_awi_SLJPv1	Acropora awi	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_cytherea_SLJPv1	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Acropora_cytherea_SLJPv1	Acropora	cytherea		46686	Acropora_cytherea_SLJPv1	Acropora cytherea	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_digitifera_SLJPv2	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Acropora_digitifera_SLJPv2	Acropora	digitifera		70779	Acropora_digitifera_SLJPv2	Acropora digitifera	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_echinata_SLJPv1	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Acropora_echinata_SLJPv1	Acropora	echinata		513064	Acropora_echinata_SLJPv1	Acropora echinata	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_florida_SLJPv1	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Acropora_florida_SLJPv1	Acropora	florida		70782	Acropora_florida_SLJPv1	Acropora florida	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_gemmifera_SLJPv1	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Acropora_gemmifera_SLJPv1	Acropora	gemmifera		70780	Acropora_gemmifera_SLJPv1	Acropora gemmifera	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_hyacinthus_SLJPv1	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Acropora_hyacinthus_SLJPv1	Acropora	hyacinthus		55974	Acropora_hyacinthus_SLJPv1	Acropora hyacinthus	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_intermedia_SLJPv1	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Acropora_intermedia_SLJPv1	Acropora	intermedia		114500	Acropora_intermedia_SLJPv1	Acropora intermedia	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_microphthalma_SLJPv1	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Acropora_microphthalma_SLJPv1	Acropora	microphthalma		156436	Acropora_microphthalma_SLJPv1	Acropora microphthalma	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_millepora_JSIDv2.1	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Acropora_millepora_JSIDv2.1	Acropora	millepora		45264	Acropora_millepora_JSIDv2.1	Acropora millepora	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_muricata_SLJPv1	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Acropora_muricata_SLJPv1	Acropora	muricata		159855	Acropora_muricata_SLJPv1	Acropora muricata	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_nasuta_SLJPv1	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Acropora_nasuta_SLJPv1	Acropora	nasuta		70778	Acropora_nasuta_SLJPv1	Acropora nasuta	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_selago_SLJPv1	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Acropora_selago_SLJPv1	Acropora	selago		165727	Acropora_selago_SLJPv1	Acropora selago	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_tenuis_SLJPv1	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Acropora_tenuis_SLJPv1	Acropora	tenuis		70783	Acropora_tenuis_SLJPv1	Acropora tenuis	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_yongei_SLJPv1	coral	genome	../../../../0031_Coral_genomes/04_Results/2022-02-03/coral_genomes/Acropora_yongei_SLJPv1	Acropora	yongei		117778	Acropora_yongei_SLJPv1	Acropora yongei	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
