query	target	fident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue	bits	qlen	tlen	qtmscore	ttmscore	alntmscore	rmsd	prob	taxid	taxname	taxlineage
0.pdb	6b2o_F	0.307	322	197	6	96	411	47	348	5.387E-26	894	444	349	5.958E-01	7.488E-01	7.488E-01	4.879E+00	1.000	1590	Lactiplantibacillus plantarum	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Lactiplantibacillus;s_Lactiplantibacillus plantarum
0.pdb	6blp_J	0.302	341	206	10	85	417	35	351	2.172E-25	867	444	353	6.201E-01	7.700E-01	7.700E-01	4.051E+00	1.000	559292	Saccharomyces cerevisiae S288C	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Saccharomycotina;c_Saccharomycetes;o_Saccharomycetales;f_Saccharomycetaceae;g_Saccharomyces;s_Saccharomyces cerevisiae;-_Saccharomyces cerevisiae S288C
0.pdb	5b46_B	0.299	311	186	9	96	397	45	332	9.773E-24	813	444	332	5.778E-01	7.621E-01	7.621E-01	3.190E+00	1.000	273063	Sulfurisphaera tokodaii str. 7	-_cellular organisms;d_Archaea;-_TACK group;p_Thermoproteota;c_Thermoprotei;o_Sulfolobales;f_Sulfolobaceae;g_Sulfurisphaera;s_Sulfurisphaera tokodaii;-_Sulfurisphaera tokodaii str. 7
0.pdb	5b47_A	0.301	312	189	9	94	397	42	332	2.305E-23	805	444	332	5.966E-01	7.873E-01	7.873E-01	2.513E+00	1.000	273063	Sulfurisphaera tokodaii str. 7	-_cellular organisms;d_Archaea;-_TACK group;p_Thermoproteota;c_Thermoprotei;o_Sulfolobales;f_Sulfolobaceae;g_Sulfurisphaera;s_Sulfurisphaera tokodaii;-_Sulfurisphaera tokodaii str. 7
0.pdb	6h9o_B	0.307	306	180	10	94	389	50	333	1.278E-23	804	444	334	5.655E-01	7.404E-01	7.404E-01	3.335E+00	1.000	585035	Escherichia coli S88	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli;-_Escherichia coli S88
0.pdb	4ayd_B	0.310	258	161	4	96	352	30	271	2.191E-22	799	444	271	5.142E-01	8.287E-01	8.287E-01	2.539E+00	1.000	9606	Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens
0.pdb	6htg_D	0.192	333	232	14	96	404	56	375	2.916E-16	492	444	376	5.433E-01	6.319E-01	6.319E-01	6.527E+00	1.000	6183	Schistosoma mansoni	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Protostomia;-_Spiralia;-_Lophotrochozoa;p_Platyhelminthes;c_Trematoda;-_Digenea;o_Strigeidida;-_Schistosomatoidea;f_Schistosomatidae;g_Schistosoma;s_Schistosoma mansoni
0.pdb	6htg_C	0.192	333	230	15	96	404	56	373	7.254E-16	480	444	374	5.422E-01	6.341E-01	6.341E-01	6.491E+00	1.000	6183	Schistosoma mansoni	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Protostomia;-_Spiralia;-_Lophotrochozoa;p_Platyhelminthes;c_Trematoda;-_Digenea;o_Strigeidida;-_Schistosomatoidea;f_Schistosomatidae;g_Schistosoma;s_Schistosoma mansoni
0.pdb	8en5_F	0.142	260	192	12	96	351	93	325	9.069E-13	420	444	415	4.628E-01	4.928E-01	4.928E-01	3.203E+00	1.000	30538	Vicugna pacos	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Laurasiatheria;o_Artiodactyla;-_Tylopoda;f_Camelidae;g_Vicugna;s_Vicugna pacos
0.pdb	1hzd_C	0.130	261	184	13	96	339	65	299	9.069E-13	418	444	310	4.525E-01	6.372E-01	6.372E-01	3.426E+00	1.000	9606	Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens
