query	target	fident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue	bits	qlen	tlen	qtmscore	ttmscore	alntmscore	rmsd	prob	taxid	taxname	taxlineage
0.pdb	3jca_A	0.213	1309	497	12	13	1318	2	780	2.303E-47	1334	1330	780	3.548E-01	5.788E-01	5.788E-01	6.484E+01	1.000	11757	Mouse mammary tumor virus	d_Viruses;-_Riboviria;k_Pararnavirae;p_Artverviricota;c_Revtraviricetes;o_Ortervirales;f_Retroviridae;-_Orthoretrovirinae;g_Betaretrovirus;s_Mouse mammary tumor virus
0.pdb	3jc9_Tl	0.211	1310	498	15	13	1318	2	779	6.972E-47	1319	1330	779	3.532E-01	5.772E-01	5.772E-01	6.328E+01	1.000	246197	Myxococcus xanthus DK 1622	-_cellular organisms;d_Bacteria;p_Myxococcota;c_Myxococcia;o_Myxococcales;-_Cystobacterineae;f_Myxococcaceae;g_Myxococcus;s_Myxococcus xanthus;-_Myxococcus xanthus DK 1622
0.pdb	6b4v_MB	0.165	1309	210	8	13	1318	2	430	4.392E-31	1129	1330	432	2.926E-01	8.711E-01	8.711E-01	1.304E+01	1.000	262724	Thermus thermophilus HB27	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Deinococcota;c_Deinococci;o_Thermales;f_Thermaceae;g_Thermus;s_Thermus thermophilus;-_Thermus thermophilus HB27
0.pdb	6b4v_BB	0.164	1308	213	6	13	1318	2	431	1.405E-30	1127	1330	433	2.961E-01	8.702E-01	8.702E-01	1.629E+01	1.000	262724	Thermus thermophilus HB27	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Deinococcota;c_Deinococci;o_Thermales;f_Thermaceae;g_Thermus;s_Thermus thermophilus;-_Thermus thermophilus HB27
0.pdb	6b4v_LB	0.163	1309	212	7	13	1318	2	429	7.642E-31	1101	1330	432	2.854E-01	8.412E-01	8.412E-01	1.463E+01	1.000	262724	Thermus thermophilus HB27	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Deinococcota;c_Deinococci;o_Thermales;f_Thermaceae;g_Thermus;s_Thermus thermophilus;-_Thermus thermophilus HB27
0.pdb	6b4v_CB	0.156	1311	190	5	13	1320	2	399	1.070E-25	978	1330	400	2.810E-01	9.033E-01	9.033E-01	1.773E+01	1.000	262724	Thermus thermophilus HB27	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Deinococcota;c_Deinococci;o_Thermales;f_Thermaceae;g_Thermus;s_Thermus thermophilus;-_Thermus thermophilus HB27
0.pdb	4j3m_B	0.129	1442	865	65	11	1318	3	1187	1.070E-25	412	1330	1191	2.773E-01	3.046E-01	3.046E-01	1.107E+02	1.000	9606	Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens
0.pdb	1f14_A	0.132	1574	986	67	10	1317	2	1461	3.569E-28	337	1330	1467	1.790E-01	1.647E-01	1.647E-01	8.886E+01	1.000	9606	Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens
0.pdb	3ccr_N	0.281	181	128	1	598	778	2	180	1.976E-08	322	1330	181	1.205E-01	7.197E-01	7.197E-01	4.678E+00	1.000	2238	Haloarcula marismortui	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Halobacteriales;f_Haloarculaceae;g_Haloarcula;s_Haloarcula marismortui
0.pdb	3ccr_O	0.281	181	128	1	598	778	2	180	1.136E-08	282	1330	181	1.049E-01	5.384E-01	5.384E-01	7.361E+00	1.000	2238	Haloarcula marismortui	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Halobacteriales;f_Haloarculaceae;g_Haloarcula;s_Haloarcula marismortui
0.pdb	4i4r_D	0.186	209	145	11	13	213	2	193	3.875E-10	272	1330	351	1.222E-01	4.024E-01	4.024E-01	5.080E+00	1.000	36056	Boletus edulis	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Basidiomycota;-_Agaricomycotina;c_Agaricomycetes;-_Agaricomycetidae;o_Boletales;-_Boletineae;f_Boletaceae;-_Boletoideae;g_Boletus;s_Boletus edulis
0.pdb	4i4s_D	0.185	221	153	11	13	230	2	198	6.742E-10	261	1330	352	1.229E-01	4.030E-01	4.030E-01	6.950E+00	1.000	36056	Boletus edulis	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Basidiomycota;-_Agaricomycotina;c_Agaricomycetes;-_Agaricomycetidae;o_Boletales;-_Boletineae;f_Boletaceae;-_Boletoideae;g_Boletus;s_Boletus edulis
0.pdb	1fyd_B	0.173	208	149	10	13	213	2	193	1.728E-09	260	1330	355	1.234E-01	4.034E-01	4.034E-01	4.938E+00	1.000	1423	Bacillus subtilis	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Bacillota;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Bacillus;-_Bacillus subtilis group;s_Bacillus subtilis
0.pdb	2h1l_R	0.180	227	159	12	11	234	2	204	3.667E-10	259	1330	357	1.171E-01	3.852E-01	3.852E-01	8.863E+00	1.000	9606	Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens
0.pdb	1fyd_A	0.185	227	156	12	13	234	2	204	6.742E-10	254	1330	357	1.201E-01	3.875E-01	3.875E-01	8.361E+00	1.000	1423	Bacillus subtilis	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Bacillota;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Bacillus;-_Bacillus subtilis group;s_Bacillus subtilis
0.pdb	4i4s_B	0.169	206	149	11	13	213	2	190	6.899E-09	245	1330	352	1.206E-01	3.937E-01	3.937E-01	5.470E+00	1.000	36056	Boletus edulis	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Basidiomycota;-_Agaricomycotina;c_Agaricomycetes;-_Agaricomycetidae;o_Boletales;-_Boletineae;f_Boletaceae;-_Boletoideae;g_Boletus;s_Boletus edulis
0.pdb	5aad_A	0.167	215	145	12	11	223	2	184	3.105E-10	245	1330	365	1.121E-01	3.399E-01	3.399E-01	6.779E+00	1.000	9606	Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens
0.pdb	1g04_A	0.184	211	147	8	1110	1320	220	405	2.606E-08	232	1330	406	1.280E-01	3.826E-01	3.826E-01	4.282E+00	1.000	0	unclassified	unclassified
0.pdb	5eu4_A	0.194	231	147	12	13	237	2	199	2.845E-09	231	1330	320	1.063E-01	4.116E-01	4.116E-01	1.984E+01	1.000	9606	Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens
0.pdb	1g04_A	0.179	217	153	8	1104	1320	209	400	1.673E-08	227	1330	403	1.280E-01	3.753E-01	3.753E-01	5.019E+00	1.000	0	unclassified	unclassified
0.pdb	6fwk_B	0.120	1391	727	68	9	1285	3	1010	3.567E-16	227	1330	1028	1.912E-01	2.397E-01	2.397E-01	1.276E+02	1.000	559292	Saccharomyces cerevisiae S288C	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Saccharomycotina;c_Saccharomycetes;o_Saccharomycetales;f_Saccharomycetaceae;g_Saccharomyces;s_Saccharomyces cerevisiae;-_Saccharomyces cerevisiae S288C
0.pdb	5eu4_B	0.197	228	147	14	13	233	2	200	7.707E-09	222	1330	321	1.092E-01	4.156E-01	4.156E-01	1.866E+01	1.000	9606	Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens
