SampleID	Complete	Single-copy	Duplicated	Fragmented	Missing	Total
Acropora_hyacinthus_NANAv1	27.1	25.9	1.2	36.4	36.5	100
Acropora_muricata_XSCSv1	72.0	60.7	11.3	3.2	24.8	100
Astreopora_sp_REEFv1	69.8	59.0	10.8	11.4	18.8	100
Ctenactis_echinata_NAJPv1	71.2	70.8	0.4	16.7	12.1	100
Dipsastraea_lizardensis_NAJPv1	77.8	77.4	0.4	9.4	12.8	100
Favia_sp_REEFv1	42.4	35.8	6.6	25.3	32.3	100
Fungia_scutaria_REEFv1	87.3	86.7	0.6	8.9	3.8	100
Madracis_auretenra_REEFv1	70.9	63.0	7.9	17.1	12.0	100
Montastraea_cavernosa_REEFv1	81.4	78.3	3.1	11.0	7.6	100
Montastraea_faveolata_REEFv1	19.7	18.7	1.0	11.9	68.4	100
Montipora_aequituberculata_NANAv1	35.4	19.3	16.1	21.9	42.7	100
Montipora_foliosa_XSCSv1	55.6	49.7	5.9	4.8	39.6	100
Platygyra_carnosus_REEFv1	59.5	56.5	3.0	21.7	18.8	100
Pocillopora_damicornis_XSCSv1	65.2	58.4	6.8	2.5	32.3	100
Pocillopora_verrucosa_XSCSv1	66.6	60.6	6.0	3.0	30.4	100
Porites_astreoides_REEFv1	19.5	19.3	0.2	26.9	53.6	100
Porites_lobata_REEFv1	60.8	60.2	0.6	16.5	22.7	100
Pseudodiploria_strigosa_REEFv1	60.0	56.6	3.4	22.7	17.3	100
Seriatopora_hystrix_REEFv1	52.2	51.5	0.7	24.0	23.8	100
Alatina_alata_BNNLv1-TRANS	93.1	71.7	21.4	3.7	3.2	100
Anthopleura_elegantissima_REEFv1	61.0	58.0	3.0	23.2	15.8	100
Calvadosia_cruxmelitensis_CRGBv3.2-TRANS	87.6	66.1	21.5	7.1	5.3	100
Calvadosia_cruxmelitensis_NANAv1	76.8	70.0	6.8	10.2	13.0	100
Cassiopea_xamachana_T1-Av2	52.5	50.2	2.3	15.7	31.8	100
Cassiopea_xamachana_T1-Av2-TRANS	66.7	48.8	17.9	23.7	9.6	100
Corallium_rubrum_MRFRv1	91.6	82.4	9.2	1.4	7.0	100
Corynactis_australis_JBAUv1	79.7	76.5	3.2	6.9	13.4	100
Craterolophus_convolvulus_RYUSv1	49.9	38.2	11.7	27.6	22.5	100
Dynamena_pumila_WSRUv1	95.0	68.0	27.0	1.0	4.0	100
Gorgonia_ventalina_LRPRv1	73.1	65.9	7.2	13.7	13.2	100
Haliclystus_auricula_NANAv1	54.5	48.4	6.1	22.6	22.9	100
Haliclystus_sanjuanensis_SJUSv1	52.7	43.6	9.1	27.6	19.7	100
Hydra_oligactis_GNCHv1	89.8	84.7	5.1	4.0	6.2	100
Kudoa_iwatai_RSILv1	35.2	35.1	0.1	6.0	58.8	100
Lucernaria_quadricornis_AIUSv1	77.8	72.2	5.6	11.5	10.7	100
Millepora_alcicornis_PRUSv1	94.2	86.9	7.3	2.1	3.7	100
Millepora_complanata_PRUSv1	94.6	86.0	8.6	2.2	3.2	100
Millepora_sp_RR-2016_PRUSv1	93.4	83.1	10.3	2.9	3.7	100
Millepora_squarrosa_PRUSv1	95.2	84.3	10.9	1.6	3.2	100
Myxobolus_cerebralis_NANAv1	28.3	13.1	15.2	10.7	61.0	100
Myxobolus_pendula_ONCAv1	0.2	0.2	0.0	0.0	99.8	100
Pachycerianthus_borealis_NANAv1	27.2	22.7	4.5	22.7	50.1	100
Palythoa_variabilis_PCBRv1	81.7	70.3	11.4	8.3	10.0	100
Physalia_physalis_OKJPv1	83.7	65.9	17.8	6.7	9.6	100
Plexaura_homomalla_PRUSv1	88.1	73.1	15.0	4.0	7.9	100
Plexaura_kukenthali_PRUSv1	60.3	48.8	11.5	19.1	20.6	100
Podocoryna_carnea_NANAv1	97.1	9.6	87.5	1.5	1.4	100
Polypodium_hydriforme_OKUSv1	72.1	16.2	55.9	10.4	17.5	100
Porpita_porpita_YOJPv1	89.2	64.7	24.5	5.3	5.5	100
Rhodactis_indosinensis_NATWv1	66.3	65.5	0.8	6.6	27.1	100
Ricordea_yuma_NAAUv1	77.1	76.5	0.6	5.1	17.8	100
Tripedalia_cystophora_Conant1897_1897v1	85.5	15.8	69.7	2.3	12.2	100
Turritopsis_sp_SK-2016_TBJPv1	76.3	14.2	62.1	6.5	17.2	100
Velella_velella_OKJPv1	78.4	56.6	21.8	10.8	10.8	100
