orthogroup_id	no_sequences	no_species	avg_seq_length	representative_seqid	representative_seqid_length	num_representative_hits	is_best_representative_seq	best_strata	best_strata_taxa	best_strata_total_species	best_strata_species_in_OG	best_strata_species_in_OG_proportion_total	non.strata_taxa_in_analysis	non.strata_taxa_expectedHDF_false	non.strata_taxa_expectedHDF_ambiguous	non.strata_taxa_expectedHDF_true	non.strata_taxa_expectedHDF_false_proportion	non.strata_taxa_expectedHDF_ambiguous_proportion	non.strata_taxa_expectedHDF_true_proportion	strata_nonOG_taxa_in_analysis	strata_nonOG_taxa_expectedHDF_false	strata_nonOG_taxa_expectedHDF_ambiguous	strata_nonOG_taxa_expectedHDF_true	strata_nonOG_taxa_expectedHDF_false_proportion	strata_nonOG_taxa_expectedHDF_ambiguous_proportion	strata_nonOG_taxa_expectedHDF_true_proportion	designation
OG0009264	79	37	313.32	Fungia_spp_REEFv1___m4.12790.m1	312	79	yes	order	Scleractinia	59	37	62.71	61	5	1	55	8.19672	1.63934	90.1639	22	21	1	0	95.4545	4.54545	0	Dark-Restricted
OG0009452	75	30	191.72	Orbicella_faveolata_NAPAv1___XP_020609560.1	209	48	yes	order	Scleractinia	59	30	50.84	61	1	5	55	1.63934	8.19672	90.1639	29	6	22	1	20.6897	75.8621	3.44828	Dark-Restricted
OG0009748	69	35	77.19	Galaxea_fascicularis_REEFv1___m1.16892.m1	74	47	yes	order	Scleractinia	59	35	59.32	61	0	5	56	0	8.19672	91.8033	24	6	17	1	25	70.8333	4.16667	Dark-Restricted
OG0010106	63	38	91.02	Pseudodiploria_strigosa_REEFv1___21004	120	59	yes	order	Scleractinia	59	38	64.4	61	5	3	53	8.19672	4.91803	86.8852	21	20	1	0	95.2381	4.7619	0	Dark-Restricted
OG0010207	62	4	69.76	Porites_astreoides_BBBMv1___61168-RA	92	61	yes	order	Scleractinia	59	4	6.77	61	0	0	61	0	0	100	55	0	5	50	0	9.09091	90.9091	Dark-Restricted
OG0010388	58	49	405.47	Orbicella_faveolata_NAPAv1___XP_020608939.1	553	57	yes	order	Scleractinia	59	49	83.05	61	5	7	49	8.19672	11.4754	80.3279	10	10	0	0	100	0	0	Dark-Restricted
OG0010444	58	8	94.52	Porites_astreoides_BBBMv1___46584-RA	62	56	yes	order	Scleractinia	59	8	13.55	61	0	12	49	0	19.6721	80.3279	51	3	48	0	5.88235	94.1176	0	Dark-Restricted
OG0010549	56	27	85.82	Porites_compressa_KBHIv1___RNAseq.g17888.t1	73	56	yes	order	Scleractinia	59	27	45.76	61	0	6	55	0	9.83607	90.1639	32	5	27	0	15.625	84.375	0	Dark-Restricted
OG0010577	56	37	104.86	Porites_lobata_NAPFv3___00005224	224	56	yes	order	Scleractinia	59	37	62.71	61	1	5	55	1.63934	8.19672	90.1639	22	8	14	0	36.3636	63.6364	0	Dark-Restricted
OG0010702	54	28	93.83	Porites_lobata_NAPFv3___00046689	96	54	yes	order	Scleractinia	59	28	47.45	61	12	40	9	19.6721	65.5738	14.7541	31	31	0	0	100	0	0	Dark-Restricted
OG0010786	53	36	225.51	Pocillopora_damicornis_SIPAv1___00017901-RA	366	50	yes	order	Scleractinia	59	36	61.01	61	1	11	49	1.63934	18.0328	80.3279	23	9	14	0	39.1304	60.8696	0	Dark-Restricted
OG0011004	50	46	644.36	Pachyseris_speciosa_OIAUv0.12___0.1.m1.16475.m1	853	42	yes	order	Scleractinia	59	46	77.96	61	6	6	49	9.83607	9.83607	80.3279	13	13	0	0	100	0	0	Dark-Restricted
OG0011115	49	43	216.16	Acropora_digitifera_SLJPv2___s0005.g46.t1	313	43	yes	order	Scleractinia	59	43	72.88	61	0	12	49	0	19.6721	80.3279	16	6	10	0	37.5	62.5	0	Dark-Restricted
OG0011431	46	23	115.91	Pseudodiploria_strigosa_REEFv1___5535	100	32	yes	order	Scleractinia	59	23	38.98	61	2	10	49	3.27869	16.3934	80.3279	36	9	27	0	25	75	0	Dark-Restricted
OG0011449	45	45	279.67	Porites_lutea_OIAUv1.1___m8.23387.m1	310	45	yes	order	Scleractinia	59	45	76.27	61	2	5	54	3.27869	8.19672	88.5246	14	12	2	0	85.7143	14.2857	0	Dark-Restricted
OG0011454	45	40	288.09	Madracis_auretenra_REEFv1___58382	320	45	yes	order	Scleractinia	59	40	67.79	61	13	46	2	21.3115	75.4098	3.27869	19	19	0	0	100	0	0	Dark-Restricted
OG0011619	43	22	956.14	Platygyra_sinensis_SDTHv1___evm.model.contig_75380.5	101	43	yes	order	Scleractinia	59	22	37.28	61	6	6	49	9.83607	9.83607	80.3279	37	36	1	0	97.2973	2.7027	0	Dark-Restricted
OG0011622	43	24	74.63	Porites_lobata_NAPFv3___00007896	71	43	yes	order	Scleractinia	59	24	40.67	61	0	2	59	0	3.27869	96.7213	35	3	28	4	8.57143	80	11.4286	Dark-Restricted
OG0011823	41	36	135.76	Porites_astreoides_BBBMv1___40035-RA	279	41	yes	order	Scleractinia	59	36	61.01	61	0	0	61	0	0	100	23	0	2	21	0	8.69565	91.3043	Dark-Restricted
