SampleID	Complete	Single-copy	Duplicated	Fragmented	Missing	Total
Acropora_hyacinthus_NANAv1	25.1% (64)	23.5% (60)	1.6% (4)	43.1% (110)	31.8% (81)	100% (255)
Acropora_muricata_XSCSv1	73.7% (188)	63.1% (161)	10.6% (27)	3.9% (10)	22.4% (57)	100% (255)
Astreopora_sp_REEFv1	69.8% (178)	57.3% (146)	12.5% (32)	16.1% (41)	14.1% (36)	100% (255)
Ctenactis_echinata_NAJPv1	68.7% (175)	67.5% (172)	1.2% (3)	23.5% (60)	7.8% (20)	100% (255)
Dipsastraea_lizardensis_NAJPv1	75.3% (192)	74.5% (190)	0.8% (2)	11.4% (29)	13.3% (34)	100% (255)
Favia_sp_REEFv1	39.6% (101)	32.9% (84)	6.7% (17)	31.0% (79)	29.4% (75)	100% (255)
Fungia_scutaria_REEFv1	84.4% (215)	82.4% (210)	2.0% (5)	14.1% (36)	1.5% (4)	100% (255)
Madracis_auretenra_REEFv1	68.3% (174)	62.4% (159)	5.9% (15)	22.0% (56)	9.7% (25)	100% (255)
Montastraea_cavernosa_REEFv1	80.4% (205)	78.8% (201)	1.6% (4)	16.1% (41)	3.5% (9)	100% (255)
Montastraea_faveolata_REEFv1	14.5% (37)	14.1% (36)	0.4% (1)	16.1% (41)	69.4% (177)	100% (255)
Montipora_aequituberculata_NANAv1	34.5% (88)	20.0% (51)	14.5% (37)	25.1% (64)	40.4% (103)	100% (255)
Montipora_foliosa_XSCSv1	52.6% (134)	45.9% (117)	6.7% (17)	7.1% (18)	40.3% (103)	100% (255)
Platygyra_carnosus_REEFv1	65.9% (168)	59.2% (151)	6.7% (17)	22.4% (57)	11.7% (30)	100% (255)
Pocillopora_damicornis_XSCSv1	70.6% (180)	63.9% (163)	6.7% (17)	2.7% (7)	26.7% (68)	100% (255)
Pocillopora_verrucosa_XSCSv1	67.5% (172)	60.4% (154)	7.1% (18)	4.3% (11)	28.2% (72)	100% (255)
Porites_astreoides_REEFv1	14.1% (36)	14.1% (36)	0.0% (0)	34.5% (88)	51.4% (131)	100% (255)
Porites_lobata_REEFv1	56.1% (143)	54.9% (140)	1.2% (3)	19.6% (50)	24.3% (62)	100% (255)
Pseudodiploria_strigosa_REEFv1	50.2% (128)	49.4% (126)	0.8% (2)	31.8% (81)	18.0% (46)	100% (255)
Seriatopora_hystrix_REEFv1	47.1% (120)	45.9% (117)	1.2% (3)	33.7% (86)	19.2% (49)	100% (255)
