SampleID	Complete	Single-copy	Duplicated	Fragmented	Missing	Total
Acropora_acuminata_SLJPv1	85.5	84.7	0.8	9.4	5.1	100
Acropora_awi_SLJPv1	82.8	82.0	0.8	11.0	6.2	100
Acropora_cytherea_SLJPv1	87.9	86.7	1.2	7.1	5.0	100
Acropora_digitifera_SLJPv2	71.0	69.4	1.6	18.4	10.6	100
Acropora_echinata_SLJPv1	81.6	81.2	0.4	11.8	6.6	100
Acropora_florida_SLJPv1	87.5	86.3	1.2	6.3	6.2	100
Acropora_gemmifera_SLJPv1	82.0	81.6	0.4	9.4	8.6	100
Acropora_hyacinthus_SLJPv1	89.1	86.7	2.4	6.3	4.6	100
Acropora_intermedia_SLJPv1	82.4	81.2	1.2	9.4	8.2	100
Acropora_microphthalma_SLJPv1	82.8	81.2	1.6	11.0	6.2	100
Acropora_millepora_JSIDv2.1	97.3	92.2	5.1	1.2	1.5	100
Acropora_muricata_SLJPv1	87.1	85.1	2.0	9.8	3.1	100
Acropora_nasuta_SLJPv1	82.8	80.8	2.0	10.2	7.0	100
Acropora_selago_SLJPv1	80.4	79.6	0.8	11.4	8.2	100
Acropora_tenuis_SLJPv1	87.5	87.1	0.4	8.2	4.3	100
Acropora_yongei_SLJPv1	87.5	86.7	0.8	6.3	6.2	100
Astreopora_myriophthalma_SLJPv2	95.7	94.5	1.2	3.1	1.2	100
Fungia_spp_REEFv1	86.7	85.5	1.2	10.2	3.1	100
Galaxea_fascicularis_REEFv1	85.5	85.5	0.0	9.4	5.1	100
Goniastrea_aspera_REEFv1	86.7	86.3	0.4	9.0	4.3	100
Montastrea_cavernosa_FGUSv2	64.7	63.1	1.6	22.7	12.6	100
Montipora_cactus_SLJPv2	90.2	89.8	0.4	8.2	1.6	100
Montipora_capitata_KBHIv3	96.5	95.3	1.2	3.5	0.0	100
Montipora_capitata_WTHIv1.1	63.2	62.0	1.2	17.6	19.2	100
Montipora_efflorescens_SLJPv2	93.0	91.8	1.2	4.7	2.3	100
Orbicella_faveolata_NAPAv1	87.4	84.3	3.1	7.5	5.1	100
Pachyseris_speciosa_OIAUv0.12	86.7	84.7	2.0	9.8	3.5	100
Platygyra_sinensis_SDTHv1	67.1	60.0	7.1	22.0	10.9	100
Pocillopora_acuta_KBHIv2	97.2	93.3	3.9	2.0	0.8	100
Pocillopora_acuta_LBIDv1	65.9	65.5	0.4	20.8	13.3	100
Pocillopora_cf_effusa_NAPFv3	98.4	94.9	3.5	0.4	1.2	100
Pocillopora_damicornis_SIPAv1	86.3	85.9	0.4	9.0	4.7	100
Pocillopora_meandrina_KBHIv1	96.5	96.1	0.4	3.1	0.4	100
Pocillopora_verrucosa_RSSAv1	90.2	88.6	1.6	5.1	4.7	100
Porites_astreoides_BBBMv1	83.1	73.7	9.4	11.8	5.1	100
Porites_australiensis_SLJPv1	89.4	86.7	2.7	7.5	3.1	100
Porites_compressa_KBHIv1	96.9	94.9	2.0	2.4	0.7	100
Porites_evermanni_NAPFv1	94.5	82.7	11.8	3.9	1.6	100
Porites_lobata_NAPFv3	98.1	95.7	2.4	0.8	1.1	100
