SampleID	Complete	Single-copy	Duplicated	Fragmented	Missing	Total
Acropora_acuminata_SLJPv1	92.1% (879)	91.3% (871)	0.8% (8)	4.7% (45)	3.2% (30)	100% (954)
Acropora_awi_SLJPv1	88.2% (842)	87.9% (839)	0.3% (3)	6.8% (65)	5.0% (47)	100% (954)
Acropora_cytherea_SLJPv1	90.0% (859)	87.8% (838)	2.2% (21)	5.6% (53)	4.4% (42)	100% (954)
Acropora_digitifera_SLJPv2	92.5% (883)	92.2% (880)	0.3% (3)	3.8% (36)	3.7% (35)	100% (954)
Acropora_echinata_SLJPv1	87.5% (835)	87.3% (833)	0.2% (2)	7.2% (69)	5.3% (50)	100% (954)
Acropora_florida_SLJPv1	89.5% (853)	88.1% (840)	1.4% (13)	5.3% (51)	5.2% (50)	100% (954)
Acropora_gemmifera_SLJPv1	87.5% (835)	86.8% (828)	0.7% (7)	6.8% (65)	5.7% (54)	100% (954)
Acropora_hyacinthus_SLJPv1	91.9% (877)	89.1% (850)	2.8% (27)	4.0% (38)	4.1% (39)	100% (954)
Acropora_intermedia_SLJPv1	90.8% (866)	89.2% (851)	1.6% (15)	4.8% (46)	4.4% (42)	100% (954)
Acropora_microphthalma_SLJPv1	90.7% (865)	89.4% (853)	1.3% (12)	5.2% (50)	4.1% (39)	100% (954)
Acropora_millepora_JSIDv2.1	91.9% (876)	86.2% (822)	5.7% (54)	3.2% (31)	4.9% (47)	100% (954)
Acropora_muricata_SLJPv1	88.2% (841)	87.0% (830)	1.2% (11)	7.5% (72)	4.3% (41)	100% (954)
Acropora_nasuta_SLJPv1	91.2% (870)	89.0% (849)	2.2% (21)	4.2% (40)	4.6% (44)	100% (954)
Acropora_selago_SLJPv1	87.8% (837)	86.3% (823)	1.5% (14)	7.0% (67)	5.2% (50)	100% (954)
Acropora_tenuis_SLJPv1	92.0% (878)	91.4% (872)	0.6% (6)	4.1% (39)	3.9% (37)	100% (954)
Acropora_yongei_SLJPv1	90.5% (864)	89.7% (856)	0.8% (8)	5.0% (48)	4.5% (42)	100% (954)
Astreopora_myriophthalma_SLJPv2	93.7% (894)	92.7% (884)	1.0% (10)	3.2% (31)	3.1% (29)	100% (954)
Fungia_spp_REEFv1	90.0% (859)	89.4% (853)	0.6% (6)	5.8% (55)	4.2% (40)	100% (954)
Galaxea_fascicularis_REEFv1	89.6% (855)	89.2% (851)	0.4% (4)	6.0% (57)	4.4% (42)	100% (954)
Goniastrea_aspera_REEFv1	93.2% (890)	92.3% (881)	0.9% (9)	3.4% (32)	3.4% (32)	100% (954)
Montastrea_cavernosa_FGUSv2	80.6% (769)	77.9% (743)	2.7% (26)	8.0% (76)	11.4% (109)	100% (954)
