SampleID	Complete	Single-copy	Duplicated	Fragmented	Missing	Total
Acropora_acuminata_SLJPv1	92.1	91.3	0.8	4.7	3.2	100
Acropora_awi_SLJPv1	88.2	87.9	0.3	6.8	5.0	100
Acropora_cytherea_SLJPv1	90.0	87.8	2.2	5.6	4.4	100
Acropora_digitifera_SLJPv2	92.5	92.2	0.3	3.8	3.7	100
Acropora_echinata_SLJPv1	87.5	87.3	0.2	7.2	5.3	100
Acropora_florida_SLJPv1	89.5	88.1	1.4	5.3	5.2	100
Acropora_gemmifera_SLJPv1	87.5	86.8	0.7	6.8	5.7	100
Acropora_hyacinthus_SLJPv1	91.9	89.1	2.8	4.0	4.1	100
Acropora_intermedia_SLJPv1	90.8	89.2	1.6	4.8	4.4	100
Acropora_microphthalma_SLJPv1	90.7	89.4	1.3	5.2	4.1	100
Acropora_millepora_JSIDv2.1	91.9	86.2	5.7	3.2	4.9	100
Acropora_muricata_SLJPv1	88.2	87.0	1.2	7.5	4.3	100
Acropora_nasuta_SLJPv1	91.2	89.0	2.2	4.2	4.6	100
Acropora_selago_SLJPv1	87.8	86.3	1.5	7.0	5.2	100
Acropora_tenuis_SLJPv1	92.0	91.4	0.6	4.1	3.9	100
Acropora_yongei_SLJPv1	90.5	89.7	0.8	5.0	4.5	100
Astreopora_myriophthalma_SLJPv2	93.7	92.7	1.0	3.2	3.1	100
Fungia_spp_REEFv1	90.0	89.4	0.6	5.8	4.2	100
Galaxea_fascicularis_REEFv1	89.6	89.2	0.4	6.0	4.4	100
Goniastrea_aspera_REEFv1	93.2	92.3	0.9	3.4	3.4	100
Montastrea_cavernosa_FGUSv2	80.6	77.9	2.7	8.0	11.4	100
Montipora_cactus_SLJPv2	92.1	91.4	0.7	4.3	3.6	100
Montipora_capitata_KBHIv3	95.7	94.1	1.6	2.2	2.1	100
Montipora_capitata_WTHIv1.1	84.1	82.8	1.3	10.4	5.5	100
Montipora_efflorescens_SLJPv2	90.1	89.2	0.9	4.8	5.1	100
Orbicella_faveolata_NAPAv1	85.1	84.7	0.4	8.7	6.2	100
Pachyseris_speciosa_OIAUv0.12	95.2	92.0	3.2	1.6	3.2	100
Platygyra_sinensis_SDTHv1	80.8	62.8	18.0	10.4	8.8	100
Pocillopora_acuta_KBHIv2	96.1	93.6	2.5	1.9	2.0	100
Pocillopora_acuta_LBIDv1	89.4	89.0	0.4	6.9	3.7	100
Pocillopora_cf_effusa_NAPFv3	95.9	93.1	2.8	1.8	2.3	100
Pocillopora_damicornis_SIPAv1	90.7	90.5	0.2	4.2	5.1	100
Pocillopora_meandrina_KBHIv1	96.1	94.9	1.2	2.0	1.9	100
Pocillopora_verrucosa_RSSAv1	94.9	92.0	2.9	2.5	2.6	100
Porites_astreoides_BBBMv1	93.2	81.7	11.5	3.0	3.8	100
Porites_australiensis_SLJPv1	91.6	88.5	3.1	5.3	3.1	100
Porites_compressa_KBHIv1	95.5	93.7	1.8	2.3	2.2	100
Porites_evermanni_NAPFv1	93.9	82.9	11.0	2.5	3.6	100
Porites_lobata_NAPFv3	95.7	92.2	3.5	1.6	2.7	100
Porites_lutea_OIAUv1.1	95.3	93.5	1.8	2.1	2.6	100
Porites_rus_NAIDv1	69.6	67.2	2.4	17.5	12.9	100
Stylophora_pistillata_GAJOv1	92.5	91.6	0.9	4.6	2.9	100
Actinia_equina_RHUKv1	95.6	58.2	37.4	1.9	2.5	100
Alatina_alata_BNNLv1	19.1	17.6	1.5	37.9	43.0	100
Amphimedon_queenslandica_HIAUv1.1	88.6	82.5	6.1	3.9	7.5	100
Amplexidiscus_fenestrafer_MSMEv1	90.4	89.8	0.6	5.3	4.3	100
Aurelia_aurita_ALTOv1	73.2	72.6	0.6	14.9	11.9	100
Aurelia_aurita_RSPOv1	73.3	72.1	1.2	15.2	11.5	100
Calvadosia_cruxmelitensis_CRGBv3.2	63.1	62.2	0.9	22.6	14.3	100
Clytia_hemispaerica_NANAv1	83.1	81.2	1.9	8.9	8.0	100
Dendronephthya_gigantea_SJKRv1	88.5	79.4	9.1	5.6	5.9	100
Discosoma_sp_MSMEv1	90.8	88.5	2.3	5.2	4.0	100
Ephydatia_muelleri_BCCAv1	68.0	55.3	12.7	9.3	22.7	100
Exaiptasia_diaphana_CC7v1	91.7	88.9	2.8	4.6	3.7	100
Hoilungia_hongkongensis_HCHKv1	84.8	82.9	1.9	5.0	10.2	100
Hormiphora_californensis_MBUSv1	65.7	65.1	0.6	10.6	23.7	100
Hydractinia_echinata_NWAOv1	89.1	75.8	13.3	5.2	5.7	100
Hydractinia_symbiolongicarpus_NEAOv1	89.6	83.8	5.8	4.6	5.8	100
Hydra_viridissima_99AUv1	90.2	88.9	1.3	5.2	4.6	100
Hydra_vulgaris_MIJPv3	92.9	92.3	0.6	2.9	4.2	100
Mnemiopsis_leidyi_WHUSv2.2	68.2	67.5	0.7	10.5	21.3	100
