SampleID	Complete	Single-copy	Duplicated	Fragmented	Missing	Total
Acropora_acuminata_SLJPv1	85.5% (218)	84.7% (216)	0.8% (2)	9.4% (24)	5.1% (13)	100% (255)
Acropora_awi_SLJPv1	82.8% (211)	82.0% (209)	0.8% (2)	11.0% (28)	6.2% (16)	100% (255)
Acropora_cytherea_SLJPv1	87.9% (224)	86.7% (221)	1.2% (3)	7.1% (18)	5.0% (13)	100% (255)
Acropora_digitifera_SLJPv2	71.0% (181)	69.4% (177)	1.6% (4)	18.4% (47)	10.6% (27)	100% (255)
Acropora_echinata_SLJPv1	81.6% (208)	81.2% (207)	0.4% (1)	11.8% (30)	6.6% (17)	100% (255)
Acropora_florida_SLJPv1	87.5% (223)	86.3% (220)	1.2% (3)	6.3% (16)	6.2% (16)	100% (255)
Acropora_gemmifera_SLJPv1	82.0% (209)	81.6% (208)	0.4% (1)	9.4% (24)	8.6% (22)	100% (255)
Acropora_hyacinthus_SLJPv1	89.1% (227)	86.7% (221)	2.4% (6)	6.3% (16)	4.6% (12)	100% (255)
Acropora_intermedia_SLJPv1	82.4% (210)	81.2% (207)	1.2% (3)	9.4% (24)	8.2% (21)	100% (255)
Acropora_microphthalma_SLJPv1	82.8% (211)	81.2% (207)	1.6% (4)	11.0% (28)	6.2% (16)	100% (255)
Acropora_millepora_JSIDv2.1	97.3% (248)	92.2% (235)	5.1% (13)	1.2% (3)	1.5% (4)	100% (255)
Acropora_muricata_SLJPv1	87.1% (222)	85.1% (217)	2.0% (5)	9.8% (25)	3.1% (8)	100% (255)
Acropora_nasuta_SLJPv1	82.8% (211)	80.8% (206)	2.0% (5)	10.2% (26)	7.0% (18)	100% (255)
Acropora_selago_SLJPv1	80.4% (205)	79.6% (203)	0.8% (2)	11.4% (29)	8.2% (21)	100% (255)
Acropora_tenuis_SLJPv1	87.5% (223)	87.1% (222)	0.4% (1)	8.2% (21)	4.3% (11)	100% (255)
Acropora_yongei_SLJPv1	87.5% (223)	86.7% (221)	0.8% (2)	6.3% (16)	6.2% (16)	100% (255)
Astreopora_myriophthalma_SLJPv2	95.7% (244)	94.5% (241)	1.2% (3)	3.1% (8)	1.2% (3)	100% (255)
Fungia_spp_REEFv1	86.7% (221)	85.5% (218)	1.2% (3)	10.2% (26)	3.1% (8)	100% (255)
Galaxea_fascicularis_REEFv1	85.5% (218)	85.5% (218)	0.0% (0)	9.4% (24)	5.1% (13)	100% (255)
Goniastrea_aspera_REEFv1	86.7% (221)	86.3% (220)	0.4% (1)	9.0% (23)	4.3% (11)	100% (255)
Montastrea_cavernosa_FGUSv2	64.7% (165)	63.1% (161)	1.6% (4)	22.7% (58)	12.6% (32)	100% (255)
Montipora_cactus_SLJPv2	90.2% (230)	89.8% (229)	0.4% (1)	8.2% (21)	1.6% (4)	100% (255)
Montipora_capitata_KBHIv3	96.5% (246)	95.3% (243)	1.2% (3)	3.5% (9)	0.0% (0)	100% (255)
Montipora_capitata_WTHIv1.1	63.2% (161)	62.0% (158)	1.2% (3)	17.6% (45)	19.2% (49)	100% (255)
Montipora_efflorescens_SLJPv2	93.0% (237)	91.8% (234)	1.2% (3)	4.7% (12)	2.3% (6)	100% (255)
Orbicella_faveolata_NAPAv1	87.4% (223)	84.3% (215)	3.1% (8)	7.5% (19)	5.1% (13)	100% (255)
Pachyseris_speciosa_OIAUv0.12	86.7% (221)	84.7% (216)	2.0% (5)	9.8% (25)	3.5% (9)	100% (255)
Platygyra_sinensis_SDTHv1	67.1% (171)	60.0% (153)	7.1% (18)	22.0% (56)	10.9% (28)	100% (255)
Pocillopora_acuta_KBHIv2	97.2% (248)	93.3% (238)	3.9% (10)	2.0% (5)	0.8% (2)	100% (255)
Pocillopora_acuta_LBIDv1	65.9% (168)	65.5% (167)	0.4% (1)	20.8% (53)	13.3% (34)	100% (255)
Pocillopora_cf_effusa_NAPFv3	98.4% (251)	94.9% (242)	3.5% (9)	0.4% (1)	1.2% (3)	100% (255)
Pocillopora_damicornis_SIPAv1	86.3% (220)	85.9% (219)	0.4% (1)	9.0% (23)	4.7% (12)	100% (255)
Pocillopora_meandrina_KBHIv1	96.5% (246)	96.1% (245)	0.4% (1)	3.1% (8)	0.4% (1)	100% (255)
Pocillopora_verrucosa_RSSAv1	90.2% (230)	88.6% (226)	1.6% (4)	5.1% (13)	4.7% (12)	100% (255)
Porites_astreoides_BBBMv1	83.1% (212)	73.7% (188)	9.4% (24)	11.8% (30)	5.1% (13)	100% (255)
Porites_australiensis_SLJPv1	89.4% (228)	86.7% (221)	2.7% (7)	7.5% (19)	3.1% (8)	100% (255)
Porites_compressa_KBHIv1	96.9% (247)	94.9% (242)	2.0% (5)	2.4% (6)	0.7% (2)	100% (255)
Porites_evermanni_NAPFv1	94.5% (241)	82.7% (211)	11.8% (30)	3.9% (10)	1.6% (4)	100% (255)
Porites_lobata_NAPFv3	98.1% (250)	95.7% (244)	2.4% (6)	0.8% (2)	1.1% (3)	100% (255)
Porites_lutea_OIAUv1.1	92.2% (235)	91.0% (232)	1.2% (3)	4.3% (11)	3.5% (9)	100% (255)
Porites_rus_NAIDv1	59.6% (152)	58.0% (148)	1.6% (4)	25.1% (64)	15.3% (39)	100% (255)
Stylophora_pistillata_GAJOv1	85.9% (219)	85.5% (218)	0.4% (1)	9.4% (24)	4.7% (12)	100% (255)
Actinia_equina_RHUKv1	95.7% (244)	63.9% (163)	31.8% (81)	3.5% (9)	0.8% (2)	100% (255)
Alatina_alata_BNNLv1	8.6% (22)	8.6% (22)	0.0% (0)	21.2% (54)	70.2% (179)	100% (255)
Amphimedon_queenslandica_HIAUv1.1	94.5% (241)	89.4% (228)	5.1% (13)	3.5% (9)	2.0% (5)	100% (255)
Amplexidiscus_fenestrafer_MSMEv1	73.3% (187)	73.3% (187)	0.0% (0)	11.8% (30)	14.9% (38)	100% (255)
Aurelia_aurita_ALTOv1	75.7% (193)	74.5% (190)	1.2% (3)	15.7% (40)	8.6% (22)	100% (255)
Aurelia_aurita_RSPOv1	54.9% (140)	54.1% (138)	0.8% (2)	17.3% (44)	27.8% (71)	100% (255)
Calvadosia_cruxmelitensis_CRGBv3.2	52.2% (133)	50.2% (128)	2.0% (5)	17.6% (45)	30.2% (77)	100% (255)
Clytia_hemispaerica_NANAv1	84.7% (216)	83.9% (214)	0.8% (2)	3.9% (10)	11.4% (29)	100% (255)
Dendronephthya_gigantea_SJKRv1	98.1% (250)	86.3% (220)	11.8% (30)	0.4% (1)	1.5% (4)	100% (255)
Discosoma_sp_MSMEv1	68.7% (175)	67.1% (171)	1.6% (4)	14.1% (36)	17.2% (44)	100% (255)
