SampleID	Complete	Single-copy	Duplicated	Fragmented	Missing	Total
Acropora_acuminata_SLJPv1	85.7	84.9	0.8	6.4	7.9	100
Acropora_awi_SLJPv1	80.6	80.2	0.4	9.2	10.2	100
Acropora_cytherea_SLJPv1	84.0	81.8	2.2	6.9	9.1	100
Acropora_digitifera_SLJPv2	74.5	73.6	0.9	13.0	12.5	100
Acropora_echinata_SLJPv1	80.0	79.2	0.8	9.5	10.5	100
Acropora_florida_SLJPv1	82.8	80.7	2.1	7.2	10.0	100
Acropora_gemmifera_SLJPv1	79.0	78.1	0.9	9.4	11.6	100
Acropora_hyacinthus_SLJPv1	84.6	82.4	2.2	6.4	9.0	100
Acropora_intermedia_SLJPv1	83.2	81.1	2.1	8.2	8.6	100
Acropora_microphthalma_SLJPv1	82.3	81.0	1.3	8.3	9.4	100
Acropora_millepora_JSIDv2.1	96.5	90.0	6.5	0.8	2.7	100
Acropora_muricata_SLJPv1	82.0	80.3	1.7	8.5	9.5	100
Acropora_nasuta_SLJPv1	83.9	82.1	1.8	6.9	9.2	100
Acropora_selago_SLJPv1	79.5	78.2	1.3	9.6	10.9	100
Acropora_tenuis_SLJPv1	87.4	86.6	0.8	5.8	6.8	100
Acropora_yongei_SLJPv1	86.5	85.2	1.3	6.0	7.5	100
Astreopora_myriophthalma_SLJPv2	93.3	92.3	1.0	3.7	3.0	100
Fungia_spp_REEFv1	84.3	83.0	1.3	9.7	6.0	100
Galaxea_fascicularis_REEFv1	83.1	82.6	0.5	9.0	7.9	100
Goniastrea_aspera_REEFv1	85.4	84.4	1.0	7.9	6.7	100
Montastrea_cavernosa_FGUSv2	63.1	61.0	2.1	19.0	17.9	100
Montipora_cactus_SLJPv2	91.0	90.4	0.6	5.5	3.5	100
Montipora_capitata_KBHIv3	95.2	92.9	2.3	3.2	1.6	100
Montipora_capitata_WTHIv1.1	64.8	63.9	0.9	13.3	21.9	100
Montipora_efflorescens_SLJPv2	89.3	87.9	1.4	5.8	4.9	100
Orbicella_faveolata_NAPAv1	87.1	84.0	3.1	6.7	6.2	100
Pachyseris_speciosa_OIAUv0.12	86.0	83.5	2.5	6.4	7.6	100
Platygyra_sinensis_SDTHv1	67.8	59.4	8.4	17.1	15.1	100
Pocillopora_acuta_KBHIv2	96.7	93.9	2.8	2.0	1.3	100
Pocillopora_acuta_LBIDv1	67.1	66.5	0.6	16.4	16.5	100
Pocillopora_cf_effusa_NAPFv3	94.8	92.0	2.8	2.4	2.8	100
Pocillopora_damicornis_SIPAv1	87.9	87.7	0.2	5.7	6.4	100
Pocillopora_meandrina_KBHIv1	96.9	95.5	1.4	1.8	1.3	100
Pocillopora_verrucosa_RSSAv1	88.9	86.8	2.1	2.9	8.2	100
Porites_astreoides_BBBMv1	79.3	69.6	9.7	12.2	8.5	100
Porites_australiensis_SLJPv1	86.3	82.9	3.4	7.4	6.3	100
Porites_compressa_KBHIv1	95.8	93.4	2.4	2.0	2.2	100
Porites_evermanni_NAPFv1	93.2	80.6	12.6	2.7	4.1	100
Porites_lobata_NAPFv3	95.0	91.3	3.7	1.8	3.2	100
Porites_lutea_OIAUv1.1	91.7	89.6	2.1	4.1	4.2	100
Porites_rus_NAIDv1	62.4	60.7	1.7	19.9	17.7	100
Stylophora_pistillata_GAJOv1	87.3	86.9	0.4	5.2	7.5	100
Actinia_equina_RHUKv1	95.5	64.7	30.8	2.7	1.8	100
Alatina_alata_BNNLv1	9.0	8.6	0.4	15.5	75.5	100
Amphimedon_queenslandica_HIAUv1.1	90.6	84.5	6.1	2.8	6.6	100
Amplexidiscus_fenestrafer_MSMEv1	67.6	67.1	0.5	10.4	22.0	100
Aurelia_aurita_ALTOv1	74.9	73.9	1.0	13.3	11.8	100
Aurelia_aurita_RSPOv1	51.5	50.8	0.7	15.1	33.4	100
Calvadosia_cruxmelitensis_CRGBv3.2	53.9	52.2	1.7	17.8	28.3	100
Clytia_hemispaerica_NANAv1	76.1	74.9	1.2	5.7	18.2	100
Dendronephthya_gigantea_SJKRv1	94.3	84.7	9.6	0.8	4.9	100
Discosoma_sp_MSMEv1	66.0	64.6	1.4	10.2	23.8	100
Ephydatia_muelleri_BCCAv1	70.5	58.1	12.4	6.9	22.6	100
Exaiptasia_diaphana_CC7v1	86.8	79.9	6.9	6.5	6.7	100
Hoilungia_hongkongensis_HCHKv1	92.0	89.3	2.7	1.0	7.0	100
Hormiphora_californensis_MBUSv1	74.7	72.9	1.8	3.9	21.4	100
Hydractinia_echinata_NWAOv1	90.7	78.4	12.3	2.7	6.6	100
Hydractinia_symbiolongicarpus_NEAOv1	92.5	82.3	10.2	1.3	6.2	100
Hydra_viridissima_99AUv1	89.5	88.3	1.2	3.9	6.6	100
Hydra_vulgaris_MIJPv3	95.2	94.3	0.9	0.8	4.0	100
Mnemiopsis_leidyi_WHUSv2.2	73.9	73.2	0.7	5.1	21.0	100
Monosiga_brevicollis_CCBMv1	59.7	59.3	0.4	6.5	33.8	100
Morbakka_virulenta_ODJPv1	84.6	84.1	0.5	8.5	6.9	100
Nematostella_vectensis_RRUSv1	90.0	88.6	1.4	2.1	7.9	100
Paramuricea_clavata_CTESv1	79.9	78.2	1.7	11.6	8.5	100
Renilla_muelleri_FLUSv1	78.9	75.7	3.2	7.4	13.7	100
Renilla_reniformis_FLUSv1	5.7	5.5	0.2	6.3	88.0	100
Salpingoeca_rosetta_HIUSv1	66.1	65.5	0.6	6.9	27.0	100
Scolanthus_callimorphus_CRFRv1	85.9	68.9	17.0	7.5	6.6	100
Stylissa_carteri_RSSAv1	44.0	40.3	3.7	27.7	28.3	100
Thelohanellus_kitauei_TJCNv1	25.4	23.8	1.6	7.9	66.7	100
Trichoplax_adhaerens_RSSAv1	89.3	88.7	0.6	4.6	6.1	100
Trichoplax_sp_H2_CRPAv1	94.8	94.1	0.7	2.0	3.2	100
Xenia_sp_CTEAv1	86.9	83.9	3.0	4.8	8.3	100
Xestospongia_testudinaria_RSSAv1	64.6	60.5	4.1	11.6	23.8	100
