sequence_id	orthogroup_id	species_id	topAnnotation_sseqid	topAnnotation_evalue	topAnnotation_bitscore	topAnnotation_staxids	topAnnotation_title	topTaxon_sseqid	topTaxon_evalue	topTaxon_bitscore	topTaxon_staxids	topTaxon_title
Acropora_acuminata_SLJPv1___s1951.g1.t1	OG0010411	Acropora_acuminata_SLJPv1	NA	NA	NA	NA	NA	CAC5379922_1	0.000000642	64.3	42192	unnamed protein product [Mytilus coruscus]
Acropora_awi_SLJPv1___s0178.g22.t1	OG0010411	Acropora_awi_SLJPv1	NA	NA	NA	NA	NA	CAC5379922_1	0.000000064	67.4	42192	unnamed protein product [Mytilus coruscus]
Acropora_cytherea_SLJPv1___s0169.g13.t1	OG0010411	Acropora_cytherea_SLJPv1	NA	NA	NA	NA	NA	CAC5379922_1	0.0000000638	67	42192	unnamed protein product [Mytilus coruscus]
Acropora_cytherea_SLJPv1___s2354.g1.t1	OG0010411	Acropora_cytherea_SLJPv1	NA	NA	NA	NA	NA	CAC5379922_1	0.00000013	66.2	42192	unnamed protein product [Mytilus coruscus]
Acropora_digitifera_SLJPv2___s0007.g50.t1	OG0010411	Acropora_digitifera_SLJPv2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_florida_SLJPv1___s0080.g22.t1	OG0010411	Acropora_florida_SLJPv1	NA	NA	NA	NA	NA	CAC5379922_1	0.000000037	67.4	42192	unnamed protein product [Mytilus coruscus]
Acropora_gemmifera_SLJPv1___s1625.g1.t1	OG0010411	Acropora_gemmifera_SLJPv1	NA	NA	NA	NA	NA	CAC5379922_1	0.0000000392	65.1	42192	unnamed protein product [Mytilus coruscus]
Acropora_hyacinthus_SLJPv1___s0183.g27.t1	OG0010411	Acropora_hyacinthus_SLJPv1	NA	NA	NA	NA	NA	CAC5379922_1	0.000000152	66.2	42192	unnamed protein product [Mytilus coruscus]
Acropora_intermedia_SLJPv1___s0491.g4.t1	OG0010411	Acropora_intermedia_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_intermedia_SLJPv1___s4432.g1.t1	OG0010411	Acropora_intermedia_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_microphthalma_SLJPv1___s0115.g3.t1	OG0010411	Acropora_microphthalma_SLJPv1	NA	NA	NA	NA	NA	CAC5379922_1	0.000000114	66.6	42192	unnamed protein product [Mytilus coruscus]
Acropora_muricata_SLJPv1___s0046.g14.t1	OG0010411	Acropora_muricata_SLJPv1	NA	NA	NA	NA	NA	CAC5379922_1	0.000000114	66.6	42192	unnamed protein product [Mytilus coruscus]
Acropora_muricata_XSCSv1___transcript_HQ_E2_1_transcript5542_f2p0_2340_m.169	OG0010411	Acropora_muricata_XSCSv1	NA	NA	NA	NA	NA	CAC5379922_1	0.0000000199	68.9	42192	unnamed protein product [Mytilus coruscus]
Acropora_nasuta_SLJPv1___s0149.g27.t1	OG0010411	Acropora_nasuta_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_selago_SLJPv1___s0345.g8.t1	OG0010411	Acropora_selago_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_selago_SLJPv1___s2889.g1.t1	OG0010411	Acropora_selago_SLJPv1	NA	NA	NA	NA	NA	CAC5379922_1	0.0000000596	67	42192	unnamed protein product [Mytilus coruscus]
Acropora_tenuis_SLJPv1___s0114.g8.t1	OG0010411	Acropora_tenuis_SLJPv1	NA	NA	NA	NA	NA	CAC5379922_1	0.0000000642	67.4	42192	unnamed protein product [Mytilus coruscus]
Acropora_yongei_SLJPv1___s0044.g43.t1	OG0010411	Acropora_yongei_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Astreopora_sp_REEFv1___4304	OG0010411	Astreopora_sp_REEFv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Astreopora_sp_REEFv1___6276	OG0010411	Astreopora_sp_REEFv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dipsastraea_lizardensis_NAJPv1___GDZU01011198.1.p1	OG0010411	Dipsastraea_lizardensis_NAJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dipsastraea_lizardensis_NAJPv1___GDZU01014573.1.p1	OG0010411	Dipsastraea_lizardensis_NAJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Goniastrea_aspera_REEFv1___m1b.9603.m1	OG0010411	Goniastrea_aspera_REEFv1	NA	NA	NA	NA	NA	CAC5379922_1	0.0000000203	68.9	42192	unnamed protein product [Mytilus coruscus]
Montipora_aequituberculata_NANAv1___comp44829_c0_seq1	OG0010411	Montipora_aequituberculata_NANAv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Montipora_cactus_SLJPv2___sc0000188.g0010.t1	OG0010411	Montipora_cactus_SLJPv2	NA	NA	NA	NA	NA	CAC5379922_1	0.00000000633	70.5	42192	unnamed protein product [Mytilus coruscus]
Montipora_capitata_KBHIv3___RNAseq.g28084.t1	OG0010411	Montipora_capitata_KBHIv3	NA	NA	NA	NA	NA	CAC5379922_1	0.0000000113	69.7	42192	unnamed protein product [Mytilus coruscus]
Montipora_capitata_WTHIv1.1___g6727.t1	OG0010411	Montipora_capitata_WTHIv1.1	NA	NA	NA	NA	NA	CAC5379922_1	0.0000000113	69.7	42192	unnamed protein product [Mytilus coruscus]
Montipora_efflorescens_SLJPv2___sc0000023.g0084.t1	OG0010411	Montipora_efflorescens_SLJPv2	NA	NA	NA	NA	NA	CAC5379922_1	0.0000000113	69.7	42192	unnamed protein product [Mytilus coruscus]
Orbicella_faveolata_NAPAv1___XP_020630746.1	OG0010411	Orbicella_faveolata_NAPAv1	NA	NA	NA	NA	NA	CAC5379922_1	0.0000000857	67	42192	unnamed protein product [Mytilus coruscus]
Platygyra_sinensis_SDTHv1___evm.model.contig_19885.5	OG0010411	Platygyra_sinensis_SDTHv1	NA	NA	NA	NA	NA	CAC5379922_1	0.000000272	65.5	42192	unnamed protein product [Mytilus coruscus]
Porites_astreoides_BBBMv1___10695-RA	OG0010411	Porites_astreoides_BBBMv1	NA	NA	NA	NA	NA	CAC5379922_1	0.000001	63.2	42192	unnamed protein product [Mytilus coruscus]
Porites_astreoides_BBBMv1___10696-RA	OG0010411	Porites_astreoides_BBBMv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Porites_astreoides_BBBMv1___10697-RA	OG0010411	Porites_astreoides_BBBMv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Porites_astreoides_BBBMv1___10698-RA	OG0010411	Porites_astreoides_BBBMv1	NA	NA	NA	NA	NA	CAC5379922_1	0.0000061	58.5	42192	unnamed protein product [Mytilus coruscus]
Porites_astreoides_BBBMv1___10699-RA	OG0010411	Porites_astreoides_BBBMv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Porites_astreoides_BBBMv1___52547-RA	OG0010411	Porites_astreoides_BBBMv1	NA	NA	NA	NA	NA	CAC5379922_1	0.00000368	62.8	42192	unnamed protein product [Mytilus coruscus]
Porites_astreoides_BBBMv1___52548-RA	OG0010411	Porites_astreoides_BBBMv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Porites_astreoides_BBBMv1___52549-RA	OG0010411	Porites_astreoides_BBBMv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Porites_astreoides_BBBMv1___52550-RA	OG0010411	Porites_astreoides_BBBMv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Porites_australiensis_SLJPv1___s0142.g15.t1	OG0010411	Porites_australiensis_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Porites_australiensis_SLJPv1___s0142.g16.t1	OG0010411	Porites_australiensis_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Porites_australiensis_SLJPv1___s0142.g17.t1	OG0010411	Porites_australiensis_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Porites_compressa_KBHIv1___RNAseq.g35787.t1	OG0010411	Porites_compressa_KBHIv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Porites_compressa_KBHIv1___TS.g38023.t1	OG0010411	Porites_compressa_KBHIv1	NA	NA	NA	NA	NA	CAC5379922_1	0.0000000214	69.3	42192	unnamed protein product [Mytilus coruscus]
