query	target	fident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue	bits	qlen	tlen	qtmscore	ttmscore	alntmscore	rmsd	prob	taxid	taxname	taxlineage	qcovpct	tcovpct
proteins/Montipora_capitata_KBHIv3___RNAseq.21890_t.faa.colabfold/plots/0.pdb	4f15_C	0.177	118	56	8	143	259	1	78	4.953E-02	53	485	78	5.782E-02	2.996E-01	2.996E-01	1.622E+01	0.569	10090	Mus musculus	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;-_Glires;o_Rodentia;-_Myomorpha;-_Muroidea;f_Muridae;-_Murinae;g_Mus;-_Mus;s_Mus musculus	24.1237	100
proteins/Montipora_capitata_KBHIv3___RNAseq.3107_t.faa.colabfold/plots/0.pdb	4gye_B	0.257	128	88	1	32	159	2	122	3.684E-03	143	223	125	4.407E-01	7.587E-01	7.587E-01	7.168E+00	1.000	11676	Human immunodeficiency virus 1	d_Viruses;-_Riboviria;k_Pararnavirae;p_Artverviricota;c_Revtraviricetes;o_Ortervirales;f_Retroviridae;-_Orthoretrovirinae;g_Lentivirus;s_Human immunodeficiency virus 1	57.3991	96.8
proteins/Montipora_capitata_KBHIv3___RNAseq.32244_t.faa.colabfold/plots/0.pdb	2bxu_H	0.751	370	91	1	41	409	1	370	1.172E-58	2279	977	370	3.662E-01	9.572E-01	9.572E-01	3.843E+00	1.000	9606	Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens	37.7687	100
proteins/Montipora_capitata_KBHIv3___RNAseq.3408_t.faa.colabfold/plots/0.pdb	1dkm_A	0.622	297	107	2	13	309	1	292	6.440E-39	1628	310	294	9.179E-01	9.671E-01	9.671E-01	1.619E+00	1.000	562	Escherichia coli	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli	95.8065	99.3197
proteins/Montipora_capitata_KBHIv3___RNAseq.3837_t.faa.colabfold/plots/0.pdb	1fxy_A	0.899	2310	171	3	17	2325	2	2250	0.000E+00	12779	2325	2250	7.336E-01	7.557E-01	7.557E-01	1.964E+01	1.000	9606	Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens	99.3118	99.9556
proteins/Montipora_capitata_KBHIv3___RNAseq.6258_t.faa.colabfold/plots/0.pdb	4b19_A	0.110	235	183	9	156	386	5	217	2.030E-02	113	500	217	2.807E-01	5.434E-01	5.434E-01	1.088E+01	1.000	1280	Staphylococcus aureus	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Bacillota;c_Bacilli;o_Bacillales;f_Staphylococcaceae;g_Staphylococcus;s_Staphylococcus aureus	46.2	98.1567
proteins/Montipora_capitata_KBHIv3___RNAseq.g10748.t1.faa.colabfold/plots/0.pdb	5f8k_1F	0.622	114	43	0	12	125	2	115	4.934E-19	693	125	116	8.965E-01	9.652E-01	9.652E-01	8.534E-01	1.000	300852	Thermus thermophilus HB8	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Deinococcota;c_Deinococci;o_Thermales;f_Thermaceae;g_Thermus;s_Thermus thermophilus;-_Thermus thermophilus HB8	91.2	98.2759
proteins/Montipora_capitata_KBHIv3___RNAseq.g11106.t1a.faa.colabfold/plots/0.pdb	5i4l_d8	0.334	663	426	10	4	659	2	655	4.798E-33	1767	660	950	8.031E-01	5.800E-01	5.800E-01	5.026E+00	1.000	559292	Saccharomyces cerevisiae S288C	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Saccharomycotina;c_Saccharomycetes;o_Saccharomycetales;f_Saccharomycetaceae;g_Saccharomyces;s_Saccharomyces cerevisiae;-_Saccharomyces cerevisiae S288C	99.3939	68.8421
proteins/Montipora_capitata_KBHIv3___RNAseq.g11191.t1.faa.colabfold/plots/0.pdb	2c66_B	0.701	191	57	0	16	206	2	192	7.400E-32	1155	281	192	6.652E-01	9.677E-01	9.677E-01	1.150E+00	1.000	9606	Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens	67.9715	99.4792
proteins/Montipora_capitata_KBHIv3___RNAseq.g11219.t1.faa.colabfold/plots/0.pdb	7fml_B	0.450	564	276	4	1	560	1	534	2.820E-58	2714	562	534	9.273E-01	9.754E-01	9.754E-01	1.435E+00	1.000	559292	Saccharomyces cerevisiae S288C	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Saccharomycotina;c_Saccharomycetes;o_Saccharomycetales;f_Saccharomycetaceae;g_Saccharomyces;s_Saccharomyces cerevisiae;-_Saccharomyces cerevisiae S288C	99.6441	100
proteins/Montipora_capitata_KBHIv3___RNAseq.g11723.t1.faa.colabfold/plots/0.pdb	4bks_E	0.558	858	337	12	1	850	55	878	5.681E-80	3960	850	963	9.345E-01	8.260E-01	8.260E-01	2.267E+00	1.000	9606	Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens	100	85.5659
proteins/Montipora_capitata_KBHIv3___RNAseq.g11930.t1.faa.colabfold/plots/0.pdb	5jb9_E	0.542	317	121	2	25	341	2	294	5.007E-33	1175	341	295	8.013E-01	9.209E-01	9.209E-01	3.361E+00	1.000	9606	Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens	92.9619	99.322
proteins/Montipora_capitata_KBHIv3___RNAseq.g12143.t1.faa.colabfold/plots/0.pdb	8dao_H	0.660	324	106	1	1	320	1	324	4.820E-41	1610	321	329	9.056E-01	8.846E-01	8.846E-01	3.174E+00	1.000	9606	Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens	99.6885	98.4802
proteins/Montipora_capitata_KBHIv3___RNAseq.g12804.t1.faa.colabfold/plots/0.pdb	4jfw_A	0.361	407	225	10	60	455	7	389	1.842E-39	1331	456	400	7.411E-01	8.403E-01	8.403E-01	4.133E+00	1.000	226186	Bacteroides thetaiotaomicron VPI-5482	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidota/Chlorobiota group;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides thetaiotaomicron;-_Bacteroides thetaiotaomicron VPI-5482	86.8421	95.75
proteins/Montipora_capitata_KBHIv3___RNAseq.g13168.t1.faa.colabfold/plots/0.pdb	8ekb_2Q	0.803	153	30	0	44	196	40	192	1.465E-25	877	196	192	7.417E-01	7.567E-01	7.567E-01	1.722E+00	1.000	300852	Thermus thermophilus HB8	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Deinococcota;c_Deinococci;o_Thermales;f_Thermaceae;g_Thermus;s_Thermus thermophilus;-_Thermus thermophilus HB8	78.0612	79.6875
proteins/Montipora_capitata_KBHIv3___RNAseq.g13393.t1.faa.colabfold/plots/0.pdb	4fkx_A	0.594	195	74	2	1	190	1	195	1.556E-21	888	190	195	9.604E-01	9.365E-01	9.365E-01	1.268E+00	1.000	999953	Trypanosoma brucei brucei TREU927	-_cellular organisms;d_Eukaryota;-_Discoba;p_Euglenozoa;c_Kinetoplastea;-_Metakinetoplastina;o_Trypanosomatida;f_Trypanosomatidae;g_Trypanosoma;-_Trypanozoon;s_Trypanosoma brucei;-_Trypanosoma brucei brucei;-_Trypanosoma brucei brucei TREU927	100	100
