sequence_id	orthogroup_id	species_id	topAnnotation_sseqid	topAnnotation_evalue	topAnnotation_bitscore	topAnnotation_staxids	topAnnotation_title	topTaxon_sseqid	topTaxon_evalue	topTaxon_bitscore	topTaxon_staxids	topTaxon_title
Acropora_acuminata_SLJPv1___s0011.g147.t1	OG0004215	Acropora_acuminata_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_acuminata_SLJPv1___s0011.g148.t1	OG0004215	Acropora_acuminata_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_awi_SLJPv1___s0003.g182.t1	OG0004215	Acropora_awi_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_awi_SLJPv1___s0003.g183.t1	OG0004215	Acropora_awi_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_awi_SLJPv1___s0003.g184.t1	OG0004215	Acropora_awi_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_cytherea_SLJPv1___s0002.g231.t1	OG0004215	Acropora_cytherea_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_cytherea_SLJPv1___s0002.g232.t1	OG0004215	Acropora_cytherea_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_cytherea_SLJPv1___s0002.g233.t1	OG0004215	Acropora_cytherea_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_digitifera_SLJPv2___s0084.g19.t1	OG0004215	Acropora_digitifera_SLJPv2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_digitifera_SLJPv2___s0084.g20.t1	OG0004215	Acropora_digitifera_SLJPv2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_digitifera_SLJPv2___s0084.g21.t1	OG0004215	Acropora_digitifera_SLJPv2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_digitifera_SLJPv2___s0084.g24.t1	OG0004215	Acropora_digitifera_SLJPv2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_echinata_SLJPv1___s0027.g21.t1	OG0004215	Acropora_echinata_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_echinata_SLJPv1___s0027.g22.t1	OG0004215	Acropora_echinata_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_echinata_SLJPv1___s0027.g23.t1	OG0004215	Acropora_echinata_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_florida_SLJPv1___s0110.g32.t1	OG0004215	Acropora_florida_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_florida_SLJPv1___s0110.g33.t1	OG0004215	Acropora_florida_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_gemmifera_SLJPv1___s0021.g76.t1	OG0004215	Acropora_gemmifera_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_gemmifera_SLJPv1___s0021.g77.t1	OG0004215	Acropora_gemmifera_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_hyacinthus_NANAv1___isotig04579	OG0004215	Acropora_hyacinthus_NANAv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_hyacinthus_NANAv1___isotig05755	OG0004215	Acropora_hyacinthus_NANAv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_hyacinthus_SLJPv1___s0040.g69.t1	OG0004215	Acropora_hyacinthus_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_hyacinthus_SLJPv1___s0040.g70.t1	OG0004215	Acropora_hyacinthus_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_hyacinthus_SLJPv1___s0040.g71.t1	OG0004215	Acropora_hyacinthus_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_intermedia_SLJPv1___s0171.g10.t1	OG0004215	Acropora_intermedia_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_intermedia_SLJPv1___s0171.g11.t1	OG0004215	Acropora_intermedia_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_microphthalma_SLJPv1___s0046.g66.t1	OG0004215	Acropora_microphthalma_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_microphthalma_SLJPv1___s0046.g67.t1	OG0004215	Acropora_microphthalma_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_microphthalma_SLJPv1___s0046.g68.t1	OG0004215	Acropora_microphthalma_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_millepora_JSIDv2.1___XP_029210678.1	OG0004215	Acropora_millepora_JSIDv2.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_muricata_SLJPv1___s0028.g77.t1	OG0004215	Acropora_muricata_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_muricata_SLJPv1___s0028.g78.t1	OG0004215	Acropora_muricata_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_muricata_SLJPv1___s0028.g79.t1	OG0004215	Acropora_muricata_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_muricata_XSCSv1___transcript_HQ_E2_1_transcript26617_f3p0_1055_m.1281	OG0004215	Acropora_muricata_XSCSv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_nasuta_SLJPv1___s0061.g71.t1	OG0004215	Acropora_nasuta_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_nasuta_SLJPv1___s0061.g72.t1	OG0004215	Acropora_nasuta_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_nasuta_SLJPv1___s0061.g73.t1	OG0004215	Acropora_nasuta_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_selago_SLJPv1___s0013.g24.t1	OG0004215	Acropora_selago_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_selago_SLJPv1___s0013.g25.t1	OG0004215	Acropora_selago_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_tenuis_SLJPv1___s0068.g45.t1	OG0004215	Acropora_tenuis_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_tenuis_SLJPv1___s0068.g46.t1	OG0004215	Acropora_tenuis_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_tenuis_SLJPv1___s0068.g47.t1	OG0004215	Acropora_tenuis_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_yongei_SLJPv1___s0092.g58.t1	OG0004215	Acropora_yongei_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_yongei_SLJPv1___s0092.g59.t1	OG0004215	Acropora_yongei_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acropora_yongei_SLJPv1___s0092.g60.t1	OG0004215	Acropora_yongei_SLJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Actinia_equina_RHUKv1___evm.utg4886.19	OG0004215	Actinia_equina_RHUKv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Actinia_equina_RHUKv1___evm.utg4886.20	OG0004215	Actinia_equina_RHUKv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Actinia_equina_RHUKv1___evm.utg4886.22	OG0004215	Actinia_equina_RHUKv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Actinia_equina_RHUKv1___evm.utg4886.23	OG0004215	Actinia_equina_RHUKv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amplexidiscus_fenestrafer_MSMEv1___evm.model.scaffold_132.31	OG0004215	Amplexidiscus_fenestrafer_MSMEv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amplexidiscus_fenestrafer_MSMEv1___evm.model.scaffold_175.2	OG0004215	Amplexidiscus_fenestrafer_MSMEv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Anthopleura_elegantissima_REEFv1___3487	OG0004215	Anthopleura_elegantissima_REEFv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Anthopleura_elegantissima_REEFv1___41558	OG0004215	Anthopleura_elegantissima_REEFv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Anthopleura_elegantissima_REEFv1___54116	OG0004215	Anthopleura_elegantissima_REEFv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Astreopora_myriophthalma_SLJPv2___sc0000178.g0048.t1	OG0004215	Astreopora_myriophthalma_SLJPv2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Astreopora_myriophthalma_SLJPv2___sc0000178.g0049.t1	OG0004215	Astreopora_myriophthalma_SLJPv2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Astreopora_sp_REEFv1___17716	OG0004215	Astreopora_sp_REEFv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Astreopora_sp_REEFv1___3203	OG0004215	Astreopora_sp_REEFv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Astreopora_sp_REEFv1___33029	OG0004215	Astreopora_sp_REEFv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Corynactis_australis_JBAUv1___GELM01036185.1.p1	OG0004215	Corynactis_australis_JBAUv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Corynactis_australis_JBAUv1___GELM01051615.1.p2	OG0004215	Corynactis_australis_JBAUv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Corynactis_australis_JBAUv1___GELM01057830.1.p1	OG0004215	Corynactis_australis_JBAUv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Corynactis_australis_JBAUv1___GELM01058334.1.p1	OG0004215	Corynactis_australis_JBAUv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dipsastraea_lizardensis_NAJPv1___GDZU01015100.1.p1	OG0004215	Dipsastraea_lizardensis_NAJPv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Discosoma_sp_MSMEv1___evm.model.scaffold_88.15	OG0004215	Discosoma_sp_MSMEv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Discosoma_sp_MSMEv1___evm.model.scaffold_88.16	OG0004215	Discosoma_sp_MSMEv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Exaiptasia_diaphana_CC7v1___AIPGENE11651	OG0004215	Exaiptasia_diaphana_CC7v1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Exaiptasia_diaphana_CC7v1___AIPGENE11690	OG0004215	Exaiptasia_diaphana_CC7v1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Favia_sp_REEFv1___30722	OG0004215	Favia_sp_REEFv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fungia_scutaria_REEFv1___66003	OG0004215	Fungia_scutaria_REEFv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fungia_scutaria_REEFv1___71492	OG0004215	Fungia_scutaria_REEFv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fungia_spp_REEFv1___m2b.37466.m1	OG0004215	Fungia_spp_REEFv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fungia_spp_REEFv1___m4.29836.m1	OG0004215	Fungia_spp_REEFv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Galaxea_fascicularis_REEFv1___m1.13179.m1	OG0004215	Galaxea_fascicularis_REEFv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Galaxea_fascicularis_REEFv1___m1.13180.m1	OG0004215	Galaxea_fascicularis_REEFv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Goniastrea_aspera_REEFv1___m1b.19175.m1	OG0004215	Goniastrea_aspera_REEFv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Goniastrea_aspera_REEFv1___m3.14328.m1	OG0004215	Goniastrea_aspera_REEFv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Goniastrea_aspera_REEFv1___m3.14329.m1	OG0004215	Goniastrea_aspera_REEFv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Madracis_auretenra_REEFv1___30089	OG0004215	Madracis_auretenra_REEFv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Madracis_auretenra_REEFv1___35466	OG0004215	Madracis_auretenra_REEFv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Madracis_auretenra_REEFv1___44548	OG0004215	Madracis_auretenra_REEFv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Madracis_auretenra_REEFv1___6015	OG0004215	Madracis_auretenra_REEFv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Montastraea_cavernosa_REEFv1___108576	OG0004215	Montastraea_cavernosa_REEFv1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
