orthogroup_id	species_id	sequence_id
OG0009575	Acropora_acuminata_SLJPv1	Acropora_acuminata_SLJPv1___s1497.g1.t1
OG0009575	Acropora_awi_SLJPv1	Acropora_awi_SLJPv1___s0020.g168.t2
OG0009575	Acropora_cytherea_SLJPv1	Acropora_cytherea_SLJPv1___s0293.g28.t2
OG0009575	Acropora_digitifera_SLJPv2	Acropora_digitifera_SLJPv2___s0155.g41.t1
OG0009575	Acropora_echinata_SLJPv1	Acropora_echinata_SLJPv1___s0002.g378.t1
OG0009575	Acropora_florida_SLJPv1	Acropora_florida_SLJPv1___s0154.g28.t3
OG0009575	Acropora_gemmifera_SLJPv1	Acropora_gemmifera_SLJPv1___s0521.g3.t3
OG0009575	Acropora_gemmifera_SLJPv1	Acropora_gemmifera_SLJPv1___s2014.g1.t1
OG0009575	Acropora_hyacinthus_NANAv1	Acropora_hyacinthus_NANAv1___isotig07517
OG0009575	Acropora_hyacinthus_SLJPv1	Acropora_hyacinthus_SLJPv1___s0011.g146.t1
OG0009575	Acropora_intermedia_SLJPv1	Acropora_intermedia_SLJPv1___s0026.g76.t1
OG0009575	Acropora_microphthalma_SLJPv1	Acropora_microphthalma_SLJPv1___s0004.g135.t1
OG0009575	Acropora_millepora_JSIDv2.1	Acropora_millepora_JSIDv2.1___XP_029182725.2
OG0009575	Acropora_muricata_SLJPv1	Acropora_muricata_SLJPv1___s3450.g1.t1
OG0009575	Acropora_muricata_XSCSv1	Acropora_muricata_XSCSv1___transcript_HQ_E2_1_transcript3155_f8p0_2678_m.736
OG0009575	Acropora_nasuta_SLJPv1	Acropora_nasuta_SLJPv1___s0586.g5.t1
OG0009575	Acropora_selago_SLJPv1	Acropora_selago_SLJPv1___s0340.g1.t1
OG0009575	Acropora_tenuis_SLJPv1	Acropora_tenuis_SLJPv1___s0168.g28.t1
OG0009575	Acropora_yongei_SLJPv1	Acropora_yongei_SLJPv1___s0181.g31.t1
OG0009575	Actinia_equina_RHUKv1	Actinia_equina_RHUKv1___evm.utg320.53
