orthogroup_id	no_sequences	no_species	avg_seq_length	representative_seqid	representative_seqid_length	num_representative_hits	is_best_representative_seq	best_strata	best_strata_taxa	best_strata_total_species	best_strata_species_in_OG	best_strata_species_in_OG_proportion_total	non-strata_taxa_in_analysis	non-strata_taxa_expectedHDF_false	non-strata_taxa_expectedHDF_ambiguous	non-strata_taxa_expectedHDF_true	non-strata_taxa_expectedHDF_false_proportion	non-strata_taxa_expectedHDF_ambiguous_proportion	non-strata_taxa_expectedHDF_true_proportion	strata_nonOG_taxa_in_analysis	strata_nonOG_taxa_expectedHDF_false	strata_nonOG_taxa_expectedHDF_ambiguous	strata_nonOG_taxa_expectedHDF_true	strata_nonOG_taxa_expectedHDF_false_proportion	strata_nonOG_taxa_expectedHDF_ambiguous_proportion	strata_nonOG_taxa_expectedHDF_true_proportion	designation
OG0000000	34297	118	426.13	Ephydatia_muelleri_BCCAv1___Em0018g869a.t1	2601	21412	yes	clade	Opisthokonta	129	118	91.4700	0	0	0	0	NA	NA	NA	2	2	0	0	100	0	0	Light-Shared
OG0000100	2320	93	505.10	Acropora_yongei_SLJPv1___s0020.g261.t2	1648	2001	yes	kingdom	Metazoa	127	93	73.2200	2	2	0	0	100	0	0	25	23	2	0	92	8	0	Light-Shared
OG0000200	1543	92	379.76	Astreopora_myriophthalma_SLJPv2___sc0000194.g0036.t1	2428	1407	yes	clade1	Eumetazoa	123	92	74.7900	6	0	0	6	0	0	100	22	9	8	5	40.9091	36.3636	22.7273	Light-Shared
OG0000300	1149	120	201.12	Porites_lutea_OIAUv1.1___m8.29568.m1	519	1075	yes	clade	Opisthokonta	129	120	93.0200	0	0	0	0	NA	NA	NA	0	0	0	0	NA	NA	NA	Light-Shared
OG0000400	896	115	280.51	Hydractinia_symbiolongicarpus_NEAOv1___0014.154	2438	828	yes	clade	Opisthokonta	129	115	89.1400	0	0	0	0	NA	NA	NA	5	1	3	1	20	60	20	Light-Shared
OG0000500	769	120	478.38	Porites_compressa_KBHIv1___RNAseq.g40177.t1	1440	730	yes	clade	Opisthokonta	129	120	93.0200	0	0	0	0	NA	NA	NA	0	0	0	0	NA	NA	NA	Light-Shared
OG0000600	665	101	198.69	Goniastrea_aspera_REEFv1___m3.16102.m1	656	621	yes	clade	Opisthokonta	129	101	78.2900	0	0	0	0	NA	NA	NA	19	1	9	9	5.26316	47.3684	47.3684	Light-Shared
OG0000700	582	120	256.74	Discosoma_sp_MSMEv1___evm.model.scaffold_1047.2	620	540	yes	clade	Opisthokonta	129	120	93.0200	0	0	0	0	NA	NA	NA	0	0	0	0	NA	NA	NA	Light-Shared
OG0000800	531	101	159.54	Pocillopora_acuta_KBHIv2___TS.g29461.t1	179	514	yes	clade1	Eumetazoa	123	101	82.1100	6	1	5	0	16.6667	83.3333	0	13	9	4	0	69.2308	30.7692	0	Light-Shared
OG0000900	481	117	513.66	Stylophora_pistillata_GAJOv1___7878	1535	446	yes	kingdom	Metazoa	127	117	92.1200	2	2	0	0	100	0	0	1	1	0	0	100	0	0	Light-Shared
OG0001000	443	115	462.27	Pocillopora_cf_effusa_NAPFv3___00009622	2425	439	yes	clade	Opisthokonta	129	115	89.1400	0	0	0	0	NA	NA	NA	5	5	0	0	100	0	0	Light-Shared
OG0001100	412	118	216.75	Polypodium_hydriforme_OKUSv1___GBGH01022981.1.p1	246	411	yes	clade	Opisthokonta	129	118	91.4700	0	0	0	0	NA	NA	NA	2	2	0	0	100	0	0	Light-Shared
OG0001200	384	115	530.15	Montipora_capitata_KBHIv3___TS.g7314.t2	1511	379	yes	clade	Opisthokonta	129	115	89.1400	0	0	0	0	NA	NA	NA	5	5	0	0	100	0	0	Light-Shared
OG0001300	363	109	357.64	Xestospongia_testudinaria_RSSAv1___augustus_masked-XT_scaffold178641-processed-gene-0.7-mRNA-1	501	347	yes	clade	Opisthokonta	129	109	84.4900	0	0	0	0	NA	NA	NA	11	11	0	0	100	0	0	Light-Shared
OG0001400	345	115	389.96	Scolanthus_callimorphus_CRFRv1___14478.1	642	344	yes	clade	Opisthokonta	129	115	89.1400	0	0	0	0	NA	NA	NA	5	5	0	0	100	0	0	Light-Shared
OG0001500	329	120	255.53	Haliclystus_auricula_NANAv1___HAHA01037001.1.p1	108	329	yes	clade	Opisthokonta	129	120	93.0200	0	0	0	0	NA	NA	NA	0	0	0	0	NA	NA	NA	Light-Shared
OG0001600	315	116	430.30	Millepora_squarrosa_PRUSv1___GFGU01171967.1.p1	860	311	yes	clade	Opisthokonta	129	116	89.9200	0	0	0	0	NA	NA	NA	4	4	0	0	100	0	0	Light-Shared
OG0001700	301	114	440.38	Porites_lutea_OIAUv1.1___m8.2330.m1	78	279	yes	kingdom	Metazoa	127	114	89.7600	2	2	0	0	100	0	0	4	4	0	0	100	0	0	Light-Shared
OG0001800	289	105	398.47	Goniastrea_aspera_REEFv1___m3.1302.m1	1534	288	yes	kingdom	Metazoa	127	105	82.6700	2	2	0	0	100	0	0	13	13	0	0	100	0	0	Light-Shared
OG0001900	279	119	204.22	Dynamena_pumila_WSRUv1___GHMC01000868.1.p1	222	144	yes	clade	Opisthokonta	129	119	92.2400	0	0	0	0	NA	NA	NA	1	1	0	0	100	0	0	Light-Shared
OG0002000	269	116	776.80	Acropora_intermedia_SLJPv1___s0069.g100.t1	2549	257	yes	clade	Opisthokonta	129	116	89.9200	0	0	0	0	NA	NA	NA	4	4	0	0	100	0	0	Light-Shared
OG0002100	259	114	671.93	Acropora_cytherea_SLJPv1___s0271.g8.t4	1664	258	yes	clade	Opisthokonta	129	114	88.3700	0	0	0	0	NA	NA	NA	6	6	0	0	100	0	0	Light-Shared
OG0002200	251	111	462.03	Discosoma_sp_MSMEv1___evm.model.scaffold_87.40	1412	249	yes	clade	Opisthokonta	129	111	86.0400	0	0	0	0	NA	NA	NA	9	9	0	0	100	0	0	Light-Shared
