SampleID	Complete	Single-copy	Duplicated	Fragmented	Missing	Total
Acropora_hyacinthus_NANAv1	25.1	23.5	1.6	43.1	31.8	100
Acropora_muricata_XSCSv1	73.7	63.1	10.6	3.9	22.4	100
Astreopora_sp_REEFv1	69.8	57.3	12.5	16.1	14.1	100
Ctenactis_echinata_NAJPv1	68.7	67.5	1.2	23.5	7.8	100
Dipsastraea_lizardensis_NAJPv1	75.3	74.5	0.8	11.4	13.3	100
Favia_sp_REEFv1	39.6	32.9	6.7	31.0	29.4	100
Fungia_scutaria_REEFv1	84.4	82.4	2.0	14.1	1.5	100
Madracis_auretenra_REEFv1	68.3	62.4	5.9	22.0	9.7	100
Montastraea_cavernosa_REEFv1	80.4	78.8	1.6	16.1	3.5	100
Montastraea_faveolata_REEFv1	14.5	14.1	0.4	16.1	69.4	100
Montipora_aequituberculata_NANAv1	34.5	20.0	14.5	25.1	40.4	100
Montipora_foliosa_XSCSv1	52.6	45.9	6.7	7.1	40.3	100
Platygyra_carnosus_REEFv1	65.9	59.2	6.7	22.4	11.7	100
Pocillopora_damicornis_XSCSv1	70.6	63.9	6.7	2.7	26.7	100
Pocillopora_verrucosa_XSCSv1	67.5	60.4	7.1	4.3	28.2	100
Porites_astreoides_REEFv1	14.1	14.1	0.0	34.5	51.4	100
Porites_lobata_REEFv1	56.1	54.9	1.2	19.6	24.3	100
Pseudodiploria_strigosa_REEFv1	50.2	49.4	0.8	31.8	18.0	100
Seriatopora_hystrix_REEFv1	47.1	45.9	1.2	33.7	19.2	100
Alatina_alata_BNNLv1-TRANS	96.5	76.5	20.0	2.4	1.1	100
Anthopleura_elegantissima_REEFv1	62.0	60.4	1.6	26.3	11.7	100
Calvadosia_cruxmelitensis_CRGBv3.2-TRANS	87.9	66.7	21.2	9.8	2.3	100
Calvadosia_cruxmelitensis_NANAv1	75.7	69.8	5.9	14.1	10.2	100
Cassiopea_xamachana_T1-Av2	53.0	51.0	2.0	20.8	26.2	100
Cassiopea_xamachana_T1-Av2-TRANS	62.7	43.5	19.2	30.6	6.7	100
Corallium_rubrum_MRFRv1	92.9	87.8	5.1	0.8	6.3	100
Corynactis_australis_JBAUv1	78.0	77.6	0.4	12.9	9.1	100
Craterolophus_convolvulus_RYUSv1	45.9	37.3	8.6	35.3	18.8	100
Dynamena_pumila_WSRUv1	98.0	68.2	29.8	1.2	0.8	100
Gorgonia_ventalina_LRPRv1	78.8	68.6	10.2	16.9	4.3	100
Haliclystus_auricula_NANAv1	50.6	43.1	7.5	28.2	21.2	100
Haliclystus_sanjuanensis_SJUSv1	50.6	44.3	6.3	32.9	16.5	100
Hydra_oligactis_GNCHv1	93.7	89.4	4.3	3.9	2.4	100
Kudoa_iwatai_RSILv1	51.0	50.2	0.8	14.5	34.5	100
Lucernaria_quadricornis_AIUSv1	72.9	69.8	3.1	17.6	9.5	100
Millepora_alcicornis_PRUSv1	96.9	81.6	15.3	1.6	1.5	100
Millepora_complanata_PRUSv1	95.7	78.4	17.3	2.7	1.6	100
Millepora_sp_RR-2016_PRUSv1	96.5	76.5	20.0	2.7	0.8	100
Millepora_squarrosa_PRUSv1	97.7	76.5	21.2	1.6	0.7	100
Myxobolus_cerebralis_NANAv1	41.2	20.4	20.8	20.0	38.8	100
Myxobolus_pendula_ONCAv1	0.0	0.0	0.0	0.4	99.6	100
Pachycerianthus_borealis_NANAv1	24.7	23.5	1.2	25.5	49.8	100
Palythoa_variabilis_PCBRv1	85.9	67.5	18.4	9.0	5.1	100
Physalia_physalis_OKJPv1	86.7	70.6	16.1	7.5	5.8	100
Plexaura_homomalla_PRUSv1	94.9	77.6	17.3	2.4	2.7	100
Plexaura_kukenthali_PRUSv1	56.9	44.7	12.2	24.3	18.8	100
Podocoryna_carnea_NANAv1	96.5	5.5	91.0	2.4	1.1	100
Polypodium_hydriforme_OKUSv1	78.4	14.9	63.5	14.5	7.1	100
Porpita_porpita_YOJPv1	91.4	64.3	27.1	6.7	1.9	100
Rhodactis_indosinensis_NATWv1	67.1	66.3	0.8	8.6	24.3	100
Ricordea_yuma_NAAUv1	78.4	77.6	0.8	6.7	14.9	100
Tripedalia_cystophora_Conant1897_1897v1	89.8	16.5	73.3	2.4	7.8	100
Turritopsis_sp_SK-2016_TBJPv1	78.4	13.7	64.7	9.4	12.2	100
Velella_velella_OKJPv1	80.0	54.9	25.1	13.7	6.3	100
