orthogroup_id	seqid	source	type	start	end	score	strand	phase	attributes
OG0002542	Ricordea_yuma_NAAUv1___GELN01034324.1.p1	Pfam	protein_match	42	86	1.4E-5	+	.	date=08-06-2023;Target=Ricordea_yuma_NAAUv1___GELN01034324.1.p1 42 86;ID=match$87965_42_86;signature_desc=Uncharacterized protein conserved in bacteria (DUF2065);Name=PF09838;status=T;Dbxref="InterPro:IPR019201"
OG0002542	Pocillopora_verrucosa_XSCSv1___transcript_HQ_E1_1_transcript15320_f2p0_1556_m.1234	ProSiteProfiles	protein_match	1	26	8.44984	+	.	date=01-12-2022;Target=Pocillopora_verrucosa_XSCSv1___transcript_HQ_E1_1_transcript15320_f2p0_1556_m.1234 1 26;ID=match$33376_1_26;signature_desc=Diaphanous autoregulatory domain (DAD) profile.;Name=PS51231;status=T;Dbxref="InterPro:IPR014767"
OG0002542	Pocillopora_acuta_KBHIv2___RNAseq.g28397.t1	ProSiteProfiles	protein_match	1	26	8.44984	+	.	date=16-05-2022;Target=Pocillopora_acuta_KBHIv2___RNAseq.g28397.t1 1 26;ID=match$110144_1_26;signature_desc=Diaphanous autoregulatory domain (DAD) profile.;Name=PS51231;status=T;Dbxref="InterPro:IPR014767"
OG0002542	Pocillopora_verrucosa_RSSAv1___g10549.t1	ProSiteProfiles	protein_match	1	26	8.44984	+	.	date=17-05-2022;Target=Pocillopora_verrucosa_RSSAv1___g10549.t1 1 26;ID=match$218099_1_26;signature_desc=Diaphanous autoregulatory domain (DAD) profile.;Name=PS51231;status=T;Dbxref="InterPro:IPR014767"
OG0002542	Pocillopora_meandrina_KBHIv1___RNAseq.g29172.t1	ProSiteProfiles	protein_match	1	26	8.44984	+	.	date=16-05-2022;Target=Pocillopora_meandrina_KBHIv1___RNAseq.g29172.t1 1 26;ID=match$309333_1_26;signature_desc=Diaphanous autoregulatory domain (DAD) profile.;Name=PS51231;status=T;Dbxref="InterPro:IPR014767"
OG0002542	Pocillopora_cf_effusa_NAPFv3___00035356	ProSiteProfiles	protein_match	1	26	8.44984	+	.	date=06-06-2023;Target=Pocillopora_cf_effusa_NAPFv3___00035356 1 26;ID=match$283724_1_26;signature_desc=Diaphanous autoregulatory domain (DAD) profile.;Name=PS51231;status=T;Dbxref="InterPro:IPR014767"
OG0002542	Pocillopora_damicornis_SIPAv1___00014509-RA	ProSiteProfiles	protein_match	1	26	8.44984	+	.	date=18-08-2022;Target=Pocillopora_damicornis_SIPAv1___00014509-RA 1 26;ID=match$265462_1_26;signature_desc=Diaphanous autoregulatory domain (DAD) profile.;Name=PS51231;status=T;Dbxref="InterPro:IPR014767"
OG0002915	Hydra_vulgaris_MIJPv3___XP_047144095.1	ProSiteProfiles	protein_match	1	19	5.0	+	.	date=15-06-2022;Target=Hydra_vulgaris_MIJPv3___XP_047144095.1 1 19;ID=match$151154_1_19;signature_desc=Prokaryotic membrane lipoprotein lipid attachment site profile.;Name=PS51257;status=T
OG0007517	Haliclystus_auricula_NANAv1___HAHA01018205.1.p1	Gene3D	protein_match	21	200	3.2E-5	+	.	date=09-06-2023;Target=Haliclystus_auricula_NANAv1___HAHA01018205.1.p1 21 200;Ontology_term="GO:0005515";ID=match$45794_21_200;Name=G3DSA:2.130.10.10;status=T;Dbxref="InterPro:IPR015943"
OG0007517	Haliclystus_auricula_NANAv1___HAHA01018205.1.p1	SUPERFAMILY	protein_match	24	199	2.98E-9	+	.	date=09-06-2023;Target=Haliclystus_auricula_NANAv1___HAHA01018205.1.p1 24 199;Ontology_term="GO:0005515";ID=match$45795_24_199;Name=SSF50978;status=T;Dbxref="InterPro:IPR036322"
