SampleID	Complete	Single-copy	Duplicated	Fragmented	Missing	Total
Acropora_acuminata_SLJPv1	93.4% (238)	91.8% (234)	1.6% (4)	3.9% (10)	2.7% (7)	100% (255)
Acropora_awi_SLJPv1	88.2% (225)	87.8% (224)	0.4% (1)	7.8% (20)	4.0% (10)	100% (255)
Acropora_cytherea_SLJPv1	91.8% (234)	90.2% (230)	1.6% (4)	6.3% (16)	1.9% (5)	100% (255)
Acropora_digitifera_SLJPv2	93.7% (239)	92.9% (237)	0.8% (2)	4.7% (12)	1.6% (4)	100% (255)
Acropora_echinata_SLJPv1	88.2% (225)	88.2% (225)	0.0% (0)	8.6% (22)	3.2% (8)	100% (255)
Acropora_florida_SLJPv1	89.4% (228)	88.6% (226)	0.8% (2)	7.5% (19)	3.1% (8)	100% (255)
Acropora_gemmifera_SLJPv1	87.5% (223)	87.1% (222)	0.4% (1)	7.5% (19)	5.0% (13)	100% (255)
Acropora_hyacinthus_SLJPv1	93.4% (238)	91.8% (234)	1.6% (4)	3.9% (10)	2.7% (7)	100% (255)
Acropora_intermedia_SLJPv1	87.5% (223)	85.9% (219)	1.6% (4)	9.0% (23)	3.5% (9)	100% (255)
Acropora_microphthalma_SLJPv1	89.8% (229)	88.6% (226)	1.2% (3)	7.1% (18)	3.1% (8)	100% (255)
Acropora_millepora_JSIDv2.1	91.8% (234)	87.5% (223)	4.3% (11)	4.3% (11)	3.9% (10)	100% (255)
Acropora_muricata_SLJPv1	90.2% (230)	88.6% (226)	1.6% (4)	7.5% (19)	2.3% (6)	100% (255)
Acropora_nasuta_SLJPv1	89.1% (227)	87.1% (222)	2.0% (5)	8.6% (22)	2.3% (6)	100% (255)
Acropora_selago_SLJPv1	87.1% (222)	85.5% (218)	1.6% (4)	9.4% (24)	3.5% (9)	100% (255)
Acropora_tenuis_SLJPv1	94.5% (241)	93.7% (239)	0.8% (2)	3.1% (8)	2.4% (6)	100% (255)
Acropora_yongei_SLJPv1	92.2% (235)	91.0% (232)	1.2% (3)	3.9% (10)	3.9% (10)	100% (255)
Astreopora_myriophthalma_SLJPv2	96.5% (246)	95.7% (244)	0.8% (2)	2.7% (7)	0.8% (2)	100% (255)
