orthogroup_id	no_sequences	no_species	avg_seq_length	representative_seqid	representative_seqid_length	num_representative_hits	is_best_representative_seq	best_strata	best_strata_taxa	best_strata_total_species	best_strata_species_in_OG	best_strata_species_in_OG_proportion_total	non.strata_taxa_in_analysis	non.strata_taxa_expectedHDF_false	non.strata_taxa_expectedHDF_ambiguous	non.strata_taxa_expectedHDF_true	non.strata_taxa_expectedHDF_false_proportion	non.strata_taxa_expectedHDF_ambiguous_proportion	non.strata_taxa_expectedHDF_true_proportion	strata_nonOG_taxa_in_analysis	strata_nonOG_taxa_expectedHDF_false	strata_nonOG_taxa_expectedHDF_ambiguous	strata_nonOG_taxa_expectedHDF_true	strata_nonOG_taxa_expectedHDF_false_proportion	strata_nonOG_taxa_expectedHDF_ambiguous_proportion	strata_nonOG_taxa_expectedHDF_true_proportion	designation
OG0002915	210	90	263.78	Acropora_echinata_SLJPv1___s0129.g24.t2	347	147	yes	phylum	Cnidaria	109	90	82.56	11	3	8	0	27.2727	72.7273	0	19	17	2	0	89.4737	10.5263	0	Dark-Restricted
OG0005842	145	97	698.11	Dynamena_pumila_WSRUv1___GHMC01061414.1.p1	1033	102	yes	phylum	Cnidaria	109	97	88.99	11	0	0	11	0	0	100	12	1	1	10	8.33333	8.33333	83.3333	Dark-Restricted
OG0007352	122	69	490.63	Pocillopora_verrucosa_RSSAv1___g2026.t1	1130	121	yes	phylum	Cnidaria	109	69	63.3	11	0	3	8	0	27.2727	72.7273	40	10	28	2	25	70	5	Dark-Restricted
OG0007517	118	96	291.57	Xenia_sp_CTEAv1___Xe_002489-T1	292	110	yes	phylum	Cnidaria	109	96	88.07	11	9	2	0	81.8182	18.1818	0	13	11	2	0	84.6154	15.3846	0	Dark-Restricted
OG0007567	117	78	589.27	Porpita_porpita_YOJPv1___GHBA01045358.1.p1	953	105	yes	phylum	Cnidaria	109	78	71.55	11	11	0	0	100	0	0	31	29	2	0	93.5484	6.45161	0	Dark-Restricted
OG0007659	115	89	222.08	Hydractinia_symbiolongicarpus_NEAOv1___0005.261	278	113	yes	phylum	Cnidaria	109	89	81.65	11	0	6	5	0	54.5455	45.4545	20	4	14	2	20	70	10	Dark-Restricted
OG0008058	106	85	123.88	Renilla_muelleri_FLUSv1___g14507.t1	90	106	yes	phylum	Cnidaria	109	85	77.98	11	0	3	8	0	27.2727	72.7273	24	2	20	2	8.33333	83.3333	8.33333	Dark-Restricted
OG0008088	106	66	173.1	Turritopsis_sp_SK-2016_TBJPv1___IAAF01018982.1.p1	333	71	yes	phylum	Cnidaria	109	66	60.55	11	0	3	8	0	27.2727	72.7273	43	1	13	29	2.32558	30.2326	67.4419	Dark-Restricted
OG0008129	105	89	267.91	Renilla_muelleri_FLUSv1___g19961.t1	267	105	yes	phylum	Cnidaria	109	89	81.65	11	11	0	0	100	0	0	20	18	2	0	90	10	0	Dark-Restricted
OG0008162	104	80	365.25	Astreopora_sp_REEFv1___23642	531	79	yes	phylum	Cnidaria	109	80	73.39	11	0	11	0	0	100	0	29	20	9	0	68.9655	31.0345	0	Dark-Restricted
