SampleID	Complete	Single-copy	Duplicated	Fragmented	Missing	Total
Acropora_acuminata_SLJPv1	85.7% (818)	84.9% (810)	0.8% (8)	6.4% (61)	7.9% (75)	100% (954)
Acropora_awi_SLJPv1	80.6% (769)	80.2% (765)	0.4% (4)	9.2% (88)	10.2% (97)	100% (954)
Acropora_cytherea_SLJPv1	84.0% (801)	81.8% (780)	2.2% (21)	6.9% (66)	9.1% (87)	100% (954)
Acropora_digitifera_SLJPv2	74.5% (711)	73.6% (702)	0.9% (9)	13.0% (124)	12.5% (119)	100% (954)
Acropora_echinata_SLJPv1	80.0% (764)	79.2% (756)	0.8% (8)	9.5% (91)	10.5% (99)	100% (954)
Acropora_florida_SLJPv1	82.8% (790)	80.7% (770)	2.1% (20)	7.2% (69)	10.0% (95)	100% (954)
Acropora_gemmifera_SLJPv1	79.0% (754)	78.1% (745)	0.9% (9)	9.4% (90)	11.6% (110)	100% (954)
Acropora_hyacinthus_SLJPv1	84.6% (807)	82.4% (786)	2.2% (21)	6.4% (61)	9.0% (86)	100% (954)
Acropora_intermedia_SLJPv1	83.2% (794)	81.1% (774)	2.1% (20)	8.2% (78)	8.6% (82)	100% (954)
Acropora_microphthalma_SLJPv1	82.3% (785)	81.0% (773)	1.3% (12)	8.3% (79)	9.4% (90)	100% (954)
Acropora_millepora_JSIDv2.1	96.5% (921)	90.0% (859)	6.5% (62)	0.8% (8)	2.7% (25)	100% (954)
Acropora_muricata_SLJPv1	82.0% (782)	80.3% (766)	1.7% (16)	8.5% (81)	9.5% (91)	100% (954)
Acropora_nasuta_SLJPv1	83.9% (800)	82.1% (783)	1.8% (17)	6.9% (66)	9.2% (88)	100% (954)
Acropora_selago_SLJPv1	79.5% (758)	78.2% (746)	1.3% (12)	9.6% (92)	10.9% (104)	100% (954)
Acropora_tenuis_SLJPv1	87.4% (834)	86.6% (826)	0.8% (8)	5.8% (55)	6.8% (65)	100% (954)
Acropora_yongei_SLJPv1	86.5% (825)	85.2% (813)	1.3% (12)	6.0% (57)	7.5% (72)	100% (954)
Astreopora_myriophthalma_SLJPv2	93.3% (891)	92.3% (881)	1.0% (10)	3.7% (35)	3.0% (28)	100% (954)
Fungia_spp_REEFv1	84.3% (804)	83.0% (792)	1.3% (12)	9.7% (93)	6.0% (57)	100% (954)
Galaxea_fascicularis_REEFv1	83.1% (793)	82.6% (788)	0.5% (5)	9.0% (86)	7.9% (75)	100% (954)
Goniastrea_aspera_REEFv1	85.4% (815)	84.4% (805)	1.0% (10)	7.9% (75)	6.7% (64)	100% (954)
Montastrea_cavernosa_FGUSv2	63.1% (602)	61.0% (582)	2.1% (20)	19.0% (181)	17.9% (171)	100% (954)
Montipora_cactus_SLJPv2	91.0% (868)	90.4% (862)	0.6% (6)	5.5% (52)	3.5% (34)	100% (954)
Montipora_capitata_KBHIv3	95.2% (908)	92.9% (886)	2.3% (22)	3.2% (31)	1.6% (15)	100% (954)
Montipora_capitata_WTHIv1.1	64.8% (619)	63.9% (610)	0.9% (9)	13.3% (127)	21.9% (208)	100% (954)
Montipora_efflorescens_SLJPv2	89.3% (852)	87.9% (839)	1.4% (13)	5.8% (55)	4.9% (47)	100% (954)
Orbicella_faveolata_NAPAv1	87.1% (831)	84.0% (801)	3.1% (30)	6.7% (64)	6.2% (59)	100% (954)
Pachyseris_speciosa_OIAUv0.12	86.0% (821)	83.5% (797)	2.5% (24)	6.4% (61)	7.6% (72)	100% (954)
Platygyra_sinensis_SDTHv1	67.8% (647)	59.4% (567)	8.4% (80)	17.1% (163)	15.1% (144)	100% (954)
Pocillopora_acuta_KBHIv2	96.7% (923)	93.9% (896)	2.8% (27)	2.0% (19)	1.3% (12)	100% (954)
Pocillopora_acuta_LBIDv1	67.1% (640)	66.5% (634)	0.6% (6)	16.4% (156)	16.5% (158)	100% (954)
Pocillopora_cf_effusa_NAPFv3	94.8% (905)	92.0% (878)	2.8% (27)	2.4% (23)	2.8% (26)	100% (954)
Pocillopora_damicornis_SIPAv1	87.9% (839)	87.7% (837)	0.2% (2)	5.7% (54)	6.4% (61)	100% (954)
Pocillopora_meandrina_KBHIv1	96.9% (924)	95.5% (911)	1.4% (13)	1.8% (17)	1.3% (13)	100% (954)
Pocillopora_verrucosa_RSSAv1	88.9% (848)	86.8% (828)	2.1% (20)	2.9% (28)	8.2% (78)	100% (954)
Porites_astreoides_BBBMv1	79.3% (757)	69.6% (664)	9.7% (93)	12.2% (116)	8.5% (81)	100% (954)
Porites_australiensis_SLJPv1	86.3% (823)	82.9% (791)	3.4% (32)	7.4% (71)	6.3% (60)	100% (954)
Porites_compressa_KBHIv1	95.8% (914)	93.4% (891)	2.4% (23)	2.0% (19)	2.2% (21)	100% (954)
Porites_evermanni_NAPFv1	93.2% (889)	80.6% (769)	12.6% (120)	2.7% (26)	4.1% (39)	100% (954)
Porites_lobata_NAPFv3	95.0% (906)	91.3% (871)	3.7% (35)	1.8% (17)	3.2% (31)	100% (954)
Porites_lutea_OIAUv1.1	91.7% (875)	89.6% (855)	2.1% (20)	4.1% (39)	4.2% (40)	100% (954)
Porites_rus_NAIDv1	62.4% (595)	60.7% (579)	1.7% (16)	19.9% (190)	17.7% (169)	100% (954)
Stylophora_pistillata_GAJOv1	87.3% (833)	86.9% (829)	0.4% (4)	5.2% (50)	7.5% (71)	100% (954)
Actinia_equina_RHUKv1	95.5% (911)	64.7% (617)	30.8% (294)	2.7% (26)	1.8% (17)	100% (954)
Alatina_alata_BNNLv1	9.0% (86)	8.6% (82)	0.4% (4)	15.5% (148)	75.5% (720)	100% (954)
Amphimedon_queenslandica_HIAUv1.1	90.6% (864)	84.5% (806)	6.1% (58)	2.8% (27)	6.6% (63)	100% (954)
Amplexidiscus_fenestrafer_MSMEv1	67.6% (645)	67.1% (640)	0.5% (5)	10.4% (99)	22.0% (210)	100% (954)
Aurelia_aurita_ALTOv1	74.9% (715)	73.9% (705)	1.0% (10)	13.3% (127)	11.8% (112)	100% (954)
Aurelia_aurita_RSPOv1	51.5% (492)	50.8% (485)	0.7% (7)	15.1% (144)	33.4% (318)	100% (954)
Calvadosia_cruxmelitensis_CRGBv3.2	53.9% (514)	52.2% (498)	1.7% (16)	17.8% (170)	28.3% (270)	100% (954)
Clytia_hemispaerica_NANAv1	76.1% (726)	74.9% (715)	1.2% (11)	5.7% (54)	18.2% (174)	100% (954)
Dendronephthya_gigantea_SJKRv1	94.3% (900)	84.7% (808)	9.6% (92)	0.8% (8)	4.9% (46)	100% (954)
Discosoma_sp_MSMEv1	66.0% (629)	64.6% (616)	1.4% (13)	10.2% (97)	23.8% (228)	100% (954)
Ephydatia_muelleri_BCCAv1	70.5% (672)	58.1% (554)	12.4% (118)	6.9% (66)	22.6% (216)	100% (954)
Exaiptasia_diaphana_CC7v1	86.8% (828)	79.9% (762)	6.9% (66)	6.5% (62)	6.7% (64)	100% (954)
Hoilungia_hongkongensis_HCHKv1	92.0% (878)	89.3% (852)	2.7% (26)	1.0% (10)	7.0% (66)	100% (954)
Hormiphora_californensis_MBUSv1	74.7% (712)	72.9% (695)	1.8% (17)	3.9% (37)	21.4% (205)	100% (954)
Hydractinia_echinata_NWAOv1	90.7% (865)	78.4% (748)	12.3% (117)	2.7% (26)	6.6% (63)	100% (954)
Hydractinia_symbiolongicarpus_NEAOv1	92.5% (882)	82.3% (785)	10.2% (97)	1.3% (12)	6.2% (60)	100% (954)
Hydra_viridissima_99AUv1	89.5% (853)	88.3% (842)	1.2% (11)	3.9% (37)	6.6% (64)	100% (954)
Hydra_vulgaris_MIJPv3	95.2% (909)	94.3% (900)	0.9% (9)	0.8% (8)	4.0% (37)	100% (954)
Mnemiopsis_leidyi_WHUSv2.2	73.9% (705)	73.2% (698)	0.7% (7)	5.1% (49)	21.0% (200)	100% (954)
Monosiga_brevicollis_CCBMv1	59.7% (570)	59.3% (566)	0.4% (4)	6.5% (62)	33.8% (322)	100% (954)
Morbakka_virulenta_ODJPv1	84.6% (807)	84.1% (802)	0.5% (5)	8.5% (81)	6.9% (66)	100% (954)
Nematostella_vectensis_RRUSv1	90.0% (858)	88.6% (845)	1.4% (13)	2.1% (20)	7.9% (76)	100% (954)
Paramuricea_clavata_CTESv1	79.9% (762)	78.2% (746)	1.7% (16)	11.6% (111)	8.5% (81)	100% (954)
Renilla_muelleri_FLUSv1	78.9% (753)	75.7% (722)	3.2% (31)	7.4% (71)	13.7% (130)	100% (954)
Renilla_reniformis_FLUSv1	5.7% (54)	5.5% (52)	0.2% (2)	6.3% (60)	88.0% (840)	100% (954)
Salpingoeca_rosetta_HIUSv1	66.1% (631)	65.5% (625)	0.6% (6)	6.9% (66)	27.0% (257)	100% (954)
Scolanthus_callimorphus_CRFRv1	85.9% (819)	68.9% (657)	17.0% (162)	7.5% (72)	6.6% (63)	100% (954)
Stylissa_carteri_RSSAv1	44.0% (419)	40.3% (384)	3.7% (35)	27.7% (264)	28.3% (271)	100% (954)
Thelohanellus_kitauei_TJCNv1	25.4% (242)	23.8% (227)	1.6% (15)	7.9% (75)	66.7% (637)	100% (954)
Trichoplax_adhaerens_RSSAv1	89.3% (852)	88.7% (846)	0.6% (6)	4.6% (44)	6.1% (58)	100% (954)
Trichoplax_sp_H2_CRPAv1	94.8% (905)	94.1% (898)	0.7% (7)	2.0% (19)	3.2% (30)	100% (954)
